phase,subset,family,origin_local_date,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
test,all,level_and_slopes,2026-07-01,288,145.69472469668256,103.01721115114184,197.31289811928724,358.9026237502029,450.706340741275,501.0307636877633
test,all,level_and_slopes,2026-07-02,288,163.02857419863142,-69.21549997215055,202.36900113463983,307.32637570703514,490.1153274836248,641.4610789842882
test,all,level_and_slopes,2026-07-03,288,104.16500525500156,-35.93510728816417,133.27176983438562,213.0761387327102,316.24330515016663,357.53008460477804
test,all,level_and_slopes,2026-07-04,288,72.57966157447598,-5.637606194266583,97.70906394639232,157.39306350162093,260.8130338001003,417.8246717527238
test,all,level_and_slopes,2026-07-05,288,97.88774525931657,55.41143592991459,133.0947866269604,254.953063001961,314.1952200690088,343.60851640287683
test,all,level_and_slopes,2026-07-06,288,93.47239061983828,29.37960167665436,132.61136696051383,255.44610244536278,294.00586030446493,361.27802060774627
test,all,level_and_slopes,2026-07-07,288,87.6220623802642,20.986726652727697,125.09843434717864,244.7983194523833,287.1009789180849,300.20129301302404
test,all,level_and_slopes,2026-07-08,288,94.22106517474366,20.240463653526913,136.6518598685083,266.5653552176183,314.5914629138919,328.3731121416996
test,all,level_and_slopes,2026-07-09,288,100.80642394168666,21.811785625101294,139.61351505132902,263.4094689978513,285.63993293486897,306.52536047619583
test,all,level_and_slopes,2026-07-10,288,105.17667161700574,23.254628204869206,141.64364509507055,256.14926391496135,294.84057704311886,325.5291728313727
test,all,level_and_slopes,2026-07-11,288,110.88794942713422,47.69019688558685,147.45149505852615,247.27552940680764,331.17248876101667,398.856841902437
test,all,level_and_slopes,2026-07-12,288,108.52939714562119,37.878441987025816,146.83722513200925,259.57126406572377,322.85754681073007,381.73102841746174
test,all,level_and_slopes,2026-07-13,288,35.17831726278621,-32.809193776092144,46.23001505142497,67.20236228780392,120.49787862821088,185.6048662684776
test,all,level_and_slopes,2026-07-14,288,124.02463837578563,-17.879841506362023,149.17054781129497,242.82553545374424,274.1009398631144,283.8864555164091
