phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
validation,all,level_and_slopes,0,6552,21.96865262467586,-0.5597157598890977,38.349102172621656,48.00476909521052,109.12661180224889,547.5235878886201
validation,all,level_and_slopes,1,6551,37.621783547520465,-2.5966881096252434,58.96510258757902,82.52949649422081,194.9142482174009,516.4502981817825
validation,all,level_and_slopes,2,6550,48.20926978366677,-5.897977869533323,72.00067121945143,105.67082099166964,229.15513588240046,519.7831529429113
validation,all,level_and_slopes,3,6549,56.50039119766766,-9.501238052369045,82.14362185987298,126.06372991153212,249.07658486386777,653.198525896647
validation,all,level_and_slopes,4,6548,63.74359018911596,-12.872244087721464,91.29855779879287,140.49443102592534,255.50385633142218,711.5413487877779
validation,all,level_and_slopes,5,6547,70.35785882716185,-15.295881094428033,100.4129157580053,151.80923846670873,274.2727117783424,873.4709833765037
validation,all,level_and_slopes,6,6546,76.64271768026224,-16.793673233737827,110.79471352221906,165.47735506245334,300.3569597800425,1028.958978880733
validation,all,level_and_slopes,7,6545,82.61654924679529,-16.95930046457202,121.69299932360921,176.07431911643363,324.8907780402562,1227.0281203647069
validation,all,level_and_slopes,8,6544,88.55202713787146,-16.334326811891774,134.09045820420718,186.78120541753935,364.6523468637142,1361.1356941736012
validation,all,level_and_slopes,9,6543,94.53446463701265,-17.081590589142223,146.45212785943528,193.98185563853636,399.0271839429544,1575.479077990533
validation,all,level_and_slopes,10,6542,100.3829122965039,-16.773148396376374,159.12972141389739,197.19155316103044,431.3099361433195,1845.1792891476182
validation,all,level_and_slopes,11,6541,105.02701617859972,-15.182362775488418,170.50465469718918,207.50023769838273,469.632170006755,2098.404385763727
validation,all,without_monte,0,6552,22.2061907970017,-1.5648742097981128,40.77398327623737,51.13387711561599,126.14096683678542,545.5504431182251
validation,all,without_monte,1,6551,39.95941592174995,-5.30236095657631,63.143224337144744,88.27726102909564,223.76688797009956,472.0261295097225
validation,all,without_monte,2,6550,52.99916922284431,-10.306620322378457,78.73155015787067,115.79291124126898,252.2737976637096,566.2304934105557
validation,all,without_monte,3,6549,62.16649057052517,-15.53930412551846,89.55964227750573,139.23371054839066,263.7524256790517,643.0370735587364
validation,all,without_monte,4,6548,70.8727124231739,-20.26743497683604,99.6617486302872,159.72931604126015,271.54064860151016,781.2094181724908
validation,all,without_monte,5,6547,77.80777730421993,-22.930048075616536,108.71144521639523,166.8568625947968,294.08593080810175,960.5217432139652
validation,all,without_monte,6,6546,83.64262586423187,-23.675050277270948,118.3707048843548,178.0,314.1463337527556,1128.234368442476
validation,all,without_monte,7,6545,89.14219955601321,-22.951038620255623,128.7786471664607,189.67154321646356,340.7685782772252,1254.172776400793
validation,all,without_monte,8,6544,94.29889444258082,-21.400350709787734,140.33315962921498,194.2114309722849,369.9984400536815,1385.4636952878307
