lead_h,phase,training_n,evaluation_n,latest_training_target,cutoff_exclusive
0,validation,4390,6552,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
0,test,10942,1968,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
1,validation,4389,6551,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
1,test,10941,1967,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
2,validation,4388,6550,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
2,test,10940,1966,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
3,validation,4387,6549,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
3,test,10939,1965,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
4,validation,4386,6548,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
4,test,10938,1964,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
5,validation,4385,6547,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
5,test,10937,1963,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
6,validation,4384,6546,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
6,test,10936,1962,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
7,validation,4383,6545,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
7,test,10935,1961,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
8,validation,4382,6544,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
8,test,10934,1960,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
9,validation,4381,6543,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
9,test,10933,1959,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
10,validation,4380,6542,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
10,test,10932,1958,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
11,validation,4379,6541,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
11,test,10931,1957,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
