lead_h,added_training_rows,added_first_target,added_last_target,added_max_target_m3_s
0,681,2023-09-01T02:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
1,679,2023-09-01T03:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
2,678,2023-09-01T04:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
3,678,2023-09-01T05:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
4,677,2023-09-01T06:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
5,676,2023-09-01T07:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
6,674,2023-09-01T08:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
7,673,2023-09-01T09:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
8,672,2023-09-01T10:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
9,671,2023-09-01T11:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
10,670,2023-09-01T12:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
11,669,2023-09-01T13:00:00-03:00,2023-09-30T23:00:00-03:00,15114.0
