lead_h,family,forecast_m3_s,unanchored_m3_s,training_rows
0,reference_full,7654.782449540934,7654.782449540934,12910
0,reference_ceran_only,7787.729711487698,7787.729711487698,12910
0,augmented_ceran_2023,8090.757626560848,8090.757626560848,13591
1,reference_full,9809.952410809385,9809.952410809385,12909
1,reference_ceran_only,10214.28589951912,10214.28589951912,12909
1,augmented_ceran_2023,10852.686435474936,10852.686435474936,13588
2,reference_full,12021.006273334155,12021.006273334155,12908
2,reference_ceran_only,12664.474637991756,12664.474637991756,12908
2,augmented_ceran_2023,13623.274203576255,13623.274203576255,13586
3,reference_full,14124.276615170153,14124.276615170153,12907
3,reference_ceran_only,15113.727401743668,15113.727401743668,12907
3,augmented_ceran_2023,16515.043524984427,16515.043524984427,13585
4,reference_full,15828.336717375007,15828.336717375007,12906
4,reference_ceran_only,17314.156950902045,17314.156950902045,12906
4,augmented_ceran_2023,19437.26945873067,19437.26945873067,13583
5,reference_full,17072.03311175646,17072.03311175646,12905
5,reference_ceran_only,19137.37219519464,19137.37219519464,12905
5,augmented_ceran_2023,21949.187720557264,21949.187720557264,13581
6,reference_full,17987.50060780695,17987.50060780695,12904
6,reference_ceran_only,20622.56349732811,20622.56349732811,12904
6,augmented_ceran_2023,23996.731841433622,23996.731841433622,13578
7,reference_full,18800.445890045885,18800.445890045885,12903
7,reference_ceran_only,21983.616339382686,21983.616339382686,12903
7,augmented_ceran_2023,25774.8738377203,25774.8738377203,13576
8,reference_full,19390.63366425061,19390.63366425061,12902
8,reference_ceran_only,23142.306905381567,23142.306905381567,12902
8,augmented_ceran_2023,27212.934620275853,27212.934620275853,13574
9,reference_full,19669.392245764797,19669.392245764797,12901
9,reference_ceran_only,24070.538013755002,24070.538013755002,12901
9,augmented_ceran_2023,27691.108610562424,27691.108610562424,13572
10,reference_full,19606.920841153566,19606.920841153566,12900
10,reference_ceran_only,24610.638430203326,24610.638430203326,12900
10,augmented_ceran_2023,28611.167104071654,28611.167104071654,13570
11,reference_full,19341.990056527215,19341.990056527215,12899
11,reference_ceran_only,24872.11851745778,24872.11851745778,12899
11,augmented_ceran_2023,28775.387556992468,28775.387556992468,13568
