lead_h,family,phase,subset,training_rows,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
0,reference_full,validation,all,4390,6552,20.089830796709816,2.1619040632188926,50.76036046921607
0,reference_full,validation,high_flow,4390,28,104.43662294940704,-15.495937397765898,265.7196658667419
0,reference_full,test,all,10942,1968,46.27849378837248,0.31924112300384205,127.88659839479827
0,reference_full,test,high_flow,10942,271,118.19237747447443,-14.073156646539523,248.89068917657698
0,reference_ceran_only,validation,all,4390,6552,17.08361078692458,0.48992335742023246,41.78508293820562
0,reference_ceran_only,validation,high_flow,4390,28,97.20808190335713,-14.617586674921554,237.31253717651936
0,reference_ceran_only,test,all,10942,1968,45.13414720205952,0.8942925808343707,121.92492956029278
0,reference_ceran_only,test,high_flow,10942,271,118.41840187355032,-0.06541715691687168,279.001699928628
0,augmented_ceran_2023,validation,all,5071,6552,18.27166744059195,0.5237198459317182,45.35387851742076
0,augmented_ceran_2023,validation,high_flow,5071,28,100.68843987279764,-13.608624188195595,240.90265608813039
0,augmented_ceran_2023,test,all,11623,1968,48.64220407056933,0.5757163324719412,130.0240562159049
0,augmented_ceran_2023,test,high_flow,11623,271,122.62178464705417,-1.0737171467646431,268.3032534797096
1,reference_full,validation,all,4389,6551,37.08286033730727,4.681780181140661,93.7770120826632
1,reference_full,validation,high_flow,4389,28,162.42744802633683,-21.6760541688351,358.83128016728415
1,reference_full,test,all,10941,1967,82.7616322730008,0.6952702122812783,229.5143935248307
1,reference_full,test,high_flow,10941,271,206.87023845505792,-32.3224648128019,354.16347045920827
1,reference_ceran_only,validation,all,4389,6551,32.445748228764515,2.2003469588129665,79.77679601312055
1,reference_ceran_only,validation,high_flow,4389,28,146.7180797885312,-25.634122760476174,397.64326253436377
1,reference_ceran_only,test,all,10941,1967,80.6992166744805,2.109426327423058,232.1914347542387
1,reference_ceran_only,test,high_flow,10941,271,208.88174777284814,-1.4543977296410793,348.36556615647083
1,augmented_ceran_2023,validation,all,5068,6551,33.90748256730043,2.7850015045405994,82.26451139560024
1,augmented_ceran_2023,validation,high_flow,5068,28,162.75759786761736,-24.424629196243018,377.8010971405157
1,augmented_ceran_2023,test,all,11620,1967,82.74482327707273,1.3470539562741002,233.17709353112312
1,augmented_ceran_2023,test,high_flow,11620,271,201.95903918556832,-5.3085507178689415,347.6082252039112
2,reference_full,validation,all,4388,6550,50.73125755358937,7.403141759834866,131.6044505106201
2,reference_full,validation,high_flow,4388,28,194.14880946731859,-37.263975198973924,377.98481916438396
2,reference_full,test,all,10940,1966,112.58509742011988,0.8834314062341448,274.5913158415694
2,reference_full,test,high_flow,10940,271,272.26070418556196,-47.591908273130954,413.8061800724522
2,reference_ceran_only,validation,all,4388,6550,44.77517352372335,4.756550072187081,111.279093221533
2,reference_ceran_only,validation,high_flow,4388,28,178.8190990379454,-50.430238866521904,391.4540962027329
2,reference_ceran_only,test,all,10940,1966,110.94772138032738,2.5649684873563827,273.0295716114658
2,reference_ceran_only,test,high_flow,10940,271,281.15003324892655,-3.7546685997828457,431.14136560143913
2,augmented_ceran_2023,validation,all,5066,6550,46.51445091675185,7.079724138235674,115.75665504893888
2,augmented_ceran_2023,validation,high_flow,5066,28,203.01451843284536,-47.40362557678912,384.35034540609456
2,augmented_ceran_2023,test,all,11618,1966,113.55207971574958,1.1313239654458722,274.88243032251853
2,augmented_ceran_2023,test,high_flow,11618,271,273.9088204245086,-12.567078093675848,378.0820083044296
3,reference_full,validation,all,4387,6549,62.258473961999805,9.431748995031851,153.3111545784509
3,reference_full,validation,high_flow,4387,28,196.33987732450512,-50.690097039080094,361.9354173233189
3,reference_full,test,all,10939,1965,137.4355404298288,0.10826204036310705,293.7639553348943
3,reference_full,test,high_flow,10939,271,327.1096898861756,-69.41800965759751,503.930195517496
3,reference_ceran_only,validation,all,4387,6549,56.34919053912762,7.831652188639887,138.61455713746048
3,reference_ceran_only,validation,high_flow,4387,28,203.63905768283584,-75.52236964800726,418.2615105898065
3,reference_ceran_only,test,all,10939,1965,136.40094145496488,1.889083376708055,290.69057991067507
3,reference_ceran_only,test,high_flow,10939,271,344.7690338742803,-13.474995233314122,583.9020135113004
3,augmented_ceran_2023,validation,all,5065,6549,58.99504142883175,11.555050788789043,143.02863908415233
3,augmented_ceran_2023,validation,high_flow,5065,28,252.63461356438847,-69.1812075269866,474.1988777921942
3,augmented_ceran_2023,test,all,11617,1965,133.74511970274622,0.15777060848485125,293.57158536002976
3,augmented_ceran_2023,test,high_flow,11617,271,303.8625999349788,-27.33645360080046,509.2796908147532
4,reference_full,validation,all,4386,6548,72.54406281796274,10.785714175781152,178.9509505942402
4,reference_full,validation,high_flow,4386,28,187.17176800525593,-45.14931161572482,393.6792255460551
4,reference_full,test,all,10938,1964,157.13028339741757,-1.3534284160327592,302.8101859990651
4,reference_full,test,high_flow,10938,271,371.3305699661136,-96.33018657736193,581.0472187539508
4,reference_ceran_only,validation,all,4386,6548,66.60127313040742,11.212860477138669,159.73859321972478
4,reference_ceran_only,validation,high_flow,4386,28,234.1159760699599,-82.60905383985536,438.55360292749555
4,reference_ceran_only,test,all,10938,1964,157.62976133087992,0.41140506016270784,304.58643072906654
4,reference_ceran_only,test,high_flow,10938,271,400.8990635891822,-28.837067972172257,725.1209622253336
4,augmented_ceran_2023,validation,all,5063,6548,71.14259763933848,17.7820364751773,170.08296649341574
4,augmented_ceran_2023,validation,high_flow,5063,28,295.63603368343223,-88.3790490061743,522.1470185127345
4,augmented_ceran_2023,test,all,11615,1964,156.89449219271634,-2.40957367579048,312.85139157603675
4,augmented_ceran_2023,test,high_flow,11615,271,356.6680455783273,-46.94109544789387,591.4045930894014
5,reference_full,validation,all,4385,6547,82.2980756660968,11.926459803789236,202.3472637596212
5,reference_full,validation,high_flow,4385,28,187.2286876665864,-32.17342254811297,376.372757602331
5,reference_full,test,all,10937,1963,174.26374657489214,-3.745332697259744,313.2951622065503
5,reference_full,test,high_flow,10937,271,417.1736217100644,-127.08265808532765,677.1222484108807
5,reference_ceran_only,validation,all,4385,6547,76.17816192348674,15.101294169294587,180.3813598370798
