source,lead_h,family,forecast_m3_s,unanchored_model_m3_s,current_observation_used
julho,0,ridge_reference,5687.31,7018.442755579398,True
julho,0,tree_delta,5687.31,5997.5656797939255,True
julho,0,tree_level,5687.31,5928.185533338738,True
julho,1,ridge_reference,8319.966779799728,8319.966779799728,False
julho,1,tree_delta,6305.47328832528,6305.47328832528,False
julho,1,tree_level,6014.2738423493765,6014.2738423493765,False
julho,2,ridge_reference,9554.09746897493,9554.09746897493,False
julho,2,tree_delta,6680.580071041783,6680.580071041783,False
julho,2,tree_level,6120.003777443562,6120.003777443562,False
julho,3,ridge_reference,10596.844169570892,10596.844169570892,False
julho,3,tree_delta,7014.013242559559,7014.013242559559,False
julho,3,tree_level,6527.850786838295,6527.850786838295,False
julho,4,ridge_reference,11538.747445703042,11538.747445703042,False
julho,4,tree_delta,7249.324825767782,7249.324825767782,False
julho,4,tree_level,6594.125822442015,6594.125822442015,False
julho,5,ridge_reference,12316.397926332404,12316.397926332404,False
julho,5,tree_delta,7336.049239165854,7336.049239165854,False
julho,5,tree_level,6874.647066255842,6874.647066255842,False
julho,6,ridge_reference,12804.550100167195,12804.550100167195,False
julho,6,tree_delta,7356.084090319983,7356.084090319983,False
julho,6,tree_level,7035.304096030125,7035.304096030125,False
julho,7,ridge_reference,13171.59527809125,13171.59527809125,False
julho,7,tree_delta,7460.741527728915,7460.741527728915,False
julho,7,tree_level,7082.161708694913,7082.161708694913,False
julho,8,ridge_reference,13447.814436625304,13447.814436625304,False
julho,8,tree_delta,7520.278662557008,7520.278662557008,False
julho,8,tree_level,6912.850481439831,6912.850481439831,False
julho,9,ridge_reference,13591.648341071517,13591.648341071517,False
julho,9,tree_delta,7674.349379408204,7674.349379408204,False
julho,9,tree_level,6696.731485742987,6696.731485742987,False
julho,10,ridge_reference,13542.724393271537,13542.724393271537,False
julho,10,tree_delta,7589.198788883972,7589.198788883972,False
julho,10,tree_level,6213.85327096923,6213.85327096923,False
julho,11,ridge_reference,13418.353636340378,13418.353636340378,False
julho,11,tree_delta,7547.875702376202,7547.875702376202,False
julho,11,tree_level,6154.35011476,6154.35011476,False
carreiro,0,ridge_reference,852.4446584092382,852.4446584092382,False
carreiro,0,tree_delta,820.1172548215628,820.1172548215628,False
carreiro,0,tree_level,807.8512338298267,807.8512338298267,False
carreiro,1,ridge_reference,1123.9579396834115,1123.9579396834115,False
carreiro,1,tree_delta,833.0199627323153,833.0199627323153,False
carreiro,1,tree_level,821.0142138234161,821.0142138234161,False
carreiro,2,ridge_reference,1312.4300291477368,1312.4300291477368,False
carreiro,2,tree_delta,831.4171432893745,831.4171432893745,False
carreiro,2,tree_level,815.5759258183424,815.5759258183424,False
carreiro,3,ridge_reference,1355.341777928405,1355.341777928405,False
carreiro,3,tree_delta,887.0567308792919,887.0567308792919,False
carreiro,3,tree_level,836.257656591161,836.257656591161,False
carreiro,4,ridge_reference,1426.4171929088625,1426.4171929088625,False
carreiro,4,tree_delta,891.208989837717,891.208989837717,False
carreiro,4,tree_level,897.5019271519852,897.5019271519852,False
carreiro,5,ridge_reference,1350.2489732699864,1350.2489732699864,False
carreiro,5,tree_delta,912.7268208435679,912.7268208435679,False
carreiro,5,tree_level,897.6625954680954,897.6625954680954,False
carreiro,6,ridge_reference,1444.0923808231069,1444.0923808231069,False
carreiro,6,tree_delta,922.8790937287607,922.8790937287607,False
carreiro,6,tree_level,920.8469387843987,920.8469387843987,False
carreiro,7,ridge_reference,1435.1413363712963,1435.1413363712963,False
carreiro,7,tree_delta,976.2890783600269,976.2890783600269,False
carreiro,7,tree_level,911.4762672821187,911.4762672821187,False
carreiro,8,ridge_reference,1495.5290304333269,1495.5290304333269,False
carreiro,8,tree_delta,983.7843044113092,983.7843044113092,False
carreiro,8,tree_level,864.0860666294668,864.0860666294668,False
carreiro,9,ridge_reference,1358.4789093544057,1358.4789093544057,False
carreiro,9,tree_delta,1049.9474543512795,1049.9474543512795,False
carreiro,9,tree_level,837.050609938816,837.050609938816,False
carreiro,10,ridge_reference,1560.5327691528887,1560.5327691528887,False
carreiro,10,tree_delta,1056.9704215280883,1056.9704215280883,False
carreiro,10,tree_level,890.5667321803054,890.5667321803054,False
carreiro,11,ridge_reference,1659.1584922235686,1659.1584922235686,False
carreiro,11,tree_delta,946.9837244906939,946.9837244906939,False
carreiro,11,tree_level,821.312683033334,821.312683033334,False
