source,lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,ridge_reference,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,ridge_reference,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,ridge_reference,test,all,1968,46.27849378837248,0.31924112300384205,127.88659839479827
julho,0,ridge_reference,test,high_flow,271,118.19237747447443,-14.073156646539523,248.89068917657698
julho,0,tree_delta,validation,all,6552,13.801286361484419,-1.1039490535782313,43.371023107107604
julho,0,tree_delta,validation,high_flow,28,99.18358384088843,-28.586728951451562,235.963084905169
julho,0,tree_delta,test,all,1968,43.22679161073807,-5.6862843739225,140.2999999999999
julho,0,tree_delta,test,high_flow,271,108.63715046949133,-16.33101082085759,299.7535357617633
julho,0,tree_level,validation,all,6552,19.79844869826342,6.002916540334001,63.45761754620803
julho,0,tree_level,validation,high_flow,28,215.92765629048992,172.86352653164187,318.9020763234778
julho,0,tree_level,test,all,1968,113.27550628460443,-60.79492046174251,177.58204525259794
julho,0,tree_level,test,high_flow,271,597.8691059046862,-471.52559237918877,1943.5309806573907
julho,1,ridge_reference,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,ridge_reference,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,ridge_reference,test,all,1967,82.7616322730008,0.6952702122812783,229.5143935248307
julho,1,ridge_reference,test,high_flow,271,206.87023845505792,-32.3224648128019,354.16347045920827
julho,1,tree_delta,validation,all,6551,26.17637167468426,0.37798709738302716,81.0
julho,1,tree_delta,validation,high_flow,28,154.2335218707617,-43.50916649593719,331.96525387561104
julho,1,tree_delta,test,all,1967,72.07421992011356,-1.860199083328265,235.0385704868366
julho,1,tree_delta,test,high_flow,271,170.16453467448034,-22.510624874868512,400.9265361648251
julho,1,tree_level,validation,all,6551,37.9057469133583,12.521752636996808,117.42854626098546
julho,1,tree_level,validation,high_flow,28,340.8209020041872,314.04422601895646,556.6392499529285
julho,1,tree_level,test,all,1967,146.7216391030923,-68.16635425939552,256.34934206177087
julho,1,tree_level,test,high_flow,271,676.889780151191,-535.5426940385723,2205.641764024853
julho,2,ridge_reference,validation,all,6550,50.73125755358937,7.403141759834866,131.6044505106201
julho,2,ridge_reference,validation,high_flow,28,194.14880946731859,-37.263975198973924,377.98481916438396
julho,2,ridge_reference,test,all,1966,112.58509742011988,0.8834314062341448,274.5913158415694
julho,2,ridge_reference,test,high_flow,271,272.26070418556196,-47.591908273130954,413.8061800724522
julho,2,tree_delta,validation,all,6550,38.87320572174538,1.3654289246038096,115.99999999999999
julho,2,tree_delta,validation,high_flow,28,199.74997251554456,-37.43549134351004,364.48496557984413
julho,2,tree_delta,test,all,1966,98.62143634458694,-2.303763340095739,270.82547358438364
julho,2,tree_delta,test,high_flow,271,227.24730193278955,-26.252100828285748,466.0906488961105
julho,2,tree_level,validation,all,6550,49.616918435868655,13.283485987320143,132.35556827174693
julho,2,tree_level,validation,high_flow,28,595.7182455680146,578.2079028802374,891.7634087038782
julho,2,tree_level,test,all,1966,175.82168418226468,-72.83275377010197,276.5443288430203
julho,2,tree_level,test,high_flow,271,736.4938797792012,-581.3991993311771,2276.2927557786275
julho,3,ridge_reference,validation,all,6549,62.258473961999805,9.431748995031851,153.3111545784509
julho,3,ridge_reference,validation,high_flow,28,196.33987732450512,-50.690097039080094,361.9354173233189
julho,3,ridge_reference,test,all,1965,137.4355404298288,0.10826204036310705,293.7639553348943
julho,3,ridge_reference,test,high_flow,271,327.1096898861756,-69.41800965759751,503.930195517496
julho,3,tree_delta,validation,all,6549,52.22546417289889,1.5468204128640912,147.71105859523252
julho,3,tree_delta,validation,high_flow,28,226.13959096360122,-64.18466348272543,439.4699779345475
julho,3,tree_delta,test,all,1965,121.43777938766388,0.10286457786628662,292.1071834766139
julho,3,tree_delta,test,high_flow,271,281.59712672876833,-18.189375758727316,542.052809135729
julho,3,tree_level,validation,all,6549,54.296725842184166,10.141265317453913,128.03348183127787
julho,3,tree_level,validation,high_flow,28,567.9858842835001,557.6595360114476,1017.5050788067181
julho,3,tree_level,test,all,1965,188.59137673869483,-67.68207669215923,273.65286647182376
julho,3,tree_level,test,high_flow,271,741.5940978835347,-583.3868266766036,2119.4546827452864
julho,4,ridge_reference,validation,all,6548,72.54406281796274,10.785714175781152,178.9509505942402
julho,4,ridge_reference,validation,high_flow,28,187.17176800525593,-45.14931161572482,393.6792255460551
