lead_h,family,forecast_m3_s
0,reference_delta_full,7654.782449540934
0,level_ridge_unconstrained,7728.302695701719
0,level_ridge_nonnegative,8580.714234335166
1,reference_delta_full,9809.952410809385
1,level_ridge_unconstrained,8842.996012248572
1,level_ridge_nonnegative,9860.455165583582
2,reference_delta_full,12021.006273334155
2,level_ridge_unconstrained,9890.657661830352
2,level_ridge_nonnegative,10969.548210149478
3,reference_delta_full,14124.276615170153
3,level_ridge_unconstrained,10808.339475278157
3,level_ridge_nonnegative,11775.022773256225
4,reference_delta_full,15828.336717375007
4,level_ridge_unconstrained,11573.486497139305
4,level_ridge_nonnegative,12812.944246081051
5,reference_delta_full,17072.03311175646
5,level_ridge_unconstrained,12146.899311639943
5,level_ridge_nonnegative,13461.915590254337
6,reference_delta_full,17987.50060780695
6,level_ridge_unconstrained,12584.898778235458
6,level_ridge_nonnegative,13526.499068454379
7,reference_delta_full,18800.445890045885
7,level_ridge_unconstrained,12891.588639746677
7,level_ridge_nonnegative,13785.44596398426
8,reference_delta_full,19390.63366425061
8,level_ridge_unconstrained,13080.580576164228
8,level_ridge_nonnegative,13768.965391387297
9,reference_delta_full,19669.392245764797
9,level_ridge_unconstrained,13139.491992062076
9,level_ridge_nonnegative,13607.464527376003
10,reference_delta_full,19606.920841153566
10,level_ridge_unconstrained,13106.750637510348
10,level_ridge_nonnegative,13494.830109273573
11,reference_delta_full,19341.990056527215
11,level_ridge_unconstrained,12995.872473410005
11,level_ridge_nonnegative,13318.274342604092
