lead_h,phase,iterations,optimality,success,minimum_numeric_coefficient
0,validation,8,3.0351783063670155,True,-4.336808689942018e-19
0,test,8,153939.5046055317,True,0.0
0,current,9,100353.74613706209,True,0.0
1,validation,8,1.1702978648245335,True,0.0
1,test,8,1906.2091139853,True,0.0
1,current,8,5387.828395590186,True,0.0
2,validation,13,5.519759594462812,True,0.0
2,test,7,1262230.8065006137,True,0.0
2,current,8,2108.0961115956306,True,0.0
3,validation,10,1.802353291073814,True,0.0
3,test,7,1252171.1603370905,True,0.0
3,current,16,495869.8653014451,True,0.0
4,validation,7,2.7705584581708536,True,0.0
4,test,7,2792556.9538801014,True,0.0
4,current,10,5159.686320215464,True,0.0
5,validation,13,2.3222231579129584,True,0.0
5,test,6,3536494.4308163375,True,-1.2924697071141057e-26
5,current,8,5625.681641250849,True,0.0
6,validation,12,1.1097544208168983,True,0.0
6,test,6,4730014.7271306515,True,0.0
6,current,18,457279.1586178243,True,-1.0842021724855044e-19
7,validation,14,2.2779482058249414,True,0.0
7,test,7,6208811.134535074,True,0.0
7,current,16,1774494.2968395948,True,-2.710505431213761e-20
8,validation,14,0.9663088681409135,True,-1.0842021724855044e-19
8,test,8,622250.7368066311,True,-2.168404344971009e-19
8,current,14,1176442.0852954388,True,-8.673617379884035e-19
9,validation,11,4.736136285122484,True,0.0
9,test,10,50553.15674209595,True,0.0
9,current,10,1580291.8880243301,True,0.0
10,validation,13,0.6162267555482686,True,-2.168404344971009e-19
10,test,7,113069.08084535599,True,-2.168404344971009e-19
10,current,10,4452246.71432066,True,0.0
11,validation,16,2.1553563540801406,True,0.0
11,test,10,291076.59132504463,True,0.0
11,current,11,1201964.42527771,True,-6.776263578034403e-21
