id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 01:00:00;50.37;27.93;85.03;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 02:00:00;50.36;27.91;84.69;-5413.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 03:00:00;50.36;27.84;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 04:00:00;50.36;27.81;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 05:00:00;50.36;27.79;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 06:00:00;50.36;27.77;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 07:00:00;50.36;27.75;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 08:00:00;50.36;27.75;84.69;1240.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 09:00:00;50.37;27.75;85.03;7893.0;1240.0;1050.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 10:00:00;50.37;27.43;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 11:00:00;50.37;27.34;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 12:00:00;50.37;27.29;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 13:00:00;50.37;27.26;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 14:00:00;50.37;27.21;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 15:00:00;50.37;27.21;85.03;1090.0;1090.0;900.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 16:00:00;50.37;27.15;85.03;990.0;990.0;800.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 17:00:00;50.37;27.13;85.03;990.0;990.0;800.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 18:00:00;50.37;27.11;85.03;990.0;990.0;800.0;190.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2023-04-01 19:00:00;50.38;27.11;85.26;7651.0;990.0;800.0;190.0;0.0;0.0;
