month,id,name,code,rows
2,AMUHBB,BALBINA,277.0,667
2,AMUSBM,BELO MONTE,288.0,578
2,AMCLR,COLIDER,228.0,667
2,CRCURU,CURUA-UNA,272.0,544
2,AMDA,DARDANELOS,310.0,659
2,AMUGUA,GUAPORE,196.0,634
2,AMUHJI,JIRAU,285.0,666
2,AMUSPM,PIMENTAL,314.0,585
2,AMUHRD,RONDON II,276.0,667
2,AMSAPI,SALTO APIACAS,225.0,666
2,AMSU,SAMUEL,279.0,667
2,AMUSSN,SANTO ANTONIO,287.0,672
2,AMUSMA,SAO MANOEL,230.0,667
2,AMSNPE,SINOP,227.0,614
2,AMSAJ,STO ANTONIO DO JARI,286.0,667
2,AMUHTP,TELES PIRES,229.0,661
2,AAUCCA,CACHOEIRA CALDEIRAO,204.0,667
2,AMUHCN,COARACY NUNES,280.0,672
2,AAFGO,FERREIRA GOMES,284.0,662
2,CASPSO,G. P. SOUZA,115.0,669
2,DCAIMO,AIMORES,143.0,667
2,DCUBAG,BAGUARI,141.0,667
2,DCUHEC,CANDONGA,139.0,660
2,PCGAMO,GUILM. AMORIM,192.0,669
2,DCMASC,MASCARENHAS,144.0,667
2,DCPORT,PORTO ESTRELA,135.0,610
2,DCSCAR,SA CARVALHO,193.0,668
2,SASGCM,SALTO GRANDE CM,134.0,659
2,DCSACM,SANTONIO CM,193.0,668
2,GRAGVL,A. VERMELHA,18.0,664
2,PDCACO,CACONDE,14.0,664
2,GRCAMA,CAMARGOS,1.0,667
2,PDECUN,E. DA CUNHA,15.0,670
2,GRFUNI,FUNIL-MG,4.0,667
2,GRFURN,FURNAS,6.0,667
2,GRIGAR,IGARAPAVA,10.0,667
2,GRITUT,ITUTINGA,2.0,667
2,GRJAGU,JAGUARA,9.0,668
2,GRLCBA,L. C. BARRETO,8.0,667
2,PDLIMO,LIMOEIRO,16.0,664
2,GRMMOR,M. MORAES,7.0,664
2,GRMARI,MARIMBONDO,17.0,664
2,GRPCOL,P. COLOMBIA,12.0,667
2,GRVGRA,VOLTA GRANDE,11.0,668
2,IGUHBI,BAIXO IGUACU,83.0,668
2,IGFND,FUNDÃO,72.0,669
2,IGGBMU,G. B. MUNHOZ,74.0,668
2,JDJORD,JORDÃO,73.0,668
2,IGSCAX,SALTO CAXIAS,82.0,668
2,IGSOSO,SALTO OSORIO,78.0,668
2,IGSSAN,SALTO SANTIAGO,77.0,671
2,IGSCL,SANTA CLARA-PR,71.0,669
2,IGSEGR,SEGREDO,76.0,669
2,ITRSL,ROSAL,217.0,668
2,IAUHSP,SALTO PILAO,215.0,667
2,JIUHQJ,14 DE JULHO,99.0,668
2,OSCNST,CANASTRA,,670
2,JIUHCA,CASTRO ALVES,97.0,668
2,JIUDFR,D. FRANCISCA,114.0,668
2,JIERNE,ERNESTINA,110.0,662
2,JIITAU,ITAUBA,113.0,667
2,JIJACU,JACUI,112.0,667
2,JIUHMC,MONTE CLARO,98.0,668
2,JIPREA,PASSO REAL,111.0,668
2,JEIRAP,IRAPE,148.0,667
2,JEUITP,ITAPEBI,154.0,659
2,MUSCLA,STA.CLARA-MG,283.0,669
2,PYUIQ,ITIQUIRA I,304.0,661
2,PYUIQ2,ITIQUIRA II,305.0,661
2,PYUJAU,JAURU,195.0,665
2,PYUSMS,MANSO,278.0,663
2,PYPP,PONTE DE PEDRA,281.0,669
2,PBANTA,ANTA,128.0,666
2,PBBBRA,BARRA BRAUNA,185.0,668
2,RLFONT,FONTES,132.0,495
2,PBFUNI,FUNIL,123.0,666
2,PBILHP,ILHA POMBOS,130.0,496
2,PBJAGU,JAGUARI,120.0,670
2,RLLAJE,LAJES,124.0,494
2,RLNPEC,NILO PEÇANHA,131.0,495
2,PBPARA,PARAIBUNA,121.0,477
2,RLPPAS,PEREIRA PASSOS,133.0,370
2,PBPCDA,PICADA,126.0,662
2,PBSTAB,SANTA BRANCA,122.0,480
2,PBSTAC,SANTA CECILIA,125.0,495
2,RPSANT,SANTANA,181.0,495
2,PBUSSI,SIMPLICIO,129.0,666
2,PUSOBR,SOBRAGI,127.0,668
2,RPTOCO,TOCOS,180.0,489
2,PBVIG,VIGARIO,182.0,495
2,PNISOL,I. SOLTEIRA,34.0,666
2,PNITAI,ITAIPU,66.0,667
2,PNJUPI,JUPIA,45.0,666
2,PNPPRI,PORTO PRIMAVERA,46.0,487
2,PNUHSD,SAO DOMINGOS,153.0,652
2,PNUHBC,B.COQUEIROS,312.0,649
2,PNUSBL,BATALHA,20.0,664
2,PRCDOU,C. DOURADA,32.0,667
2,PNCPB1,C.BRANCO-1,27.0,667
2,PNCPB2,C.BRANCO-2,28.0,667
2,PNCACU,CACU,311.0,591
2,COCORU,CORUMBA,30.0,664
2,PNUCB3,CORUMBA-3,203.0,659
2,PNUCB4,CORUMBA-4,29.0,665
2,PREMBO,EMBORCAÇÃO,24.0,667
2,PNUHES,ESPORA,290.0,667
2,PNUFRC,FOZ DO RIO CLARO,315.0,668
2,PRITUM,ITUMBIARA,31.0,666
2,ARMIRA,MIRANDA,26.0,667
2,PRNPON,NOVA PONTE,25.0,667
2,PNUHSF,S.DO FACÃO,21.0,667
2,PNSV,S.R.VERDINHO,241.0,672
2,PNST,SALTO,262.0,666
2,PRSSIM,SÃO SIMÃO,33.0,665
2,PPCNO1,CANOAS I,52.0,667
2,PPCNO2,CANOAS II,51.0,667
2,PPCAPI,CAPIVARA,61.0,667
2,PPCHAV,CHAVANTES,49.0,667
2,PPUHMU,GOV JAYME CANET JR,57.0,668
2,PPJURU,JURUMIRIM,47.0,667
2,PPORI,OURINHOS,249.0,672
2,PPPJU,PIRAJU,48.0,671
2,PPROSA,ROSANA,63.0,665
2,PPSGCS,SALTO GRANDE CS,50.0,667
2,PPTAQU,TAQUARUÇU,62.0,672
2,PIBESP,BOA ESPERANÇA,190.0,668
2,ODRBON,RIO BONITO,,672
2,ODUSUI,SUIÇA,,667
2,SFMOXO,APOLONIO SALES,173.0,668
2,SFLGON,LUIZ GONZAGA,172.0,667
2,SFP123,"P. AFONSO 1,2,3",174.0,668
2,SFPAF4,P. AFONSO 4,175.0,668
2,SFQMDO,QUEIMADO,162.0,668
