reservoir_id,name,missing_hour_end_interpreted
JIUHQJ,14 DE JULHO,2023-09-18 02:00:00
JIUHQJ,14 DE JULHO,2023-09-18 03:00:00
JIUHQJ,14 DE JULHO,2023-09-18 07:00:00
JIUHQJ,14 DE JULHO,2023-09-18 08:00:00
JIUHQJ,14 DE JULHO,2023-09-18 09:00:00
JIUHQJ,14 DE JULHO,2023-09-19 16:00:00
JIUHMC,MONTE CLARO,2023-09-18 02:00:00
JIUHMC,MONTE CLARO,2023-09-18 03:00:00
JIUHMC,MONTE CLARO,2023-09-18 07:00:00
JIUHMC,MONTE CLARO,2023-09-18 08:00:00
JIUHMC,MONTE CLARO,2023-09-18 09:00:00
JIUHMC,MONTE CLARO,2023-09-19 16:00:00
JIUHCA,CASTRO ALVES,2023-09-18 02:00:00
JIUHCA,CASTRO ALVES,2023-09-18 03:00:00
JIUHCA,CASTRO ALVES,2023-09-18 07:00:00
JIUHCA,CASTRO ALVES,2023-09-18 08:00:00
JIUHCA,CASTRO ALVES,2023-09-18 09:00:00
JIUHCA,CASTRO ALVES,2023-09-19 16:00:00
