id_reservatorio,nom_reservatorio,cod_usina,rows
AAFGO,FERREIRA GOMES,284.0,720
AAUCCA,CACHOEIRA CALDEIRAO,204.0,720
AMCLR,COLIDER,228.0,720
AMDA,DARDANELOS,310.0,718
AMSAJ,STO ANTONIO DO JARI,286.0,720
AMSAPI,SALTO APIACAS,225.0,720
AMSNPE,SINOP,227.0,720
AMSU,SAMUEL,279.0,720
AMUGUA,GUAPORE,196.0,683
AMUHBB,BALBINA,277.0,551
AMUHCN,COARACY NUNES,280.0,720
AMUHJI,JIRAU,285.0,720
AMUHRD,RONDON II,276.0,698
AMUHTP,TELES PIRES,229.0,720
AMUSBM,BELO MONTE,288.0,702
AMUSMA,SAO MANOEL,230.0,720
AMUSPM,PIMENTAL,314.0,673
AMUSSN,SANTO ANTONIO,287.0,720
ARMIRA,MIRANDA,26.0,720
CASPSO,G. P. SOUZA,115.0,720
COCORU,CORUMBA,30.0,720
CRCURU,CURUA-UNA,272.0,661
DCAIMO,AIMORES,143.0,720
DCMASC,MASCARENHAS,144.0,720
DCPORT,PORTO ESTRELA,135.0,701
DCSACM,SANTONIO CM,193.0,720
DCSCAR,SA CARVALHO,193.0,720
DCUBAG,BAGUARI,141.0,720
DCUHEC,CANDONGA,139.0,714
GRAGVL,A. VERMELHA,18.0,704
GRCAMA,CAMARGOS,1.0,720
GRFUNI,FUNIL-MG,4.0,720
GRFURN,FURNAS,6.0,720
GRIGAR,IGARAPAVA,10.0,720
GRITUT,ITUTINGA,2.0,720
GRJAGU,JAGUARA,9.0,720
GRLCBA,L. C. BARRETO,8.0,720
GRMARI,MARIMBONDO,17.0,720
GRMMOR,M. MORAES,7.0,720
GRPCOL,P. COLOMBIA,12.0,720
GRVGRA,VOLTA GRANDE,11.0,720
IAUHSP,SALTO PILAO,215.0,720
IGFND,FUNDÃO,72.0,720
IGGBMU,G. B. MUNHOZ,74.0,720
IGSCAX,SALTO CAXIAS,82.0,720
IGSCL,SANTA CLARA-PR,71.0,720
IGSEGR,SEGREDO,76.0,720
IGSOSO,SALTO OSORIO,78.0,720
IGSSAN,SALTO SANTIAGO,77.0,720
IGUHBI,BAIXO IGUACU,83.0,718
ITRSL,ROSAL,217.0,720
JDJORD,JORDÃO,73.0,720
JEIRAP,IRAPE,148.0,720
JEUITP,ITAPEBI,154.0,720
JIERNE,ERNESTINA,110.0,720
JIITAU,ITAUBA,113.0,720
JIJACU,JACUI,112.0,720
JIPREA,PASSO REAL,111.0,720
JIUDFR,D. FRANCISCA,114.0,720
JIUHCA,CASTRO ALVES,97.0,714
JIUHMC,MONTE CLARO,98.0,714
JIUHQJ,14 DE JULHO,99.0,714
MUSCLA,STA.CLARA-MG,283.0,466
ODRBON,RIO BONITO,,720
ODUSUI,SUIÇA,,720
OSCNST,CANASTRA,,720
PBANTA,ANTA,128.0,720
PBBBRA,BARRA BRAUNA,185.0,720
PBFUNI,FUNIL,123.0,720
PBILHP,ILHA POMBOS,130.0,693
PBJAGU,JAGUARI,120.0,720
PBPARA,PARAIBUNA,121.0,674
PBPCDA,PICADA,126.0,578
PBSTAB,SANTA BRANCA,122.0,693
PBSTAC,SANTA CECILIA,125.0,693
PBUSSI,SIMPLICIO,129.0,720
PBVIG,VIGARIO,182.0,693
PCGAMO,GUILM. AMORIM,192.0,720
PDCACO,CACONDE,14.0,704
PDECUN,E. DA CUNHA,15.0,720
PDLIMO,LIMOEIRO,16.0,704
PFPFUN,PASSO FUNDO,93.0,719
PGUCV,PEDRA DO CAVALO,189.0,720
PIBESP,BOA ESPERANÇA,190.0,720
PNCACU,CACU,311.0,669
PNCPB1,C.BRANCO-1,27.0,720
