start_source_naive,end_source_naive,slots_15min,status
2020-06-07T02:45:00,2020-06-07T02:45:00,1,unavailable_or_other_qc
2020-06-18T10:00:00,2020-06-18T10:30:00,3,unavailable_or_other_qc
2020-06-27T04:00:00,2020-06-27T04:45:00,4,unavailable_or_other_qc
2020-07-04T09:45:00,2020-07-04T09:45:00,1,unavailable_or_other_qc
2020-07-04T22:00:00,2020-07-04T22:45:00,4,unavailable_or_other_qc
2020-07-08T04:15:00,2020-07-08T04:15:00,1,unavailable_or_other_qc
2020-07-08T05:00:00,2020-07-08T05:00:00,1,unavailable_or_other_qc
2020-07-08T05:45:00,2020-07-09T03:45:00,89,suspect
2020-07-09T04:30:00,2020-07-09T04:45:00,2,unavailable_or_other_qc
2020-07-09T05:30:00,2020-07-09T05:30:00,1,unavailable_or_other_qc
2020-07-09T06:30:00,2020-07-09T06:30:00,1,unavailable_or_other_qc
2020-07-19T20:00:00,2020-07-19T20:15:00,2,unavailable_or_other_qc
2020-07-20T09:00:00,2020-07-20T09:15:00,2,suspect
2020-07-20T09:30:00,2020-07-20T09:45:00,2,unavailable_or_other_qc
