source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,540.0,13.8
86099000,2026-09-21T16:00:00-03:00,60.0,7.45
86102000,2026-09-21T10:00:00-03:00,420.0,7.51
86117000,2026-09-21T16:00:00-03:00,60.0,3.64
86125000,2026-09-21T11:59:00-03:00,301.0,0.8412999999999999
86125050,2026-09-21T16:00:00-03:00,60.0,1.18
86160000,2026-09-21T16:45:00-03:00,15.0,5.57
86163000,2026-09-21T16:00:00-03:00,60.0,1.27
86200900,2026-09-21T12:00:00-03:00,300.0,667.03
86280500,2026-09-21T16:00:00-03:00,60.0,5.3625
86298000,2026-09-21T16:00:00-03:00,60.0,11.41
86403000,2026-09-21T16:00:00-03:00,60.0,8.38
86410800,2026-09-21T16:00:00-03:00,60.0,0.17
86447000,2026-09-21T16:00:00-03:00,60.0,5.34
86448000,2026-09-21T16:00:00-03:00,60.0,152.1
86450000,2026-09-21T16:30:00-03:00,30.0,15.43
86471000,2026-09-21T16:45:00-03:00,15.0,2.08
86472000,2026-09-21T16:30:00-03:00,30.0,14.26
86472600,2026-09-21T16:45:00-03:00,15.0,11.68
86479000,2026-09-21T16:00:00-03:00,60.0,1.07
86488000,2026-09-21T16:00:00-03:00,60.0,0.58
86493000,2026-09-21T16:00:00-03:00,60.0,372.19
86495500,2026-09-21T16:00:00-03:00,60.0,330.82
86500000,2026-09-21T16:30:00-03:00,30.0,5.7829999999999995
86504900,2026-09-21T16:00:00-03:00,60.0,7.04
86505500,2026-09-21T16:00:00-03:00,60.0,1.15
86510000,2026-09-21T16:45:00-03:00,15.0,12.7
julho,2026-09-21T16:00:00-03:00,60.0,5179.34
monte,2026-09-21T16:00:00-03:00,60.0,6377.03
castro,2026-09-21T16:00:00-03:00,60.0,4870.72
