id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,hour_end_local_interpreted,hour_start_local_interpreted,timestamp_interpretation,hour_end_utc_assuming_brasilia,timezone_status,quality_status,source_month,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 16:00:00,241.5,148.48,274.16,1191.0,953.0,156.0,797.0,19.0,0.0,1.0,2024-05-10 16:00:00,2024-05-10 15:00:00,SOURCE_WHOLE_HOUR,2024-05-10 19:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 17:00:00,241.79,149.18,307.83,1646.0,1215.0,156.0,1059.0,19.0,0.0,1.0,2024-05-10 17:00:00,2024-05-10 16:00:00,SOURCE_WHOLE_HOUR,2024-05-10 20:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 18:00:00,242.0,150.02,332.21,1738.0,1426.0,157.0,1269.0,19.0,0.0,1.0,2024-05-10 18:00:00,2024-05-10 17:00:00,SOURCE_WHOLE_HOUR,2024-05-10 21:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 19:00:00,242.23,150.61,358.91,2014.0,1672.0,158.0,1515.0,19.0,0.0,1.0,2024-05-10 19:00:00,2024-05-10 18:00:00,SOURCE_WHOLE_HOUR,2024-05-10 22:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-20.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 20:00:00,242.45,151.17,384.46,2251.0,1924.0,158.0,1766.0,19.0,0.0,1.0,2024-05-10 20:00:00,2024-05-10 19:00:00,SOURCE_WHOLE_HOUR,2024-05-10 23:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 21:00:00,242.62,151.73,404.19,2383.0,2130.0,157.0,1973.0,19.0,0.0,1.0,2024-05-10 21:00:00,2024-05-10 20:00:00,SOURCE_WHOLE_HOUR,2024-05-11 00:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 22:00:00,242.73,152.01,416.96,2432.0,2269.0,157.0,2112.0,19.0,0.0,1.0,2024-05-10 22:00:00,2024-05-10 21:00:00,SOURCE_WHOLE_HOUR,2024-05-11 01:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 23:00:00,242.84,152.28,429.74,2575.0,2412.0,157.0,2255.0,19.0,0.0,1.0,2024-05-10 23:00:00,2024-05-10 22:00:00,SOURCE_WHOLE_HOUR,2024-05-11 02:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-10 23:59:00,242.89,152.5,435.54,2553.0,2478.0,157.0,2322.0,19.0,0.0,1.0,2024-05-11 00:00:00,2024-05-10 23:00:00,23:59_AS_24:00_UNVERIFIED,2024-05-11 03:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-20.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-05-11 01:00:00,242.89,152.65,435.54,2479.0,2479.0,157.0,2322.0,19.0,0.0,1.0,2024-05-11 01:00:00,2024-05-11 00:00:00,SOURCE_WHOLE_HOUR,2024-05-11 04:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
