id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,hour_end_local_interpreted,hour_start_local_interpreted,timestamp_interpretation,hour_end_utc_assuming_brasilia,timezone_status,quality_status,source_month,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 16:00:00,89.2,73.89,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 16:00:00,2024-05-10 15:00:00,SOURCE_WHOLE_HOUR,2024-05-10 19:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 17:00:00,89.2,73.9,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 17:00:00,2024-05-10 16:00:00,SOURCE_WHOLE_HOUR,2024-05-10 20:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 18:00:00,89.2,73.86,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 18:00:00,2024-05-10 17:00:00,SOURCE_WHOLE_HOUR,2024-05-10 21:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 19:00:00,89.2,73.83,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 19:00:00,2024-05-10 18:00:00,SOURCE_WHOLE_HOUR,2024-05-10 22:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 20:00:00,89.2,73.95,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 20:00:00,2024-05-10 19:00:00,SOURCE_WHOLE_HOUR,2024-05-10 23:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 21:00:00,89.2,74.51,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 21:00:00,2024-05-10 20:00:00,SOURCE_WHOLE_HOUR,2024-05-11 00:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 22:00:00,89.2,75.15,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 22:00:00,2024-05-10 21:00:00,SOURCE_WHOLE_HOUR,2024-05-11 01:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 23:00:00,89.2,75.88,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-10 23:00:00,2024-05-10 22:00:00,SOURCE_WHOLE_HOUR,2024-05-11 02:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-10 23:59:00,89.2,76.6,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-11 00:00:00,2024-05-10 23:00:00,23:59_AS_24:00_UNVERIFIED,2024-05-11 03:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-11 01:00:00,89.2,77.32,,33.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-11 01:00:00,2024-05-11 00:00:00,SOURCE_WHOLE_HOUR,2024-05-11 04:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
