id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 01:00:00,241.71,149.0,298.54,1112.0,1142.0,157.0,965.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 02:00:00,241.71,149.0,298.54,1142.0,1142.0,157.0,965.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 03:00:00,241.74,148.85,302.02,1214.0,1170.0,156.0,993.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 04:00:00,241.75,148.85,303.18,1194.0,1179.0,156.0,1002.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 05:00:00,241.79,148.78,307.83,1276.0,1217.0,156.0,1040.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 06:00:00,241.8,148.78,308.99,1241.0,1227.0,156.0,1050.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 07:00:00,241.79,148.78,307.83,1202.0,1217.0,156.0,1040.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 08:00:00,241.77,148.92,305.5,1168.0,1198.0,156.0,1021.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 09:00:00,241.75,148.99,303.18,1149.0,1179.0,156.0,1002.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 10:00:00,241.73,148.78,300.86,1131.0,1160.0,156.0,983.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 11:00:00,241.72,148.78,299.7,1136.0,1151.0,156.0,974.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 12:00:00,241.7,148.78,297.38,1103.0,1133.0,156.0,955.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 13:00:00,241.68,148.78,295.05,1085.0,1114.0,156.0,937.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 14:00:00,241.65,148.71,291.57,1042.0,1087.0,156.0,910.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 15:00:00,241.63,148.71,289.25,1039.0,1069.0,156.0,892.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 16:00:00,241.59,148.71,284.61,974.0,1033.0,157.0,856.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 17:00:00,241.57,148.58,282.28,986.0,1016.0,156.0,839.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 18:00:00,241.54,148.59,278.8,945.0,990.0,156.0,813.0,21.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 19:00:00,241.51,148.32,275.32,920.0,964.0,156.0,787.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 20:00:00,241.49,148.38,273.0,918.0,948.0,156.0,771.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 21:00:00,241.46,148.44,269.51,879.0,924.0,156.0,747.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 22:00:00,241.44,148.36,267.19,878.0,907.0,156.0,731.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 23:00:00,241.41,148.36,263.71,838.0,883.0,156.0,707.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-01 23:59:00,241.39,148.49,261.38,838.0,868.0,156.0,691.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 01:00:00,241.35,148.36,256.74,778.0,837.0,156.0,660.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 02:00:00,241.32,148.28,253.26,769.0,814.0,156.0,637.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 03:00:00,241.29,148.28,249.77,747.0,791.0,156.0,615.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 04:00:00,241.26,148.35,246.29,725.0,769.0,156.0,592.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 05:00:00,241.24,148.28,243.97,725.0,754.0,156.0,578.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 06:00:00,241.2,148.14,239.32,666.0,725.0,156.0,549.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 07:00:00,241.18,148.13,237.0,681.0,711.0,156.0,535.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 08:00:00,241.15,148.2,233.52,646.0,690.0,156.0,514.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 09:00:00,241.11,148.13,228.88,603.0,662.0,156.0,486.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 10:00:00,241.08,148.2,225.39,598.0,642.0,156.0,466.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 11:00:00,241.06,148.2,223.07,599.0,629.0,157.0,452.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 12:00:00,241.03,148.13,219.59,565.0,609.0,157.0,433.0,20.0,0.0,
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2020-07-02 13:00:00,241.01,148.13,217.27,567.0,596.0,157.0,420.0,20.0,0.0,
