window,station,rows,admissible_intervals
2018-08-27,86060010,0,0
2018-08-27,86099000,240,239
2018-08-27,86102000,240,239
2018-08-27,86117000,225,220
2018-08-27,86125000,0,0
2018-08-27,86125050,0,0
2018-08-27,86160000,0,0
2018-08-27,86163000,240,239
2018-08-27,86200900,48,5
2018-08-27,86280500,0,0
2018-08-27,86298000,151,150
2018-08-27,86403000,240,239
2018-08-27,86410800,240,239
2018-08-27,86447000,240,239
2018-08-27,86448000,240,239
2018-08-27,86450000,131,130
2018-08-27,86471000,240,239
2018-08-27,86472000,956,955
2018-08-27,86472600,0,0
2018-08-27,86479000,240,239
2018-08-27,86488000,240,239
2018-08-27,86493000,239,237
2018-08-27,86495500,236,233
2018-08-27,86500000,0,0
2018-08-27,86504900,0,0
2018-08-27,86505500,240,239
2018-08-27,86510000,240,233
2018-09-27,86060010,0,0
2018-09-27,86099000,240,239
2018-09-27,86102000,240,239
2018-09-27,86117000,240,239
2018-09-27,86125000,0,0
2018-09-27,86125050,0,0
2018-09-27,86160000,0,0
2018-09-27,86163000,240,239
2018-09-27,86200900,59,8
2018-09-27,86280500,0,0
2018-09-27,86298000,120,117
2018-09-27,86403000,240,239
2018-09-27,86410800,240,239
2018-09-27,86447000,239,237
2018-09-27,86448000,239,236
2018-09-27,86450000,241,240
2018-09-27,86471000,240,239
2018-09-27,86472000,960,959
2018-09-27,86472600,0,0
2018-09-27,86479000,240,239
2018-09-27,86488000,240,239
2018-09-27,86493000,239,237
2018-09-27,86495500,23,22
2018-09-27,86500000,0,0
2018-09-27,86504900,0,0
2018-09-27,86505500,240,239
2018-09-27,86510000,240,236
