source,lead_h,forecast_m3_s,alpha
julho,0,4658.700958110313,1000.0
julho,1,5116.540367424646,1000.0
julho,2,5640.982597934082,1000.0
julho,3,6051.106206454467,1000.0
julho,4,6414.2844214999195,1000.0
julho,5,6623.9825439881815,1000.0
julho,6,6673.751172848574,1000.0
julho,7,6796.523915662459,1000.0
julho,8,6945.567688585235,1000.0
julho,9,7020.1434071819085,1000.0
julho,10,7129.368140075105,1000.0
julho,11,7388.853826747529,1000.0
carreiro,0,713.377341858412,1000.0
carreiro,1,724.3302750161348,1000.0
carreiro,2,788.4848822197222,1000.0
carreiro,3,781.9561338286162,1000.0
carreiro,4,769.5299336368557,1000.0
carreiro,5,847.5500832087845,1000.0
carreiro,6,930.2173190816834,1000.0
carreiro,7,920.210629046395,1000.0
carreiro,8,943.6528506687043,1000.0
carreiro,9,866.9015490260942,1000.0
carreiro,10,1009.7150295045263,1000.0
carreiro,11,942.1421131965719,1000.0
