mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,lead_h,phase,score
0.0345877978922327,0.05497963572043003,-0.0003985620748120885,0.07637703565257277,0.481431773915868,1350,linear_log,1.0,test,0.0969396922818903
0.16305434937225424,0.2555145756311703,-0.0535869354170857,0.4391070988803854,0.6375377100618218,13,linear_log,1.0,today,0.0969396922818903
0.027743844526920622,0.04678524690134868,-0.0004732392771878328,0.06535329246756828,0.5167163912504682,1350,arvores,1.0,test,0.20615534503613425
0.13602198079239963,0.225214900706657,-0.08590373675819823,0.42577807064406004,0.562119229301941,13,arvores,1.0,today,0.20615534503613425
0.027639765830226586,0.04584001008591074,0.0006690522950373838,0.06689604395576156,0.45212681565416446,1350,arvores_previsao_chuva,1.0,test,0.2027206652509252
0.14196601546544094,0.23317027372042992,-0.06894233416192641,0.43439705424241204,0.5827601830911249,13,arvores_previsao_chuva,1.0,today,0.2027206652509252
0.06997047675571516,0.10381677760466487,0.019455516647758023,0.16276636650770204,0.6658416097326576,1348,linear_log,2.0,test,0.22763682216849102
0.356215210394149,0.5472415501665332,-0.19836890747144023,0.8759297345420672,1.4071611198360472,12,linear_log,2.0,today,0.22763682216849102
0.04967460852797146,0.08507978876303747,0.00032341438000790953,0.11156763814986856,0.6394658591311373,1348,arvores,2.0,test,0.15474402320553743
0.35353770503186244,0.5842375828785168,-0.27723390034130724,0.9639462208566301,1.4951880932035113,12,arvores,2.0,today,0.15474402320553743
0.04924756530830231,0.08378093322720918,-0.0005650828328627834,0.1118436840787269,0.6560763708170061,1348,arvores_previsao_chuva,2.0,test,0.15817641524221002
0.3518506899325054,0.5848971575954225,-0.27070944876475755,0.957820572401635,1.4968883184730464,12,arvores_previsao_chuva,2.0,today,0.15817641524221002
0.08800251730141767,0.1331281883605894,0.004396972865780511,0.2003338557803307,0.8785072120477349,1346,linear_log,3.0,test,0.24891003144258783
0.5831637405113931,0.9087148455370365,-0.49275701733759886,1.7818327309822521,2.014357201682099,11,linear_log,3.0,today,0.24891003144258783
0.06718729923643744,0.11054863804401688,0.003794514979767801,0.158982496173111,0.8749830755259183,1346,arvores,3.0,test,0.17494420551848655
0.6391096551539825,0.9768173080319612,-0.6241664477151466,1.8254531858577927,2.1162441841774395,11,arvores,3.0,today,0.17494420551848655
0.07607094379389348,0.12498319026373884,0.010940572525102334,0.17320182258060868,0.7825564096903186,1346,arvores_previsao_chuva,3.0,test,0.17067640053482624
0.6048421640712213,0.9328453280557284,-0.5763481129789395,1.7484535945988773,1.9689441912674903,11,arvores_previsao_chuva,3.0,today,0.17067640053482624
0.11719139628804838,0.17684836655118086,0.02430555954245082,0.271623176400658,1.0951022065093792,1345,linear_log,4.0,test,0.2531547577608812
0.9020852883110692,1.3455032221824663,-0.8850160837644427,2.4293075788220735,2.5214285415117885,10,linear_log,4.0,today,0.2531547577608812
0.09730627196245861,0.15722937025297712,0.003830705113246517,0.22733254119442506,1.2539541863560206,1345,arvores,4.0,test,0.20026788813070903
1.061119433014428,1.4711833837254997,-1.0267875222806377,2.5073216669800975,2.702404797996186,10,arvores,4.0,today,0.20026788813070903
0.09046140692271314,0.14937075188305415,0.004612514291073965,0.20463898377700898,1.12045957786534,1345,arvores_previsao_chuva,4.0,test,0.19625341135977076
1.0294811194719482,1.4394413723114778,-1.0013007449937383,2.461341123967093,2.6137980819468556,10,arvores_previsao_chuva,4.0,today,0.19625341135977076
0.16240402207802873,0.23957343569524717,0.06302419700750107,0.38043351428145505,1.4352643142786352,1344,linear_log,5.0,test,0.28745490742355095
1.4115235165009712,1.8626301983331517,-1.3920288486762555,2.9254856249856815,2.9784801074353355,9,linear_log,5.0,today,0.28745490742355095
0.11487575168934108,0.18997658119712418,0.007438359248035669,0.268894349989723,1.2335237601960731,1344,arvores,5.0,test,0.19097167919544292
1.3802754672527047,1.8422328917617516,-1.3761015755674748,2.8404374273107753,2.954910069532956,9,arvores,5.0,today,0.19097167919544292
0.11466771010450968,0.18913901163938496,0.0026566323818769297,0.24987862174565553,1.387850585706122,1344,arvores_previsao_chuva,5.0,test,0.20654417197276304
1.3004852359922112,1.7307601108739588,-1.286945159386886,2.6713604314541373,2.693157450449082,9,arvores_previsao_chuva,5.0,today,0.20654417197276304
0.21893000673218818,0.3081546473422811,0.09704199476681218,0.48843920033314436,1.5421622831123187,1343,linear_log,6.0,test,0.3382645092929208
1.7189021128557522,2.1695392611946582,-1.7029322831520415,3.3923842294759767,3.408456175861139,8,linear_log,6.0,today,0.3382645092929208
0.15272569091516774,0.25370732722952,-0.006494095262547178,0.34366147027208654,1.9230865923725347,1343,arvores,6.0,test,0.22986083186775685
1.6301098529247677,2.067971740531916,-1.6301098529247677,3.0538625018529157,3.4016709101300804,8,arvores,6.0,today,0.22986083186775685
0.1506057162210693,0.2427931605329348,-0.003551300938745693,0.34521665154037884,1.791750905852437,1343,arvores_previsao_chuva,6.0,test,0.2254065064826261
1.532568349569959,1.976191416179081,-1.532568349569959,3.0204369055258806,3.2158919441927423,8,arvores_previsao_chuva,6.0,today,0.2254065064826261
0.2709866946045892,0.3711848217335489,0.11697005907142942,0.5995900000959197,2.124102535079735,1342,linear_log,7.0,test,0.38103123866319183
2.04881263917865,2.4637013183176837,-2.04881263917865,3.6585732016774863,3.8355142707763332,7,linear_log,7.0,today,0.38103123866319183
0.20825673994082589,0.3218038100013302,-0.004389590029485765,0.4544060756403154,2.508341347251367,1342,arvores,7.0,test,0.2542193987455132
1.9884963689941297,2.435410945170909,-1.9884963689941297,3.6641248102310016,3.85239269960239,7,arvores,7.0,today,0.2542193987455132
0.1851052661932503,0.2968964375602594,-0.011761879777505948,0.39888399308146555,2.268372714863297,1342,arvores_previsao_chuva,7.0,test,0.23802162317328665
1.9339807386456733,2.3462817737373696,-1.9339807386456733,3.4830229465140192,3.652336974817984,7,arvores_previsao_chuva,7.0,today,0.23802162317328665
0.29367200467678717,0.4159582573308347,0.014098509554509754,0.6368888707467395,3.128941321359907,1341,linear_log,8.0,test,0.4147938315816052
2.4040711498477885,2.7270655701316464,-2.4040711498477885,3.788165813865425,4.00650106958949,6,linear_log,8.0,today,0.4147938315816052
0.254154443330002,0.3994797348843941,-0.031288656852136436,0.5298505874507158,2.88814153354701,1341,arvores,8.0,test,0.31587298237808936
2.3946198319525713,2.6852319860590543,-2.3946198319525713,3.764422723941196,4.0097310784680875,6,arvores,8.0,today,0.31587298237808936
0.2553867246057495,0.4020139314269663,-0.013333576706467204,0.5633095282138596,3.3713056102654857,1341,arvores_previsao_chuva,8.0,test,0.3174673389900468
