model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
linear_log,1.0,2026-09-21T14:00:00-03:00,2026-09-21T15:00:00-03:00,8.993545126652192,8.554438027771807,9.432652225532577,0.0969396922818903,"(10.0, True)",0.0345877978922327,0.16305434937225424,13,0.4391070988803854
arvores,1.0,2026-09-21T14:00:00-03:00,2026-09-21T15:00:00-03:00,8.851302631865941,8.42552456122188,9.277080702510002,0.20615534503613425,"(15, 'squared_error')",0.027743844526920622,0.13602198079239963,13,0.42577807064406004
arvores_previsao_chuva,1.0,2026-09-21T14:00:00-03:00,2026-09-21T15:00:00-03:00,8.876814718462114,8.442417664219702,9.311211772704526,0.2027206652509252,"(15, 'squared_error')",0.027639765830226586,0.14196601546544094,13,0.43439705424241204
linear_log,2.0,2026-09-21T14:00:00-03:00,2026-09-21T16:00:00-03:00,10.649197556167408,9.77326782162534,11.525127290709476,0.22763682216849102,"(10.0, True)",0.06997047675571516,0.356215210394149,12,0.8759297345420672
arvores,2.0,2026-09-21T14:00:00-03:00,2026-09-21T16:00:00-03:00,9.677700309028237,8.713754088171607,10.641646529884868,0.15474402320553743,"(15, 'absolute_error')",0.04967460852797146,0.35353770503186244,12,0.9639462208566301
arvores_previsao_chuva,2.0,2026-09-21T14:00:00-03:00,2026-09-21T16:00:00-03:00,9.628927762377952,8.671107189976317,10.586748334779587,0.15817641524221002,"(15, 'absolute_error')",0.04924756530830231,0.3518506899325054,12,0.957820572401635
linear_log,3.0,2026-09-21T14:00:00-03:00,2026-09-21T17:00:00-03:00,12.363382792108967,10.581550061126714,14.145215523091219,0.24891003144258783,"(10.0, False)",0.08800251730141767,0.5831637405113931,11,1.7818327309822521
arvores,3.0,2026-09-21T14:00:00-03:00,2026-09-21T17:00:00-03:00,10.382255878225909,8.556802692368116,12.207709064083701,0.17494420551848655,"(15, 'absolute_error')",0.06718729923643744,0.6391096551539825,11,1.8254531858577927
arvores_previsao_chuva,3.0,2026-09-21T14:00:00-03:00,2026-09-21T17:00:00-03:00,10.557417275531126,8.808963680932248,12.305870870130004,0.17067640053482624,"(15, 'squared_error')",0.07607094379389348,0.6048421640712213,11,1.7484535945988773
linear_log,4.0,2026-09-21T14:00:00-03:00,2026-09-21T18:00:00-03:00,14.627554322200108,12.198246743378036,17.05686190102218,0.2531547577608812,"(10.0, False)",0.11719139628804838,0.9020852883110692,10,2.4293075788220735
