h,time,forecast_m,today_mae_m,test_mae_m,tau_h
1,2026-09-21T15:00:00-03:00,9.743138967279286,0.48459559362606497,0.2373322363953183,2.0
2,2026-09-21T16:00:00-03:00,11.050108667860485,0.7083082931625659,0.3302738242004006,2.0
3,2026-09-21T17:00:00-03:00,12.207228708529108,0.9967954545816873,0.37673117210541107,2.0
4,2026-09-21T18:00:00-03:00,13.280400942541895,1.2062907162748864,0.4000984497139568,2.0
5,2026-09-21T19:00:00-03:00,13.90056327351926,1.2303027939365196,0.34686456842801294,6.0
6,2026-09-21T20:00:00-03:00,14.802506710676852,1.4740650136094728,0.37367526357089087,6.0
7,2026-09-21T21:00:00-03:00,15.56208125208168,1.7130367635963408,0.4054911378168384,6.0
8,2026-09-21T22:00:00-03:00,16.333895243372965,2.1335414396750187,0.480736089709783,2.0
9,2026-09-21T23:00:00-03:00,16.63910569102918,2.450126109223766,0.524934890676365,2.0
10,2026-09-22T00:00:00-03:00,16.887809810792348,2.7851338021963032,0.5847981389199647,2.0
11,2026-09-22T01:00:00-03:00,17.081886101339663,3.02481171416337,0.6440122480448953,2.0
12,2026-09-22T02:00:00-03:00,17.069575497769026,3.1130570184954065,0.6837453171057126,6.0
