id,rede,registros,ultimo_brt,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,papel
IFLORE242,wu,179,2026-09-21T15:07:00-03:00,7.3,1.2,183.59999999999997,,Conferência; não assimilada diretamente na calibração longa ANA
ISOMAR32,wu,181,2026-09-21T15:07:00-03:00,7.3,0.7,163.60000000000002,,Conferência; não assimilada diretamente na calibração longa ANA
IMUITO3,wu,179,2026-09-21T15:06:00-03:00,8.3,20.1,24.6,,Conferência; não assimilada diretamente na calibração longa ANA
IGARIB22,wu,165,2026-09-21T15:06:00-03:00,8.3,2.2,83.09999999999997,,Conferência; não assimilada diretamente na calibração longa ANA
IBENTO5,wu,179,2026-09-21T15:07:00-03:00,7.3,1.3,156.19999999999996,,Conferência; não assimilada diretamente na calibração longa ANA
ISOMAR20,wu,179,2026-09-21T15:07:00-03:00,7.3,0.7,112.99999999999996,,Conferência; não assimilada diretamente na calibração longa ANA
IANDRD3,wu,179,2026-09-21T15:06:00-03:00,8.3,1.2,60.7,,Conferência; não assimilada diretamente na calibração longa ANA
IBOMJE2,wu,179,2026-09-21T15:07:00-03:00,7.3,0.0,0.0,,Conferência; não assimilada diretamente na calibração longa ANA
ISOJOS89,wu,179,2026-09-21T15:06:00-03:00,8.3,0.0,7.5,,Conferência; não assimilada diretamente na calibração longa ANA
IMUITO2,wu,181,2026-09-21T15:06:00-03:00,8.3,5.1,48.300000000000004,,Conferência; não assimilada diretamente na calibração longa ANA
IFARRO1,wu,181,2026-09-21T15:07:00-03:00,7.3,1.8,190.00000000000003,,Conferência; não assimilada diretamente na calibração longa ANA
ICOTIP1,wu,179,2026-09-21T15:06:00-03:00,8.3,0.2,114.09999999999998,,Conferência; não assimilada diretamente na calibração longa ANA
ICAXIA4,wu,179,2026-09-21T15:07:00-03:00,7.3,0.0,0.0,,Conferência; não assimilada diretamente na calibração longa ANA
IGARIB14,wu,166,2026-09-21T15:07:00-03:00,7.3,1.7,98.79999999999998,,Conferência; não assimilada diretamente na calibração longa ANA
IVACAR13,wu,181,2026-09-21T15:07:00-03:00,7.3,2.5,53.299999999999976,,Conferência; não assimilada diretamente na calibração longa ANA
IRIOGRAN15,wu,181,2026-09-21T15:07:00-03:00,7.3,0.3,32.5,,Conferência; não assimilada diretamente na calibração longa ANA
IMUITO4,wu,179,2026-09-21T15:07:00-03:00,7.3,11.7,52.30000000000001,,Conferência; não assimilada diretamente na calibração longa ANA
IGARIB3,wu,179,2026-09-21T15:07:00-03:00,7.3,2.5,126.19999999999992,,Conferência; não assimilada diretamente na calibração longa ANA
IANTNI11,wu,179,2026-09-21T15:07:00-03:00,7.3,0.2,128.99999999999994,,Conferência; não assimilada diretamente na calibração longa ANA
IMONTE719,wu,179,2026-09-21T15:07:00-03:00,7.3,7.3,54.199999999999996,,Conferência; não assimilada diretamente na calibração longa ANA
IMONTE527,wu,174,2026-09-21T15:07:00-03:00,7.3,-999.9,0.0,,Conferência; não assimilada diretamente na calibração longa ANA
IVACAR7,wu,179,2026-09-21T15:06:00-03:00,8.3,0.0,3.0999999999999996,,Conferência; não assimilada diretamente na calibração longa ANA
IBENTOGO2,wu,182,2026-09-21T15:07:00-03:00,7.3,0.2,128.69999999999993,,Conferência; não assimilada diretamente na calibração longa ANA
EPAGRI-2416,epagri,15,2026-09-21T14:00:00-03:00,74.3,19.6,22.5,,Conferência; não assimilada diretamente na calibração longa ANA
EPAGRI-2417,epagri,15,2026-09-21T14:00:00-03:00,74.3,3.4,109.9,,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00008,dcrs,833,2026-09-21T15:12:00-03:00,2.3,0.4,119.2,169.29,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00084,dcrs,903,2026-09-21T15:12:00-03:00,2.3,0.0,0.0,860.61,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00110,dcrs,902,2026-09-21T15:12:00-03:00,2.3,4.4,49.6,743.6,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00057,dcrs,904,2026-09-21T15:12:00-03:00,2.3,0.0,31.8,100.58,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00086,dcrs,862,2026-09-21T15:12:00-03:00,2.3,0.0,8.8,608.1,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00007,dcrs,872,2026-09-21T15:12:00-03:00,2.3,0.2,41.8,357.16,Conferência; não assimilada diretamente na calibração longa ANA
DCRS-00087,dcrs,905,2026-09-21T15:12:00-03:00,2.3,0.2,152.6,nan,Conferência; não assimilada diretamente na calibração longa ANA
77788ab5-01bc-43b6-b80d-db4290875b75,davis,138,2026-09-21T15:09:00-03:00,5.3,2.4,14.0,,Conferência; não assimilada diretamente na calibração longa ANA
ab46b07e-1acd-489e-b1d8-4b7dbae9efa3,davis,136,2026-09-21T15:05:00-03:00,9.3,3.3,78.5,,Conferência; não assimilada diretamente na calibração longa ANA
d622afde-1f48-478c-818d-4640d8f3ca03,davis,138,2026-09-21T15:07:00-03:00,7.3,0.0,13.0,,Conferência; não assimilada diretamente na calibração longa ANA
9ea7ec27-3065-4660-a529-07f6bfe5c030,davis,138,2026-09-21T15:08:00-03:00,6.3,3.0,80.0,,Conferência; não assimilada diretamente na calibração longa ANA
