model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
linear_log,1.0,2026-09-21T15:00:00-03:00,2026-09-21T16:00:00-03:00,11.44554159977831,11.025996823107562,11.865086376449057,0.09763892373552618,"(10.0, True)",0.03422926734012132,0.14516960825099148,14,0.41954477667074686
arvores,1.0,2026-09-21T15:00:00-03:00,2026-09-21T16:00:00-03:00,10.353072770723314,9.995752158457337,10.71039338298929,0.1999858932852717,"(7, 'squared_error')",0.03008081669782199,0.1348169511041024,14,0.3573206122659755
arvores_previsao_chuva,1.0,2026-09-21T15:00:00-03:00,2026-09-21T16:00:00-03:00,10.354225675568127,9.965048902733244,10.74340244840301,0.1976888747312884,"(7, 'squared_error')",0.029791323928759602,0.1453162869937141,14,0.3891767728348825
linear_log,2.0,2026-09-21T15:00:00-03:00,2026-09-21T17:00:00-03:00,13.34952704236192,12.50942967716827,14.18962440755557,0.21439483963743775,"(10.0, True)",0.06880056854984572,0.3422019828305585,13,0.8400973651936487
arvores,2.0,2026-09-21T15:00:00-03:00,2026-09-21T17:00:00-03:00,11.003544999814586,10.076485428483258,11.930604571145915,0.14475728662430867,"(15, 'absolute_error')",0.048960229475513345,0.32011898690058627,13,0.9270595713313282
arvores_previsao_chuva,2.0,2026-09-21T15:00:00-03:00,2026-09-21T17:00:00-03:00,11.209646933704338,10.239485512252797,12.17980835515588,0.14188075530804986,"(15, 'squared_error')",0.05301901621329195,0.3442369475117764,13,0.9701614214515413
linear_log,3.0,2026-09-21T15:00:00-03:00,2026-09-21T18:00:00-03:00,14.908084888627014,13.194054970791344,16.622114806462683,0.24349649224474848,"(10.0, False)",0.08790305989125466,0.5721783280495367,12,1.7140299178356702
arvores,3.0,2026-09-21T15:00:00-03:00,2026-09-21T18:00:00-03:00,11.590660084512892,9.817794269099334,13.36352589992645,0.17439024366809464,"(15, 'absolute_error')",0.06726179763580083,0.5906182450209602,12,1.772865815413558
arvores_previsao_chuva,3.0,2026-09-21T15:00:00-03:00,2026-09-21T18:00:00-03:00,11.501219284075743,9.723671411245304,13.278767156906182,0.16902311400264974,"(15, 'absolute_error')",0.06604189170818238,0.5776572645010326,12,1.7775478728304392
linear_log,4.0,2026-09-21T15:00:00-03:00,2026-09-21T19:00:00-03:00,16.14212733115506,13.72850535928702,18.5557493030231,0.26516756862148305,"(10.0, False)",0.11983742709004687,0.8602807241979591,11,2.4136219718680394
arvores,4.0,2026-09-21T15:00:00-03:00,2026-09-21T19:00:00-03:00,11.817873745274428,9.275970874603036,14.359776615945819,0.20324714931531584,"(7, 'absolute_error')",0.09732746636260352,1.0518104340219152,11,2.5419028706713913
arvores_previsao_chuva,4.0,2026-09-21T15:00:00-03:00,2026-09-21T19:00:00-03:00,11.650989959045251,9.187340768979825,14.114639149110678,0.1875152267003747,"(15, 'absolute_error')",0.09168131118710222,0.9968684416508935,11,2.4636491900654267
linear_log,5.0,2026-09-21T15:00:00-03:00,2026-09-21T20:00:00-03:00,16.979772068683964,14.03415229393688,19.925391843431047,0.30391535105406664,"(10.0, False)",0.1671772522377364,1.3705152146301827,10,2.945619774747083
arvores,5.0,2026-09-21T15:00:00-03:00,2026-09-21T20:00:00-03:00,12.402821163468221,9.54251645679156,15.263125870144883,0.22977354731673183,"(15, 'absolute_error')",0.13149055573675844,1.4822755393778657,10,2.860304706676662
arvores_previsao_chuva,5.0,2026-09-21T15:00:00-03:00,2026-09-21T20:00:00-03:00,12.403635040443014,9.602402387587315,15.204867693298713,0.2500889519736444,"(15, 'absolute_error')",0.12985514201917617,1.4035995813140818,10,2.801232652855699
linear_log,6.0,2026-09-21T15:00:00-03:00,2026-09-21T21:00:00-03:00,17.618944093657557,14.11430251589552,21.123585671419594,0.34461887188380186,"(10.0, False)",0.221809387099638,1.958925171602523,9,3.504641577762036
arvores,6.0,2026-09-21T15:00:00-03:00,2026-09-21T21:00:00-03:00,11.909028898814125,8.482102682708243,15.335955114920006,0.2924579695103647,"(15, 'absolute_error')",0.18132259802022205,1.868675313875169,9,3.426926216105882
arvores_previsao_chuva,6.0,2026-09-21T15:00:00-03:00,2026-09-21T21:00:00-03:00,12.103225906054362,8.796864935819476,15.409586876289248,0.3241094780159018,"(15, 'absolute_error')",0.18169918844503566,1.7939927120970565,9,3.3063609702348864
linear_log,7.0,2026-09-21T15:00:00-03:00,2026-09-21T22:00:00-03:00,18.175805763193026,14.230563532266348,22.121047994119703,0.40863899834881,"(10.0, False)",0.27668731023487064,2.3297702179709967,8,3.945242230926677
arvores,7.0,2026-09-21T15:00:00-03:00,2026-09-21T22:00:00-03:00,13.505618356944053,9.773621078741135,17.23761563514697,0.3474735895584108,"(15, 'squared_error')",0.22736166091142848,2.299593468711675,8,3.731997278202918
arvores_previsao_chuva,7.0,2026-09-21T15:00:00-03:00,2026-09-21T22:00:00-03:00,13.445622097751722,9.983808235898666,16.907435959604776,0.3497625932204881,"(15, 'squared_error')",0.22390116977432814,2.115980644804862,8,3.461813861853056
linear_log,8.0,2026-09-21T15:00:00-03:00,2026-09-21T23:00:00-03:00,18.45944632085726,14.214898893015173,22.703993748699347,0.46779126899141943,"(100.0, False)",0.31729680790543197,2.7402879641665794,7,4.244547427842088
arvores,8.0,2026-09-21T15:00:00-03:00,2026-09-21T23:00:00-03:00,13.671157109212622,9.279046873938377,18.063267344486867,0.3996959116703197,"(7, 'squared_error')",0.2942284585794487,2.8384292938265214,7,4.392110235274246
arvores_previsao_chuva,8.0,2026-09-21T15:00:00-03:00,2026-09-21T23:00:00-03:00,13.629904539529917,9.47080518300551,17.789003896054325,0.38840099697658936,"(15, 'squared_error')",0.28217491149456975,2.6304880296378443,7,4.1590993565244085
linear_log,9.0,2026-09-21T15:00:00-03:00,2026-09-22T00:00:00-03:00,18.64562022475196,14.199221115739277,23.09201933376464,0.5760066481118123,"(100.0, False)",0.3648591265528547,3.1765148499245703,6,4.44639910901268
arvores,9.0,2026-09-21T15:00:00-03:00,2026-09-22T00:00:00-03:00,13.781879852337596,9.181459563990224,18.38230014068497,0.47237317375095234,"(7, 'squared_error')",0.348063882921936,3.2583523449792673,6,4.600420288347372
arvores_previsao_chuva,9.0,2026-09-21T15:00:00-03:00,2026-09-22T00:00:00-03:00,14.164101359105347,9.90482670419831,18.423376014012383,0.4729511881395206,"(15, 'squared_error')",0.33536429648476235,2.9736186297404514,6,4.259274654907037
linear_log,10.0,2026-09-21T15:00:00-03:00,2026-09-22T01:00:00-03:00,18.71268533118863,14.106382207684469,23.318988454692793,0.6889326646450165,"(100.0, False)",0.40353609662654416,3.5729224538824482,5,4.606303123504163
arvores,10.0,2026-09-21T15:00:00-03:00,2026-09-22T01:00:00-03:00,13.849130893245306,9.231749271137996,18.466512515352616,0.5957886444361334,"(7, 'squared_error')",0.3916609752793995,3.576892510370702,5,4.6173816221073105
arvores_previsao_chuva,10.0,2026-09-21T15:00:00-03:00,2026-09-22T01:00:00-03:00,13.977466606446058,9.576147983851616,18.3787852290405,0.5768094433346136,"(7, 'squared_error')",0.3895284660856389,3.33736060918189,5,4.401318622594441
linear_log,11.0,2026-09-21T15:00:00-03:00,2026-09-22T02:00:00-03:00,18.756401216290193,14.057019159427963,23.455783273152424,0.7400877500660648,"(100.0, False)",0.43537827901484294,3.881443880357896,4,4.699382056862231
