model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
arvores_previsao_chuva,1.0,2026-09-21T15:00:00-03:00,2026-09-21T16:00:00-03:00,10.354225675568127,9.965048902733244,10.74340244840301,0.1976888747312884,"(7, 'squared_error')",0.029791323928759602,0.1453162869937141,14,0.3891767728348825
arvores_previsao_chuva,2.0,2026-09-21T15:00:00-03:00,2026-09-21T17:00:00-03:00,11.209646933704338,10.239485512252797,12.17980835515588,0.14188075530804986,"(15, 'squared_error')",0.05301901621329195,0.3442369475117764,13,0.9701614214515413
arvores_previsao_chuva,3.0,2026-09-21T15:00:00-03:00,2026-09-21T18:00:00-03:00,11.501219284075743,9.723671411245304,13.278767156906182,0.16902311400264974,"(15, 'absolute_error')",0.06604189170818238,0.5776572645010326,12,1.7775478728304392
arvores_previsao_chuva,4.0,2026-09-21T15:00:00-03:00,2026-09-21T19:00:00-03:00,11.650989959045251,9.187340768979825,14.114639149110678,0.1875152267003747,"(15, 'absolute_error')",0.09168131118710222,0.9968684416508935,11,2.4636491900654267
arvores_previsao_chuva,5.0,2026-09-21T15:00:00-03:00,2026-09-21T20:00:00-03:00,12.403635040443014,9.602402387587315,15.204867693298713,0.2500889519736444,"(15, 'absolute_error')",0.12985514201917617,1.4035995813140818,10,2.801232652855699
arvores_previsao_chuva,6.0,2026-09-21T15:00:00-03:00,2026-09-21T21:00:00-03:00,12.103225906054362,8.796864935819476,15.409586876289248,0.3241094780159018,"(15, 'absolute_error')",0.18169918844503566,1.7939927120970565,9,3.3063609702348864
arvores_previsao_chuva,7.0,2026-09-21T15:00:00-03:00,2026-09-21T22:00:00-03:00,13.445622097751722,9.983808235898666,16.907435959604776,0.3497625932204881,"(15, 'squared_error')",0.22390116977432814,2.115980644804862,8,3.461813861853056
arvores_previsao_chuva,8.0,2026-09-21T15:00:00-03:00,2026-09-21T23:00:00-03:00,13.629904539529917,9.47080518300551,17.789003896054325,0.38840099697658936,"(15, 'squared_error')",0.28217491149456975,2.6304880296378443,7,4.1590993565244085
arvores_previsao_chuva,9.0,2026-09-21T15:00:00-03:00,2026-09-22T00:00:00-03:00,14.164101359105347,9.90482670419831,18.423376014012383,0.4729511881395206,"(15, 'squared_error')",0.33536429648476235,2.9736186297404514,6,4.259274654907037
arvores_previsao_chuva,10.0,2026-09-21T15:00:00-03:00,2026-09-22T01:00:00-03:00,13.977466606446058,9.576147983851616,18.3787852290405,0.5768094433346136,"(7, 'squared_error')",0.3895284660856389,3.33736060918189,5,4.401318622594441
arvores_previsao_chuva,11.0,2026-09-21T15:00:00-03:00,2026-09-22T02:00:00-03:00,13.799682357580576,9.328330593356483,18.271034121804668,0.7639738376990177,"(7, 'squared_error')",0.4259493663280163,3.700719462692533,4,4.471351764224092
arvores_previsao_chuva,12.0,2026-09-21T15:00:00-03:00,2026-09-22T03:00:00-03:00,13.737598273980495,9.47784871293944,17.99734783502155,1.0071341205204285,"(7, 'squared_error')",0.45204161699412354,3.823401482320944,3,4.259749561041055
