horario_brasilia,nivel_estimado_m,antecedencia_h,modelo,status
2026-09-21T16:00:00-03:00,10.354,1,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T17:00:00-03:00,11.21,2,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T18:00:00-03:00,11.501,3,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T19:00:00-03:00,11.651,4,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T20:00:00-03:00,12.404,5,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T21:00:00-03:00,12.103,6,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T22:00:00-03:00,13.446,7,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-21T23:00:00-03:00,13.63,8,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-22T00:00:00-03:00,14.164,9,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-22T01:00:00-03:00,13.977,10,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-22T02:00:00-03:00,13.8,11,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
2026-09-22T03:00:00-03:00,13.738,12,arvores_previsao_chuva,Estimativa central independente; alta precisão não demonstrada
