mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,phase,tau_h
0.13045378896133858,0.17493653964010997,0.057557293869621606,0.2856949785962904,0.9711503916384632,5984,1,validation,6.0
0.28805035620496905,0.38281453611871447,0.16826993738978768,0.6163593093300189,2.316225387288532,5973,2,validation,2.0
0.33237804585197317,0.4440172220775249,0.1980258345770465,0.714151881729381,2.802134174025174,5965,3,validation,2.0
0.35488606333461825,0.4789127722350782,0.21711608191408738,0.7654456614934939,3.1339394662811135,5959,4,validation,2.0
0.3196101038419909,0.4349228998843594,0.16644021890813995,0.6993288564625539,2.942147498560623,5959,5,validation,6.0
0.33675067505449413,0.4631913545401409,0.18325315852258278,0.742883237895764,3.3923478329792527,5959,6,validation,6.0
0.38399412184068277,0.535701982343831,0.251041147891002,0.8464451329888386,4.221929820401984,5960,7,validation,2.0
0.4011100722986443,0.5618563137940038,0.26466702820836735,0.8794988785757338,4.600432170725801,5961,8,validation,2.0
0.4243029610954031,0.5952804791307738,0.2795297642614741,0.932809009857449,4.975442700410275,5963,9,validation,2.0
0.45367085334560275,0.635241965752201,0.29582184543367335,0.984790850544149,5.2692168473693854,5962,10,validation,2.0
0.46608620880061385,0.6549233399795228,0.2873446516176914,1.0154036403505537,5.402798257785462,5963,11,validation,6.0
0.4800600949415158,0.6744913370559674,0.2678389882858784,1.055441824153168,5.422918900430917,5962,12,validation,12.0
0.14399990229418216,0.208743307668714,0.0026805777075096524,0.3401985874735954,1.6288472430886625,1587,1,test,6.0
0.321933422748277,0.4454146503572259,-0.009507939242381568,0.6184792440256557,2.963441695472138,1583,2,test,2.0
0.37057122095885847,0.5202961877572568,-0.01551525007029112,0.7027920123163726,3.483833182775241,1579,3,test,2.0
0.3983215447433155,0.5708977062020786,-0.020421716031561295,0.7463858572065276,3.922088434719017,1578,4,test,2.0
0.3589910514271258,0.5423559629426491,-0.007428129944391104,0.7282910377156505,4.223874436986248,1577,5,test,6.0
0.40032358260935125,0.6104592524580483,-0.007137092126496545,0.8023769942224179,4.9707331044442356,1576,6,test,6.0
0.4842777606633202,0.7347784477312432,-0.02668786791019153,0.9845581129508546,6.19229333701041,1575,7,test,2.0
0.5296233745787875,0.806044553703891,-0.02931093297941558,1.1176808430697882,6.587530007479906,1574,8,test,2.0
0.5877549720914439,0.9047744676298928,-0.03805635457546738,1.2240096773342233,7.851645830172245,1573,9,test,2.0
0.6442124021731666,0.9860935635121347,-0.04478614479038641,1.3279198101886547,8.916506849742502,1572,10,test,2.0
0.6797709194811017,1.039541181740435,-0.04401394165527249,1.3744807007990967,9.654793277403243,1571,11,test,6.0
0.715067402804051,1.0942568707958253,-0.04360178235333653,1.376428459329532,10.322868967644816,1570,12,test,12.0
0.38509336491081125,0.5142244772368163,-0.1398375105359563,0.828056834703879,1.1046217215781056,14,1,today,6.0
0.736859493169296,0.8961801415934602,-0.6625565994246865,1.506441523235842,1.614469567075866,13,2,today,2.0
0.9837315737452328,1.2064210599046203,-0.9837315737452328,1.9758125647682745,2.064795706031658,12,3,today,2.0
1.2128233757192783,1.490641666772281,-1.2128233757192783,2.4049639437393946,2.5181128233432015,11,4,today,2.0
1.2758423890436723,1.6684055870058125,-1.2682048359970701,2.6456731252214736,2.8161227244254476,10,5,today,6.0
1.5960659353069149,2.018110746251997,-1.5960659353069149,3.0386889733830587,3.204380172415665,9,6,today,6.0
2.108894399388647,2.4701478997350668,-2.108894399388647,3.630350696117717,3.66136723411233,8,7,today,2.0
2.427014512050733,2.728598913071493,-2.427014512050733,3.7406461485485587,4.284850913495798,7,8,today,2.0
2.7241270799405783,2.8909456007955923,-2.7241270799405783,3.7528742510804936,4.046993935090983,6,9,today,2.0
3.0486823589746157,3.139825739082501,-3.0486823589746157,3.88188642009676,4.162652147693031,5,10,today,2.0
3.1955016671248186,3.24499041725823,-3.1955016671248186,3.8009794251075637,4.050723680894413,4,11,today,6.0
3.2674120966877473,3.28714178379806,-3.2674120966877473,3.6326642551805643,3.7481365113933816,3,12,today,12.0
