h,time,forecast_m,today_mae_m,test_mae_m,tau_h
1,2026-09-21T16:00:00-03:00,10.678505560202755,0.38509336491081125,0.14399990229418216,6.0
2,2026-09-21T17:00:00-03:00,12.190709842994954,0.736859493169296,0.321933422748277,2.0
3,2026-09-21T18:00:00-03:00,13.32558099017457,0.9837315737452328,0.37057122095885847,2.0
4,2026-09-21T19:00:00-03:00,14.296494536459127,1.2128233757192783,0.3983215447433155,2.0
5,2026-09-21T20:00:00-03:00,14.806574689625922,1.2758423890436723,0.3589910514271258,6.0
6,2026-09-21T21:00:00-03:00,15.519267225058902,1.5960659353069149,0.40032358260935125,6.0
7,2026-09-21T22:00:00-03:00,16.27358260429984,2.108894399388647,0.4842777606633202,2.0
8,2026-09-21T23:00:00-03:00,16.605529192861383,2.427014512050733,0.5296233745787875,2.0
9,2026-09-22T00:00:00-03:00,16.86951416001856,2.7241270799405783,0.5877549720914439,2.0
10,2026-09-22T01:00:00-03:00,17.0662943203236,3.0486823589746157,0.6442124021731666,2.0
11,2026-09-22T02:00:00-03:00,17.06532463037265,3.1955016671248186,0.6797709194811017,6.0
12,2026-09-22T03:00:00-03:00,17.035763402708177,3.2674120966877473,0.715067402804051,12.0
