mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,model,phase,validation_score,param,gain,rise_mae_m,high_mae_m
0.026239436987530708,0.0397328546158488,-0.005820853248177842,0.05894420100768622,0.40628804352403725,6054,1,linear_corrigido,validation,0.04352122519302738,"(100.0, True)",0.25,,0.034563576410993356
0.02731090778606783,0.046609941470970286,-0.003995025623993228,0.06279770587317877,0.41766761438265476,1364,1,linear_corrigido,test,0.04352122519302738,"(100.0, True)",0.25,0.14507229489954376,0.04407531341958591
0.16012269308388805,0.24558211450615772,0.0706588109709525,0.46310617783347896,0.4802392683537935,13,1,linear_corrigido,today,0.04352122519302738,"(100.0, True)",0.25,,
0.024806218349685095,0.04178503564540543,0.000821496980269772,0.06047710895165806,0.4487963877609631,6054,1,log_chuva,validation,0.03851226401094268,"(1000.0, True)",0.0,,0.02741209132251517
0.028257492181148012,0.05095049205551888,0.0008121234936138888,0.07110047108427182,0.4664436811735464,1364,1,log_chuva,test,0.03851226401094268,"(1000.0, True)",0.0,0.18387658413314956,0.04181977567594944
0.1862390776851789,0.2679986193263322,0.010747399916141957,0.4653864986431908,0.5827420683448965,13,1,log_chuva,today,0.03851226401094268,"(1000.0, True)",0.0,,
0.024989246658009306,0.043343405400036054,-0.00033525023140604747,0.06250346928655541,0.4761759334792426,6054,1,linear_sem_interacao,validation,0.03834203436481571,"(1000.0, False)",0.0,,0.02670557541361281
0.03046783690730509,0.05521646582977278,-0.0007423518946925538,0.076051338544949,0.5062363145939308,1364,1,linear_sem_interacao,test,0.03834203436481571,"(1000.0, False)",0.0,0.18543012513971036,0.044095033341088406
0.18048949151757515,0.2557677344804422,0.02319005953504716,0.4651212302578043,0.5305913488917131,13,1,linear_sem_interacao,today,0.03834203436481571,"(1000.0, False)",0.0,,
0.01285400113881377,0.02376435928999042,0.001680573167115694,0.026875783428033338,0.36984493654990036,6054,1,arvores_corrigidas,validation,0.025613312669253104,"(15, 'squared_error', True)",0.5,,0.02551862306087867
0.021930692321892698,0.03682788722203074,0.0006687801233531818,0.05057120118856409,0.30272428303445675,1364,1,arvores_corrigidas,test,0.025613312669253104,"(15, 'squared_error', True)",0.5,0.22354521868861443,0.039595317560813935
0.12688079084723414,0.19531976280482108,-0.03212816426845595,0.2715304885913682,0.5262136581117316,13,1,arvores_corrigidas,today,0.025613312669253104,"(15, 'squared_error', True)",0.5,,
0.07901909338217174,0.11663484768292204,-0.0034024072733513937,0.18552697925376124,0.6687136676446981,6052,2,linear_corrigido,validation,0.24820972146182993,"(100.0, True)",0.0,0.27806501653183324,0.06031623962748315
