h,model,origin,time,forecast_m,validation_score,gain,param
1,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.041495322823904,0.04352122519302738,0.25,"(100.0, True)"
1,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.08856628145987,0.03851226401094268,0.0,"(1000.0, True)"
1,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.045924414871841,0.03834203436481571,0.0,"(1000.0, False)"
1,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.00528003614508,0.025613312669253104,0.5,"(15, 'squared_error', True)"
2,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.55590697160051,0.24820972146182993,0.0,"(100.0, True)"
2,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.361057491636872,0.2309110903742749,0.0,"(10.0, True)"
2,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.244694451645405,0.22563307755142198,0.0,"(10.0, True)"
2,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,8.650279330718945,0.15329065312933127,0.0,"(15, 'absolute_error', True)"
3,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,10.61271750437584,0.2511202638919167,0.0,"(100.0, True)"
3,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,10.117518544437253,0.23516722525698472,0.0,"(100.0, True)"
3,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,10.066535628677002,0.23423713495614104,0.0,"(10.0, True)"
3,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,9.553567788571176,0.14813465786521182,0.25,"(15, 'squared_error', True)"
4,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,10.796601151998457,0.2633516432210869,0.0,"(100.0, False)"
4,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,10.057822203625888,0.24941954417536497,0.0,"(100.0, False)"
4,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,10.293586581682387,0.26811366371600504,0.0,"(10.0, True)"
4,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,9.46054623105072,0.17605044869560488,0.0,"(15, 'absolute_error', True)"
5,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,11.879955698040781,0.28812683604398975,0.5,"(10.0, True)"
5,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,11.260009024684555,0.2722399801580233,0.5,"(10.0, True)"
5,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,10.630816317279567,0.32247254417444116,0.0,"(100.0, True)"
5,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T18:00:00-03:00,9.762474190930835,0.16429021802567492,0.0,"(15, 'absolute_error', True)"
6,linear_corrigido,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,11.087190840251994,0.31224377709151835,0.0,"(100.0, False)"
6,log_chuva,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,9.779426508811266,0.3116581720653883,0.0,"(100.0, False)"
6,linear_sem_interacao,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,10.808108808758709,0.3673367968628643,0.0,"(100.0, True)"
6,arvores_corrigidas,2026-09-21T13:00:00-03:00,2026-09-21T19:00:00-03:00,12.802409658337549,0.20155379222007294,0.5,"(15, 'squared_error', True)"
