model,lead_h,origin,time,forecast_m,lower_m,upper_m,validation_score,parameters,test_mae_m,today_mae_m,today_n,today_p90_abs_m
linear_log,0.5,2026-09-21T13:30:00-03:00,2026-09-21T14:00:00-03:00,7.952570291157628,7.760250962557673,8.144889619757585,0.026842529067639113,"(10.0, True)",0.019626982208770592,0.07885835770957657,13.0,0.19231932859995582
arvores,0.5,2026-09-21T13:30:00-03:00,2026-09-21T14:00:00-03:00,7.96225540299328,7.779879530213955,8.144631275772607,0.019624419225087945,"(15, 'absolute_error')",0.01671780842257916,0.08542552057939669,13.0,0.18237587277932568
linear_log,1.5,2026-09-21T13:30:00-03:00,2026-09-21T15:00:00-03:00,8.846242916300756,8.06709340000665,9.625392432594863,0.22851815864731506,"(10.0, True)",0.05421190602937494,0.26377268743430626,12.0,0.7791495162941072
arvores,1.5,2026-09-21T13:30:00-03:00,2026-09-21T15:00:00-03:00,9.05911085949612,8.307901096697861,9.810320622294377,0.16760523620409915,"(15, 'squared_error')",0.04039259638110208,0.2876258742947782,12.0,0.7512097627982586
linear_log,2.5,2026-09-21T13:30:00-03:00,2026-09-21T16:00:00-03:00,10.20944479620007,8.62592971622496,11.792959876175182,0.2194456046016014,"(10.0, True)",0.08292294428578713,0.49325843018552634,11.0,1.5835150799751112
arvores,2.5,2026-09-21T13:30:00-03:00,2026-09-21T16:00:00-03:00,9.721326496813575,7.952427249356093,11.490225744271056,0.1481870559395803,"(15, 'absolute_error')",0.06028014199181121,0.5311396421758807,11.0,1.7688992474574814
linear_log,3.5,2026-09-21T13:30:00-03:00,2026-09-21T17:00:00-03:00,10.85075863402529,8.667883052870003,13.033634215180577,0.23834952953859995,"(10.0, False)",0.11260882453855035,0.8746206597553051,10.0,2.1828755811552867
arvores,3.5,2026-09-21T13:30:00-03:00,2026-09-21T17:00:00-03:00,10.285576615883967,8.008458206647756,12.562695025120178,0.19623616907216462,"(15, 'absolute_error')",0.0802657315931734,0.9324947429969945,10.0,2.2771184092362113
linear_log,4.5,2026-09-21T13:30:00-03:00,2026-09-21T18:00:00-03:00,12.261345505550834,9.5104753293787,15.012215681722967,0.3060423742750383,"(10.0, False)",0.1380383224528223,1.3488094223821971,9.0,2.750870176172134
arvores,4.5,2026-09-21T13:30:00-03:00,2026-09-21T18:00:00-03:00,10.859397398668031,8.11018984535555,13.608604951980514,0.2191088093827267,"(15, 'absolute_error')",0.0987790059494907,1.3063711274668464,9.0,2.749207553312483
linear_log,5.5,2026-09-21T13:30:00-03:00,2026-09-21T19:00:00-03:00,14.032665870150431,10.695786537496918,17.369545202803945,0.33266070162133393,"(10.0, False)",0.17183610259511434,1.6892601982554543,8.0,3.3368793326535133
arvores,5.5,2026-09-21T13:30:00-03:00,2026-09-21T19:00:00-03:00,11.821427146488944,8.802341891640708,14.840512401337179,0.26226072153541613,"(15, 'squared_error')",0.13494368959893233,1.5986619922158065,8.0,3.0190852548482345
arvores_previsao_chuva,0.5,2026-09-21T13:30:00-03:00,2026-09-21T14:00:00-03:00,7.962588703816153,7.775970787560412,8.149206620071894,0.022798374100663855,"(15, 'absolute_error')",0.016631876143080523,0.08507046436562576,13,0.18661791625574137
arvores_previsao_chuva,1.5,2026-09-21T13:30:00-03:00,2026-09-21T15:00:00-03:00,9.054871643185784,8.30367960473151,9.806063681640058,0.16843704105535018,"(15, 'squared_error')",0.040018164327958204,0.29147249427420857,12,0.751192038454275
arvores_previsao_chuva,2.5,2026-09-21T13:30:00-03:00,2026-09-21T16:00:00-03:00,9.755668682877449,7.9908675116459005,11.520469854108997,0.17376129366072568,"(15, 'absolute_error')",0.06095883588190366,0.5289043119294484,11,1.7648011712315483
arvores_previsao_chuva,3.5,2026-09-21T13:30:00-03:00,2026-09-21T17:00:00-03:00,10.329613921024492,8.135167288000595,12.52406055404839,0.20406898793014044,"(15, 'absolute_error')",0.0810338125711402,0.9002431086687125,10,2.1944466330238965
arvores_previsao_chuva,4.5,2026-09-21T13:30:00-03:00,2026-09-21T18:00:00-03:00,10.682781410799283,7.956521002251147,13.409041819347419,0.20201771829478302,"(15, 'absolute_error')",0.09892076442771072,1.3060031957500011,9,2.726260408548136
arvores_previsao_chuva,5.5,2026-09-21T13:30:00-03:00,2026-09-21T19:00:00-03:00,11.567352114189248,8.637169569091277,14.497534659287219,0.283332213401817,"(15, 'squared_error')",0.13238872425975917,1.5355019230190725,8,2.9301825450979715
