region,window_h,known_area_weighted_mm,space_time_coverage,partial_window_feature_mm
Baixo Antas,1,5.410982658959435,0.5628612716763006,5.410982658959435
Baixo Antas,3,17.77919075144496,0.8176782273603083,17.77919075144496
Baixo Antas,6,88.92601156069357,0.8813824662813102,88.92601156069357
Baixo Antas,12,116.84450867052009,0.9406912331406551,116.84450867052009
Baixo Antas,24,118.02369942196515,0.9703456165703276,118.02369942196515
Baixo Antas,48,146.27919075144405,0.9851728082851637,146.27919075144405
Carreiro,1,0.5803432137285343,0.03627145085803432,
Carreiro,3,18.53001560062398,0.6418356734269371,18.53001560062398
Carreiro,6,46.861154446177736,0.7655356214248572,46.861154446177736
Carreiro,12,47.31107644305759,0.8702873114924596,47.31107644305759
Carreiro,24,47.31107644305759,0.93514365574623,47.31107644305759
Carreiro,48,68.72521060842385,0.9489485829433177,68.72521060842385
Prata-Turvo,1,0.0,0.0,
Prata-Turvo,3,33.012579957356145,0.6357202084814024,33.012579957356145
Prata-Turvo,6,40.27313432835828,0.7917407012556268,40.27313432835828
Prata-Turvo,12,40.288059701492614,0.8946265695332859,40.288059701492614
Prata-Turvo,24,40.288059701492614,0.947313284766643,40.288059701492614
Prata-Turvo,48,61.428997867803645,0.9714800254678987,61.428997867803645
Alto Antas,1,0.7467751307379162,0.08105752469494479,
Alto Antas,3,15.599418942475245,0.46828071534637483,
Alto Antas,6,64.830447414294,0.6637355542643166,64.830447414294
Alto Antas,12,81.00023242300983,0.8200045193363031,81.00023242300983
Alto Antas,24,81.0120859965136,0.9100022596681515,81.0120859965136
Alto Antas,48,102.2604299825679,0.9434804538704886,102.2604299825679
Tainhas,1,4.386885245901529,0.4569672131147541,
Tainhas,3,30.081967213114364,0.5621584699453551,30.081967213114364
Tainhas,6,125.36174863387936,0.7036657559198544,125.36174863387936
Tainhas,12,132.91038251366078,0.8518328779599271,132.91038251366078
Tainhas,24,132.91038251366078,0.9259164389799637,132.91038251366078
Tainhas,48,156.26338797814014,0.9629582194899818,156.26338797814014
