mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,phase,tau_h
0.15007904611755857,0.200289097229994,0.0637889377597815,0.32493184785622486,1.0837285161588337,5993,1,validation,6.0
0.2986718442748919,0.3955395448855879,0.1718938877189997,0.6307532004959031,2.407293291704874,5983,2,validation,2.0
0.3359121161252715,0.4467385971075783,0.19756644294871512,0.7161935876513028,2.8526806785412977,5977,3,validation,2.0
0.35586644587474614,0.47840238788355993,0.21606386635298802,0.7632338917725757,3.156917341868659,5971,4,validation,2.0
0.32380573455377526,0.4390838327511079,0.16791420635087692,0.7078867792029826,3.004012864421837,5971,5,validation,6.0
0.34337102134921593,0.471708307623703,0.18879929897145428,0.7601904068365921,3.4739435311258777,5971,6,validation,6.0
0.16886924181412732,0.24269952839067802,0.003061394072617217,0.40363084698568286,1.949928088638277,1594,1,test,6.0
0.3396081090538197,0.4685685439908108,-0.009287385215652968,0.64954289369967,3.1603472992729014,1590,2,test,2.0
0.38054457225144417,0.5332328486461428,-0.014485685620133363,0.7130575526488749,3.5104442244926,1586,3,test,2.0
0.40372525151227695,0.5779197719418747,-0.018935330537076082,0.750355375365993,3.883719120794199,1585,4,test,2.0
0.3637793846244269,0.5484036064193023,-0.007038488552366137,0.727710060802446,4.210824346969298,1584,5,test,6.0
0.4029376250431558,0.6142044932103202,-0.007619246922789923,0.8024851049249111,4.938256967697994,1583,6,test,6.0
0.3706444159910688,0.49225730782967886,-0.2739792100273846,0.7964771279757813,1.0144144583093455,13,1,today,6.0
0.7730303030254708,0.9280570603256557,-0.7730303030254708,1.5290451282726807,1.593611219398963,12,2,today,2.0
0.9834406210903146,1.2146415190684816,-0.9834406210903146,1.9606301526897258,2.0692149210868944,11,3,today,2.0
1.1879921701955727,1.4914535095996881,-1.1879921701955727,2.427906191614687,2.5381903205114007,10,4,today,2.0
1.2203136473855092,1.654269177601769,-1.2149639440091802,2.6716543071244803,2.8236044354949907,9,5,today,6.0
1.4672280036912668,1.9227685690575482,-1.4672280036912668,3.0617174125422264,3.2133206774263674,8,6,today,6.0
