horizonte_h,metodo,alpha,n_treino,n_validacao,n_teste,mae_teste_m,mae_subidas_m,n_subidas_teste,max_erro_teste_m,previsao_experimental_m,origem,score_validacao
1,local,1.0,742,311,324,0.045443817271327,0.1546931000999049,38,0.6327340287138523,7.537228618126483,2026-09-21T12:00:00-03:00,0.08466785179703787
1,montante,1.0,742,311,324,0.027872556340938607,0.09214697581663343,38,0.5774385869364302,7.647874844870783,2026-09-21T12:00:00-03:00,0.04689354455195112
1,montante_chuva,1.0,742,311,324,0.02761231308997374,0.0908547950015578,38,0.5540650248059302,7.635503482939104,2026-09-21T12:00:00-03:00,0.04695660689228436
1,persistencia,,0,0,324,0.11608024691358025,0.3684210526315789,38,0.9100000000000001,7.08,2026-09-21T12:00:00-03:00,
1,tendencia_2h,,0,0,324,0.08319444444444445,0.25578947368421057,38,0.7250000000000002,7.71,2026-09-21T12:00:00-03:00,
2,local,1.0,741,310,323,0.12569893448400082,0.33815340276600625,37,1.3665533841167494,7.84689555697789,2026-09-21T12:00:00-03:00,0.22203317560485558
2,montante,1.0,741,310,323,0.05369008369391266,0.1254814236181642,37,1.2412282139031732,8.074014511572235,2026-09-21T12:00:00-03:00,0.08406715276474003
2,montante_chuva,1.0,741,310,323,0.053736384538202,0.12422314979364756,37,1.224682718711112,8.07411660134648,2026-09-21T12:00:00-03:00,0.0855650555043416
2,persistencia,,0,0,323,0.226749226006192,0.5756756756756756,37,1.6500000000000004,7.08,2026-09-21T12:00:00-03:00,
2,tendencia_2h,,0,0,323,0.20006191950464397,0.5224324324324323,37,1.4000000000000004,8.34,2026-09-21T12:00:00-03:00,
3,local,1.0,740,309,322,0.22872019390306683,0.5152936233648515,36,1.9728885045959204,8.018846618581335,2026-09-21T12:00:00-03:00,0.38104728723871484
3,montante,1.0,740,309,322,0.0697431887910568,0.14181272572489745,36,1.7675806931241782,8.240739811235144,2026-09-21T12:00:00-03:00,0.10802197936972963
3,montante_chuva,1.0,740,309,322,0.07036415830584673,0.13712236572982328,36,1.7619553697220571,8.323485569390781,2026-09-21T12:00:00-03:00,0.11235559078937576
3,persistencia,,0,0,322,0.32968944099378883,0.6594444444444443,36,2.33,7.08,2026-09-21T12:00:00-03:00,
3,tendencia_2h,,0,0,322,0.33728260869565213,0.7830555555555555,36,1.955,8.969999999999999,2026-09-21T12:00:00-03:00,
4,local,1.0,739,308,321,0.3403549406761129,0.6859987648872276,35,2.403794340466591,8.086010881555811,2026-09-21T12:00:00-03:00,0.5372096985627277
4,montante,1.0,739,308,321,0.09720977979590949,0.15886475904712863,35,2.4134511458814925,8.396429541195426,2026-09-21T12:00:00-03:00,0.14801236003603585
4,montante_chuva,1.0,739,308,321,0.09823625333641384,0.15055685031091803,35,2.3880702245504697,8.66180662205929,2026-09-21T12:00:00-03:00,0.1592068202913734
4,persistencia,,0,0,321,0.42140186915887856,0.6711428571428572,35,2.91,7.08,2026-09-21T12:00:00-03:00,
4,tendencia_2h,,0,0,321,0.4852647975077881,1.0819999999999996,35,2.6099999999999994,9.6,2026-09-21T12:00:00-03:00,
5,local,10.0,738,307,320,0.44173238349149546,0.714764971108247,34,2.8905815663881356,7.92699755737389,2026-09-21T12:00:00-03:00,0.6770719333545288
5,montante,10.0,738,307,320,0.13320321329788842,0.15308434307914628,34,2.9989466919358745,8.784635409633836,2026-09-21T12:00:00-03:00,0.22497666071160877
5,montante_chuva,1.0,738,307,320,0.1384697347547971,0.14144835519446342,34,2.898099903817566,9.284421426821066,2026-09-21T12:00:00-03:00,0.2412452945450362
5,persistencia,,0,0,320,0.5012187499999999,0.6382352941176471,34,3.13,7.08,2026-09-21T12:00:00-03:00,
5,tendencia_2h,,0,0,320,0.6305625,1.3595588235294116,34,3.2599999999999993,10.23,2026-09-21T12:00:00-03:00,
6,local,10.0,737,306,319,0.528315234242086,0.79981652446655,34,3.20332753689906,7.9081594774891215,2026-09-21T12:00:00-03:00,0.8023255958745357
6,montante,100.0,737,306,319,0.18240086780830536,0.21800407808950695,34,3.3464566805810567,9.404921537012068,2026-09-21T12:00:00-03:00,0.31378053111384485
6,montante_chuva,100.0,737,306,319,0.1850771150665869,0.18895421649855912,34,3.3368247860739273,10.350188753755951,2026-09-21T12:00:00-03:00,0.3314243867711767
6,persistencia,,0,0,319,0.571692789968652,0.6667647058823528,34,3.16,7.08,2026-09-21T12:00:00-03:00,
6,tendencia_2h,,0,0,319,0.7697805642633229,1.6758823529411764,34,3.9599999999999995,10.86,2026-09-21T12:00:00-03:00,
