station,lag_h,correlation_differences,n
86472000,0,0.055509114702904074,1404
86472000,1,0.1439357487888426,1403
86472000,2,0.28590240988232146,1402
86472000,3,0.4762692883027405,1401
86472000,4,0.6719795142009289,1400
86472000,5,0.7449878975869717,1399
86472000,6,0.647308251739657,1398
86472000,7,0.4767913665289221,1397
86472000,8,0.31217815485284894,1396
86472000,9,0.16930898031970376,1395
86472000,10,0.047004970392779316,1394
86472000,11,-0.05828953291918283,1393
86472000,12,-0.12422633958439748,1392
86472000,13,-0.14565421450273666,1391
86472000,14,-0.1101525466010776,1390
86472000,15,-0.05058226382736813,1389
86472000,16,-0.008208132710772375,1388
86472000,17,-0.010208037064934509,1387
86472000,18,-0.04816973887732931,1386
86472600,0,0.3502827653486079,1395
86472600,1,0.5824851018143533,1394
86472600,2,0.8160672948000742,1393
86472600,3,0.9052308334397005,1392
86472600,4,0.7650653312847562,1391
86472600,5,0.5250273754177288,1390
86472600,6,0.3104356549718442,1389
86472600,7,0.14745654250280227,1388
86472600,8,0.025136742566137165,1387
86472600,9,-0.060362180846233564,1386
86472600,10,-0.10591693854749178,1385
86472600,11,-0.11247187859601872,1384
86472600,12,-0.08164555993940234,1383
86472600,13,-0.032504898835894656,1382
86472600,14,0.003518718333099012,1381
86472600,15,0.005384752025617692,1380
86472600,16,-0.027446200295769083,1379
86472600,17,-0.07767590447232635,1378
86472600,18,-0.12165282386056583,1377
86500000,0,0.13638627832437925,1404
86500000,1,0.18974945869465615,1403
86500000,2,0.22628706932794282,1402
86500000,3,0.2410933269588469,1401
86500000,4,0.25934797599760173,1400
86500000,5,0.2603384818774413,1399
86500000,6,0.24379695717927663,1398
86500000,7,0.2181712623067969,1397
86500000,8,0.20345125444779313,1396
86500000,9,0.1978233068541082,1395
86500000,10,0.17071862395970322,1394
86500000,11,0.13713506957663674,1393
86500000,12,0.10338950767312563,1392
86500000,13,0.07201263496184977,1391
86500000,14,0.0538079812598342,1390
86500000,15,0.03415860523481116,1389
86500000,16,0.02386430548057084,1388
86500000,17,0.02282158157886369,1387
86500000,18,0.0168860142456919,1386
