id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade
IFLORE242,wu,Flores da Cunha (738 m),-29.042176,-51.617465,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
ISOMAR32,wu,São Marcos (786 m),-28.976224,-51.076735,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IMUITO3,wu,Muitos Capões (843 m),-28.262828,-51.258699,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IGARIB22,wu,Garibaldi (670 m),-29.265699,-51.528301,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IBENTO5,wu,Bento Gonçalves (620 m),-29.155001,-51.505199,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
ISOMAR20,wu,São Marcos - São José (788 m),-28.966499,-51.046101,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IANDRD3,wu,André da Rocha (701 m),-28.5326,-51.4496,Prata-Turvo,SIGMA,2026-09-21T12:51:00-03:00,checagens basicas aprovadas; nao homologado
IBOMJE2,wu,Bom Jesus (1033 m),-28.662201,-50.436501,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
ISOJOS89,wu,São José dos Ausentes (1193 m),-28.753099,-50.063999,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IMUITO2,wu,Muitos Capões (823 m),-28.322399,-51.1213,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IFARRO1,wu,Farroupilha (766 m),-29.225,-51.353001,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
ICOTIP1,wu,Cotiporã (596 m),-28.996201,-51.694,Baixo Antas,SIGMA,2026-09-21T12:51:00-03:00,checagens basicas aprovadas; nao homologado
ICAXIA4,wu,Caxias do Sul - Sagrada Família (780 m),-29.152399,-51.158901,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IGARIB14,wu,Garibaldi - Alfândega (670 m),-29.265699,-51.528301,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IVACAR13,wu,Vacaria - Pomar Boeno (873 m),-28.5669,-50.9795,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IRIOGRAN15,wu,Garibaldi (680 m),-29.2239,-51.503601,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IMUITO4,wu,Muitos Capões - Agro Varaschin (846 m),-28.390301,-51.2537,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado
IGARIB3,wu,Garibaldi - Sítio Ongaratto (607 m),-29.245399,-51.560001,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IANTNI11,wu,Antônio Prado - Linha Gomercindo (612 m),-28.8346,-51.4062,Prata-Turvo,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
IMONTE719,wu,Monte Alegre dos Campos - Capela da Luz (925 m),-28.5849,-50.820499,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado
