id,network,name,lat,lon,ottobacia,subbacia,observado_em,acumulado_hoje_mm,qualidade,usada_chuva_modelo,proxima_limite_1km,fonte
IFLORE242,wu,Flores da Cunha (738 m),-29.042176,-51.617465,78675,Baixo Antas,2026-09-21T12:52:00-03:00,163.5,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IFLORE242.txt
ISOMAR32,wu,São Marcos (786 m),-28.976224,-51.076735,7869152,Alto Antas,2026-09-21T12:53:00-03:00,154.0,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOMAR32.txt
IMUITO3,wu,Muitos Capões (843 m),-28.262828,-51.258699,786849,Prata-Turvo,2026-09-21T12:52:00-03:00,0.0,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IMUITO3.txt
IGARIB22,wu,Garibaldi (670 m),-29.265699,-51.528301,786563,Baixo Antas,2026-09-21T12:52:00-03:00,79.7,checagens basicas aprovadas; nao homologado,False,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/IGARIB22.txt
IBENTO5,wu,Bento Gonçalves (620 m),-29.155001,-51.505199,7867833,Baixo Antas,2026-09-21T12:53:00-03:00,153.6,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IBENTO5.txt
ISOMAR20,wu,São Marcos - São José (788 m),-28.966499,-51.046101,7869152,Alto Antas,2026-09-21T12:53:00-03:00,107.7,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOMAR20.txt
IANDRD3,wu,André da Rocha (701 m),-28.5326,-51.4496,7868421,Prata-Turvo,2026-09-21T12:51:00-03:00,29.2,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IANDRD3.txt
IBOMJE2,wu,Bom Jesus (1033 m),-28.662201,-50.436501,786972,Alto Antas,2026-09-21T12:52:00-03:00,0.0,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IBOMJE2.txt
ISOJOS89,wu,São José dos Ausentes (1193 m),-28.753099,-50.063999,786986,Alto Antas,2026-09-21T12:52:00-03:00,7.5,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/ISOJOS89.txt
IMUITO2,wu,Muitos Capões (823 m),-28.322399,-51.1213,786891,Prata-Turvo,2026-09-21T12:52:00-03:00,22.9,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/IMUITO2.txt
IFARRO1,wu,Farroupilha (766 m),-29.225,-51.353001,786788,Baixo Antas,2026-09-21T12:52:00-03:00,184.9,checagens basicas aprovadas; nao homologado,False,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/IFARRO1.txt
