regiao,periodo,atraso_h,correlacao,n_horas
Baixo Antas,historico,0,0.09384909715746813,12151
Baixo Antas,historico,1,0.11670757211458464,12151
Baixo Antas,historico,2,0.1365938405033778,12148
Baixo Antas,historico,3,0.15291527025375015,12145
Baixo Antas,historico,4,0.16939567911752845,12135
Baixo Antas,historico,5,0.18707495397992768,12129
Baixo Antas,historico,6,0.20574292642119624,12126
Baixo Antas,historico,7,0.22421310464805033,12123
Baixo Antas,historico,8,0.2415176774734704,12122
Baixo Antas,historico,9,0.2590715337903904,12121
Baixo Antas,historico,10,0.27644960633095256,12120
Baixo Antas,historico,11,0.291995054197605,12117
Baixo Antas,historico,12,0.3008834900866655,12114
Baixo Antas,historico,13,0.29790452245183324,12111
Baixo Antas,historico,14,0.28197370056458415,12108
Baixo Antas,historico,15,0.25714013052919793,12105
Baixo Antas,historico,16,0.22813060250194228,12102
Baixo Antas,historico,17,0.19912239745807933,12100
Baixo Antas,historico,18,0.17218334800444687,12098
Baixo Antas,historico,19,0.14917300430866362,12096
Baixo Antas,historico,20,0.13012618820024613,12094
Baixo Antas,historico,21,0.11557197434116671,12094
Baixo Antas,historico,22,0.10348240284722034,12093
Baixo Antas,historico,23,0.0901157892939332,12092
Baixo Antas,historico,24,0.0710795803685792,12091
Baixo Antas,historico,25,0.04630521855168203,12090
Baixo Antas,historico,26,0.020159731862395093,12090
Baixo Antas,historico,27,-0.0007972626424047464,12088
Baixo Antas,historico,28,-0.014998733424381717,12087
Baixo Antas,historico,29,-0.02038679352193199,12087
Baixo Antas,historico,30,-0.020380817137698185,12086
Baixo Antas,historico,31,-0.015032781330939977,12085
Baixo Antas,historico,32,-0.00948890252589286,12083
Baixo Antas,historico,33,-0.004897990831331613,12083
Baixo Antas,historico,34,-0.0030782176557866132,12083
Baixo Antas,historico,35,-0.002145923396529629,12081
Baixo Antas,historico,36,-0.005334436952387737,12081
Baixo Antas,historico,37,-0.0132386645517484,12081
Baixo Antas,historico,38,-0.026016803681724387,12080
Baixo Antas,historico,39,-0.03957531343959938,12079
Baixo Antas,historico,40,-0.051280654094333585,12077
Baixo Antas,historico,41,-0.060723302363209504,12076
Baixo Antas,historico,42,-0.06764313951753739,12074
Baixo Antas,historico,43,-0.07216895051168112,12072
Baixo Antas,historico,44,-0.07394095064860526,12071
Baixo Antas,historico,45,-0.07427902022511935,12070
Baixo Antas,historico,46,-0.07333163716375388,12069
Baixo Antas,historico,47,-0.07227369969436792,12068
Baixo Antas,historico,48,-0.07118322836920168,12068
Baixo Antas,abril_set2025,0,0.08379181050823406,3850
Baixo Antas,abril_set2025,1,0.10066028854507685,3849
Baixo Antas,abril_set2025,2,0.12011385698402142,3850
Baixo Antas,abril_set2025,3,0.14135300805656528,3850
Baixo Antas,abril_set2025,4,0.1626371739539955,3847
Baixo Antas,abril_set2025,5,0.18373312776676556,3846
Baixo Antas,abril_set2025,6,0.2059426332456117,3845
Baixo Antas,abril_set2025,7,0.22931939851373434,3843
Baixo Antas,abril_set2025,8,0.25014111651051557,3843
Baixo Antas,abril_set2025,9,0.2696350600611372,3842
Baixo Antas,abril_set2025,10,0.288477818775204,3841
Baixo Antas,abril_set2025,11,0.30764099558144326,3839
Baixo Antas,abril_set2025,12,0.3203980597811111,3838
Baixo Antas,abril_set2025,13,0.32098859525646406,3837
Baixo Antas,abril_set2025,14,0.3071403254344618,3835
Baixo Antas,abril_set2025,15,0.2820841666610132,3834
Baixo Antas,abril_set2025,16,0.2512215418746511,3833
Baixo Antas,abril_set2025,17,0.21747155336616053,3832
Baixo Antas,abril_set2025,18,0.1823987963203496,3831
Baixo Antas,abril_set2025,19,0.1475399836304018,3830
Baixo Antas,abril_set2025,20,0.1152071524019945,3829
Baixo Antas,abril_set2025,21,0.08801824381477459,3828
Baixo Antas,abril_set2025,22,0.06898508933532618,3827
Baixo Antas,abril_set2025,23,0.05526750716937608,3826
Baixo Antas,abril_set2025,24,0.039834327035889794,3825
