pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,gfs,2.0,1,2026-09-21T16:00:00-03:00,11.08617481530318,3902.9863406688796,1967.3002002140995,2301.0546175767035,0.3,0.983685211459646,-365.36847712192366
1.0,gfs,2.0,2,2026-09-21T17:00:00-03:00,12.341249242256653,4655.687719165911,2045.8470138466212,2831.447888786251,1.0,0.9881864009848089,-221.60718346696058
1.0,gfs,2.0,3,2026-09-21T18:00:00-03:00,13.505816160835149,5397.689687369246,2078.0952631847026,3454.005975369818,1.0,0.9881323438052132,-134.4115511852742
1.0,gfs,2.0,4,2026-09-21T19:00:00-03:00,14.51003296267248,6069.999166352098,2070.5844956390365,4080.9393975264643,0.8,0.9881329930066407,-81.52472681340274
1.0,gfs,2.0,5,2026-09-21T20:00:00-03:00,15.313457696579212,6628.911631760009,2029.7638995297827,4648.594978567252,0.3,0.9836852189815432,-49.447246337025376
1.0,gfs,2.0,6,2026-09-21T21:00:00-03:00,15.964789173617078,7095.431931018271,1962.3681811566278,5163.055020803413,0.2,0.9768508936409223,-29.991270941769102
1.0,gfs,2.0,7,2026-09-21T22:00:00-03:00,16.472261549116737,7467.094979253562,1874.874821521575,5610.410783081918,0.2,0.9701227083274655,-18.190625349931544
1.0,gfs,2.0,8,2026-09-21T23:00:00-03:00,16.918186235956618,7799.51797378852,1773.1592870799761,6037.391858702624,0.1,0.9609834863947845,-11.033171994079332
1.0,gfs,2.0,9,2026-09-22T00:00:00-03:00,17.300273131443863,8088.647850925324,1662.3181979528156,6433.0216100608,0.0,0.9494425244729897,-6.691957088291889
1.0,gfs,2.0,10,2026-09-22T01:00:00-03:00,17.580504418207738,8303.200421703548,1546.6457918986528,6760.613506952426,0.1,0.9405680083695384,-4.058877147530313
1.0,gfs,2.0,11,2026-09-22T02:00:00-03:00,17.745599930517635,8430.585130118112,1429.6538492127584,7003.393114339337,0.1,0.9318050675343359,-2.4618334339840926
1.0,gfs,2.0,12,2026-09-22T03:00:00-03:00,17.94212132038589,8583.16311134685,1314.096004125745,7270.560284677924,0.0,0.9206145247672658,-1.4931774568169893
1.0,gfs,6.0,1,2026-09-21T16:00:00-03:00,10.75740874994552,3714.128545343317,1967.3002002140995,2301.0546175767035,0.3,0.983685211459646,-554.2262724474862
1.0,gfs,6.0,2,2026-09-21T17:00:00-03:00,11.937522741638109,4408.1524915518285,2045.8470138466212,2831.447888786251,1.0,0.9881864009848089,-469.1424110810436
1.0,gfs,6.0,3,2026-09-21T18:00:00-03:00,13.100799728523336,5134.980761203296,2078.0952631847026,3454.005975369818,1.0,0.9881323438052132,-397.1204773512233
1.0,gfs,6.0,4,2026-09-21T19:00:00-03:00,14.134857841171023,5815.368666507853,2070.5844956390365,4080.9393975264643,0.8,0.9881329930066407,-336.1552266576475
1.0,gfs,6.0,5,2026-09-21T20:00:00-03:00,14.978724419290314,6393.809622004874,2029.7638995297827,4648.594978567252,0.3,0.9836852189815432,-284.5492560921608
1.0,gfs,6.0,6,2026-09-21T21:00:00-03:00,15.672430042907415,6884.557456846807,1962.3681811566278,5163.055020803413,0.2,0.9768508936409223,-240.86574511323334
1.0,gfs,6.0,7,2026-09-21T22:00:00-03:00,16.219921670104004,7281.397153212981,1874.874821521575,5610.410783081918,0.2,0.9701227083274655,-203.88845139051278
1.0,gfs,6.0,8,2026-09-21T23:00:00-03:00,16.702379684414208,7637.963297764282,1773.1592870799761,6037.391858702624,0.1,0.9609834863947845,-172.58784801831737
1.0,gfs,6.0,9,2026-09-22T00:00:00-03:00,17.116705069424427,7949.247348727911,1662.3181979528156,6433.0216100608,0.0,0.9494425244729897,-146.09245928570442
1.0,gfs,6.0,10,2026-09-22T01:00:00-03:00,17.424624465878274,8183.594701921404,1546.6457918986528,6760.613506952426,0.1,0.9405680083695384,-123.6645969296749
1.0,gfs,6.0,11,2026-09-22T02:00:00-03:00,17.61319629932001,8328.367142235164,1429.6538492127584,7003.393114339337,0.1,0.9318050675343359,-104.67982131693375
1.0,gfs,6.0,12,2026-09-22T03:00:00-03:00,17.830076795822368,8496.046733094068,1314.096004125745,7270.560284677924,0.0,0.9206145247672658,-88.60955570959936
1.0,gfs,12.0,1,2026-09-21T16:00:00-03:00,10.650160782437348,3653.2825902611785,1967.3002002140995,2301.0546175767035,0.3,0.983685211459646,-615.0722275296247
1.0,gfs,12.0,2,2026-09-21T17:00:00-03:00,11.77742407510503,4311.401135100625,2045.8470138466212,2831.447888786251,1.0,0.9881864009848089,-565.8937675322475
1.0,gfs,12.0,3,2026-09-21T18:00:00-03:00,12.90768155237209,5011.453838462931,2078.0952631847026,3454.005975369818,1.0,0.9881323438052132,-520.6474000915889
1.0,gfs,12.0,4,2026-09-21T19:00:00-03:00,13.921665942571408,5672.505160719956,2070.5844956390365,4080.9393975264643,0.8,0.9881329930066407,-479.01873244554497
1.0,gfs,12.0,5,2026-09-21T20:00:00-03:00,14.75382031408941,6237.640368807693,2029.7638995297827,4648.594978567252,0.3,0.9836852189815432,-440.71850928934185
1.0,gfs,12.0,6,2026-09-21T21:00:00-03:00,15.441866536356283,6719.94259906462,1962.3681811566278,5163.055020803413,0.2,0.9768508936409223,-405.4806028954204
1.0,gfs,12.0,7,2026-09-21T22:00:00-03:00,15.987930919167717,7112.225440669032,1874.874821521575,5610.410783081918,0.2,0.9701227083274655,-373.06016393446225
1.0,gfs,12.0,8,2026-09-21T23:00:00-03:00,16.472564840023036,7467.319225633998,1773.1592870799761,6037.391858702624,0.1,0.9609834863947845,-343.2319201486016
1.0,gfs,12.0,9,2026-09-22T00:00:00-03:00,16.891605753119663,7779.551196958397,1662.3181979528156,6433.0216100608,0.0,0.9494425244729897,-315.7886110552188
1.0,gfs,12.0,10,2026-09-22T01:00:00-03:00,17.205704760427366,8016.719751046173,1546.6457918986528,6760.613506952426,0.1,0.9405680083695384,-290.53954780490585
1.0,gfs,12.0,11,2026-09-22T02:00:00-03:00,17.40127868246018,8165.737675365264,1429.6538492127584,7003.393114339337,0.1,0.9318050675343359,-267.3092881868329
1.0,gfs,12.0,12,2026-09-22T03:00:00-03:00,17.62663387073964,8338.719871228832,1314.096004125745,7270.560284677924,0.0,0.9206145247672658,-245.93641757483576
1.0,ecmwf,2.0,1,2026-09-21T16:00:00-03:00,11.086200716839558,3903.001357677744,1967.3152172229645,2301.0546175767035,0.4,0.986131410047888,-365.36847712192366
1.0,ecmwf,2.0,2,2026-09-21T17:00:00-03:00,12.34002633413653,4654.930286363089,2045.089581043798,2831.447888786251,0.4,0.9841888790377733,-221.60718346696058
1.0,ecmwf,2.0,3,2026-09-21T18:00:00-03:00,13.501078404595651,5394.588259837855,2074.993835653311,3454.005975369818,0.4,0.9822951920878643,-134.4115511852742
1.0,ecmwf,2.0,4,2026-09-21T19:00:00-03:00,14.50903409974081,6069.315820129505,2069.9011494164424,4080.9393975264643,3.4,0.9882030944669211,-81.52472681340274
1.0,ecmwf,2.0,5,2026-09-21T20:00:00-03:00,15.32865031005339,6639.657622382451,2040.5098901522251,4648.594978567252,3.4,0.9881321433243054,-49.447246337025376
1.0,ecmwf,2.0,6,2026-09-21T21:00:00-03:00,16.009670774401155,7128.0151775945,1994.9514277328558,5163.055020803413,3.4,0.9881329954143228,-29.991270941769102
1.0,ecmwf,2.0,7,2026-09-21T22:00:00-03:00,16.550539768041823,7525.055800151475,1932.8356424194883,5610.410783081918,0.5,0.9881329851811204,-18.190625349931544
1.0,ecmwf,2.0,8,2026-09-21T23:00:00-03:00,17.02800116296463,7882.212097394796,1855.8534106862512,6037.391858702624,0.5,0.9881329853040163,-11.033171994079332
1.0,ecmwf,2.0,9,2026-09-22T00:00:00-03:00,17.43703233728027,8193.091345182187,1766.7616922096774,6433.0216100608,0.5,0.9881329853025403,-6.691957088291889
1.0,ecmwf,2.0,10,2026-09-22T01:00:00-03:00,17.738599709949927,8425.169137345507,1668.6145075406112,6760.613506952426,0.0,0.9762659706050985,-4.058877147530313
1.0,ecmwf,2.0,11,2026-09-22T02:00:00-03:00,17.91931322499602,8565.402463261093,1564.47118235574,7003.393114339337,0.0,0.9645414732002924,-2.4618334339840926
1.0,ecmwf,2.0,12,2026-09-22T03:00:00-03:00,18.12527721911807,8726.285715787342,1457.2186085662354,7270.560284677924,0.0,0.9529577815221367,-1.4931774568169893
1.0,ecmwf,6.0,1,2026-09-21T16:00:00-03:00,10.757435137495774,3714.1435623521816,1967.3152172229645,2301.0546175767035,0.4,0.986131410047888,-554.2262724474862
1.0,ecmwf,6.0,2,2026-09-21T17:00:00-03:00,11.936274530920958,4407.395058749005,2045.089581043798,2831.447888786251,0.4,0.9841888790377733,-469.1424110810436
1.0,ecmwf,6.0,3,2026-09-21T18:00:00-03:00,13.095972509350393,5131.879333671905,2074.993835653311,3454.005975369818,0.4,0.9822951920878643,-397.1204773512233
1.0,ecmwf,6.0,4,2026-09-21T19:00:00-03:00,14.133842803568081,5814.68532028526,2069.9011494164424,4080.9393975264643,3.4,0.9882030944669211,-336.1552266576475
1.0,ecmwf,6.0,5,2026-09-21T20:00:00-03:00,14.994123886597825,6404.555612627316,2040.5098901522251,4648.594978567252,3.4,0.9881321433243054,-284.5492560921608
1.0,ecmwf,6.0,6,2026-09-21T21:00:00-03:00,15.717820866741288,6917.140703423036,1994.9514277328558,5163.055020803413,3.4,0.9881329954143228,-240.86574511323334
1.0,ecmwf,6.0,7,2026-09-21T22:00:00-03:00,16.29893934676146,7339.357974110893,1932.8356424194883,5610.410783081918,0.5,0.9881329851811204,-203.88845139051278
1.0,ecmwf,6.0,8,2026-09-21T23:00:00-03:00,16.81305490917891,7720.657421370558,1855.8534106862512,6037.391858702624,0.5,0.9881329853040163,-172.58784801831737
1.0,ecmwf,6.0,9,2026-09-22T00:00:00-03:00,17.254352509834433,8053.690842984774,1766.7616922096774,6433.0216100608,0.5,0.9881329853025403,-146.09245928570442
1.0,ecmwf,6.0,10,2026-09-22T01:00:00-03:00,17.58357555742291,8305.563417563362,1668.6145075406112,6760.613506952426,0.0,0.9762659706050985,-123.6645969296749
1.0,ecmwf,6.0,11,2026-09-22T02:00:00-03:00,17.787699334785678,8463.184475378144,1564.47118235574,7003.393114339337,0.0,0.9645414732002924,-104.67982131693375
1.0,ecmwf,6.0,12,2026-09-22T03:00:00-03:00,18.01392854745649,8639.16933753456,1457.2186085662354,7270.560284677924,0.0,0.9529577815221367,-88.60955570959936
