pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,gfs,2.0,1,2026-09-21T18:00:00-03:00,14.159098574587457,5604.840601243112,2075.9122749932612,3544.340619247052,0.6,0.9889378977538612,-15.412292997200623
1.0,gfs,2.0,2,2026-09-21T19:00:00-03:00,15.342358947690178,6410.927602544099,2072.7000943042126,4347.575536479162,1.8,0.9889378977538612,-9.348028239276495
1.0,gfs,2.0,3,2026-09-21T20:00:00-03:00,16.539333309728008,7266.976148082672,2037.9248099903768,5234.7212038272755,0.9,0.9889378977538612,-5.669865734980699
1.0,gfs,2.0,4,2026-09-21T21:00:00-03:00,17.686265356252854,8124.3966867308045,1976.8560471840365,6150.979586951488,0.1,0.9802072682648705,-3.4389474047198987
1.0,gfs,2.0,5,2026-09-21T22:00:00-03:00,18.85180379032829,9031.93646250135,1895.0898460461624,7138.932443493289,0.0,0.9692428254534645,-2.0858270381018085
1.0,gfs,2.0,6,2026-09-21T23:00:00-03:00,19.98664347276994,9949.738366430514,1798.0743899768152,8152.929094503166,0.0,0.9584010291578074,-1.2651180494663383
1.0,gfs,2.0,7,2026-09-22T00:00:00-03:00,21.11638694207894,10896.092926611933,1690.773067510461,9206.08719198663,0.0,0.947680507473455,-0.767332885157178
1.0,gfs,2.0,8,2026-09-22T01:00:00-03:00,22.150859217850673,11790.606764433664,1577.4957295290112,10213.576445825705,0.0,0.9370799038418676,-0.46541092105358156
1.0,gfs,2.0,9,2026-09-22T02:00:00-03:00,22.97705359201771,12523.860038214234,1461.8449968279617,11062.297327379256,0.0,0.9265978768787542,-0.2822859929840932
1.0,gfs,2.0,10,2026-09-22T03:00:00-03:00,23.73522031534494,13211.224512259374,1346.7286297276096,11864.667097641317,0.0,0.9162331002043355,-0.17121510955227787
1.0,gfs,2.0,11,2026-09-22T04:00:00-03:00,24.360623798478414,13788.523997566715,1234.4108373375886,12554.217007442476,0.0,0.9059842622755054,-0.1038472133495139
1.0,gfs,2.0,12,2026-09-22T05:00:00-03:00,24.918607682728627,14311.362774456924,1126.5840344570377,13184.841726518709,0.0,0.8958500662198715,-0.06298651882219926
1.0,gfs,6.0,1,2026-09-21T18:00:00-03:00,14.147097478798232,5596.8740363678635,2075.9122749932612,3544.340619247052,0.6,0.9889378977538612,-23.37885787245012
1.0,gfs,6.0,2,2026-09-21T19:00:00-03:00,15.327401187677658,6400.485854845531,2072.7000943042126,4347.575536479162,1.8,0.9889378977538612,-19.78977593784409
1.0,gfs,6.0,3,2026-09-21T20:00:00-03:00,16.524187460170175,7255.894330146588,2037.9248099903768,5234.7212038272755,0.9,0.9889378977538612,-16.751683671065035
1.0,gfs,6.0,4,2026-09-21T21:00:00-03:00,17.672186816259213,8113.65564004682,1976.8560471840365,6150.979586951488,0.1,0.9802072682648705,-14.179994088705065
1.0,gfs,6.0,5,2026-09-21T22:00:00-03:00,18.839311340507486,9022.019183684306,1895.0898460461624,7138.932443493289,0.0,0.9692428254534645,-12.003105855145774
1.0,gfs,6.0,6,2026-09-21T23:00:00-03:00,19.97583797251169,9940.843074731672,1798.0743899768152,8152.929094503166,0.0,0.9584010291578074,-10.160409748308425
1.0,gfs,6.0,7,2026-09-22T00:00:00-03:00,21.107190421922652,10888.259658327746,1690.773067510461,9206.08719198663,0.0,0.947680507473455,-8.600601169343525
1.0,gfs,6.0,8,2026-09-22T01:00:00-03:00,22.14309171218966,11783.791923641795,1577.4957295290112,10213.576445825705,0.0,0.9370799038418676,-7.280251712922139
1.0,gfs,6.0,9,2026-09-22T02:00:00-03:00,22.97050124909849,12517.979724179626,1461.8449968279617,11062.297327379256,0.0,0.9265978768787542,-6.1626000275921795
1.0,gfs,6.0,10,2026-09-22T03:00:00-03:00,23.729709960710174,13206.17919906776,1346.7286297276096,11864.667097641317,0.0,0.9162331002043355,-5.216528301167175
1.0,gfs,6.0,11,2026-09-22T04:00:00-03:00,24.35598946577899,13784.212148905752,1234.4108373375886,12554.217007442476,0.0,0.9059842622755054,-4.415695874312695
