lead_h,original_m,reproduced_m,difference_m
1,10.354225675568127,10.354225675568127,0.0
2,11.209646933704338,11.209646933704338,0.0
3,11.501219284075743,11.501219284075743,0.0
4,11.650989959045251,11.650989959045251,0.0
5,12.403635040443014,12.403635040443014,0.0
6,12.103225906054362,12.103225906054362,0.0
7,13.445622097751722,13.445622097751722,0.0
8,13.629904539529917,13.629904539529917,0.0
9,14.164101359105347,14.164101359105347,0.0
10,13.977466606446058,13.977466606446058,0.0
11,13.799682357580576,13.799682357580576,0.0
12,13.737598273980495,13.737598273980495,0.0
