h,time,forecast_m,tau_h,diagnostic
1,2026-09-21T18:00:00-03:00,13.833758024360296,6.0,frozen HGE upstream kernels and rating; not refitted legacy routing
2,2026-09-21T19:00:00-03:00,14.308299190502838,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
3,2026-09-21T20:00:00-03:00,15.476597386838003,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
4,2026-09-21T21:00:00-03:00,16.661103961990968,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
5,2026-09-21T22:00:00-03:00,18.414442811168634,6.0,frozen HGE upstream kernels and rating; not refitted legacy routing
6,2026-09-21T23:00:00-03:00,19.56993734372552,6.0,frozen HGE upstream kernels and rating; not refitted legacy routing
7,2026-09-22T00:00:00-03:00,20.345681772893087,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
8,2026-09-22T01:00:00-03:00,21.477244570499202,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
9,2026-09-22T02:00:00-03:00,22.389320210787922,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
10,2026-09-22T03:00:00-03:00,23.235639813923044,2.0,frozen HGE upstream kernels and rating; not refitted legacy routing
11,2026-09-22T04:00:00-03:00,24.11076726567554,6.0,frozen HGE upstream kernels and rating; not refitted legacy routing
12,2026-09-22T05:00:00-03:00,24.96419372186388,12.0,frozen HGE upstream kernels and rating; not refitted legacy routing
