source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,660.0,13.8
86099000,2026-09-21T18:00:00-03:00,60.0,7.38
86102000,2026-09-21T10:00:00-03:00,540.0,7.51
86117000,2026-09-21T18:00:00-03:00,60.0,2.83
86125000,2026-09-21T11:59:00-03:00,421.0,0.8412999999999999
86125050,2026-09-21T18:00:00-03:00,60.0,1.28
86160000,2026-09-21T17:45:00-03:00,75.0,5.5
86163000,2026-09-21T18:00:00-03:00,60.0,1.23
86200900,2026-09-21T12:00:00-03:00,420.0,667.03
86280500,2026-09-21T18:00:00-03:00,60.0,5.1
86298000,2026-09-21T17:00:00-03:00,120.0,12.34
86403000,2026-09-21T18:00:00-03:00,60.0,8.69
86410800,2026-09-21T18:00:00-03:00,60.0,0.08
86447000,2026-09-21T18:00:00-03:00,60.0,4.84
86448000,2026-09-21T18:00:00-03:00,60.0,152.76
86450000,2026-09-21T16:30:00-03:00,150.0,15.43
86471000,2026-09-21T18:30:00-03:00,30.0,2.07
86472000,2026-09-21T18:30:00-03:00,30.0,15.59
86472600,2026-09-21T18:45:00-03:00,15.0,12.81
86479000,2026-09-21T18:00:00-03:00,60.0,0.79
86488000,2026-09-21T18:00:00-03:00,60.0,2.32
86493000,2026-09-21T18:00:00-03:00,60.0,372.04
86495500,2026-09-21T18:00:00-03:00,60.0,330.66
86500000,2026-09-21T18:30:00-03:00,30.0,5.2170000000000005
86504900,2026-09-21T18:00:00-03:00,60.0,6.55
86505500,2026-09-21T18:00:00-03:00,60.0,1.15
86510000,2026-09-21T18:30:00-03:00,30.0,14.25
julho,2026-09-21T18:00:00-03:00,60.0,7085.47
monte,2026-09-21T18:00:00-03:00,60.0,9319.15
castro,2026-09-21T18:00:00-03:00,60.0,8667.66
