h,model,origin,time,forecast_m,raw_forecast_m,assimilation_m,gain,validation_score,lower_error_envelope_m,upper_error_envelope_m,historical_similar_n,recent_completed_n,historical_mae_m,historical_rising_mae_m,historical_high_mae_m
1,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,7.846201483840813,7.846201483840813,-0.0,0.0,0.03637019496795803,7.701444199567695,8.058788115060738,277,13,0.027946874888221725,0.1420095871710858,0.04230075007270453
1,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,7.917830746407626,7.917830746407626,-0.0,0.0,0.03853246340556059,7.7214008417008175,8.166835978695827,280,13,0.028122120645412804,0.1478985072109591,0.04493227928405723
1,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,7.8472466036635655,8.074632200283608,-0.22738559662004207,0.5,0.04660841698910338,7.495535838587923,7.981869630740354,280,13,0.03015376886050925,0.1711655043599638,0.0513410212246104
1,integrado,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.029013698077831,8.029013698077831,-0.0,0.0,0.044722619791492425,7.541097450079134,8.241984329311343,266,13,0.030284937473978354,0.18863341242859466,0.04253730193177382
1,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,8.073930185975938,8.073930185975938,-0.0,0.0,0.0444968689237462,7.529449035731495,8.218373501546376,279,13,0.02946036402363089,0.14570974610130794,0.05062961398693506
1,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T14:00:00-03:00,7.93022780259476,8.069691349665332,-0.13946354707057199,0.25,0.04549408306732324,7.3876715046825225,8.077647134074791,273,13,0.029190562010115256,0.1541605994852837,0.04726569758123075
2,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,8.376584583694342,8.376584583694342,-0.0,0.0,0.23608668284393364,8.097363752066805,9.251207673584691,296,12,0.0683575421916685,0.2520080388242962,0.11651028072538613
2,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,8.698006942324472,8.698006942324472,-0.0,0.0,0.22216698562964188,8.285395256290649,9.596948647011038,296,12,0.06697239434560961,0.21435822721992942,0.10983135431095198
2,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.1031276256757,9.1031276256757,-0.0,0.0,0.2890008972426041,7.602212415277352,9.8452222078215,289,12,0.0654913680243157,0.255295918492382,0.13290941753405217
2,integrado,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.245052809455675,9.245052809455675,-0.0,0.0,0.28166010372127503,7.565241496157499,9.973077213096431,284,12,0.06785126667990382,0.24663442152629034,0.13024211264530403
