origin,target,sgb_forecast_m,actual_m,error_m,source
2026-07-23T08:00:00-03:00,2026-07-23T12:00:00-03:00,11.91,11.53,0.3800000000000008,boletim-20260723_08.pdf
2026-07-24T00:00:00-03:00,2026-07-24T04:00:00-03:00,7.41,7.91,-0.5,boletim-20260724_00.pdf
2026-07-24T16:00:00-03:00,2026-07-24T20:00:00-03:00,7.63,6.19,1.4399999999999995,boletim-20260724_16.pdf
2026-07-29T18:00:00-03:00,2026-07-29T22:00:00-03:00,14.75,15.12,-0.3699999999999992,boletim-20260729_18.pdf
2026-07-22T06:00:00-03:00,2026-07-22T10:00:00-03:00,18.07,18.37,-0.3000000000000007,boletim-20260722_06.pdf
2026-07-22T12:00:00-03:00,2026-07-22T16:00:00-03:00,18.44,nan,nan,boletim-20260722_12.pdf
2026-07-30T12:00:00-03:00,2026-07-30T16:00:00-03:00,10.72,10.47,0.25,boletim-20260730_12.pdf
2026-07-30T06:00:00-03:00,2026-07-30T10:00:00-03:00,12.29,12.29,0.0,boletim-20260730_06.pdf
2026-08-14T22:00:00-03:00,2026-08-15T02:00:00-03:00,7.06,7.36,-0.3000000000000007,boletim-20260814_22.pdf
2026-07-22T00:00:00-03:00,2026-07-22T04:00:00-03:00,19.34,14.49,4.85,boletim-20260722_00.pdf
2026-07-30T00:00:00-03:00,2026-07-30T04:00:00-03:00,14.11,14.06,0.049999999999998934,boletim-20260730_00.pdf
2026-07-22T18:00:00-03:00,2026-07-22T22:00:00-03:00,17.34,17.41,-0.07000000000000028,boletim-20260722_18.pdf
2026-07-30T18:00:00-03:00,2026-07-30T22:00:00-03:00,9.73,9.51,0.22000000000000064,boletim-20260730_18.pdf
2026-07-29T06:00:00-03:00,2026-07-29T10:00:00-03:00,15.51,14.55,0.9599999999999991,boletim-20260729_06.pdf
2026-07-29T12:00:00-03:00,2026-07-29T16:00:00-03:00,15.31,15.22,0.08999999999999986,boletim-20260729_12.pdf
2026-08-14T07:00:00-03:00,2026-08-14T11:00:00-03:00,9.06,8.88,0.17999999999999972,boletim-20260814_07.pdf
2026-07-30T22:00:00-03:00,2026-07-31T02:00:00-03:00,8.14,8.53,-0.3899999999999988,boletim-20260730_22.pdf
2026-07-29T00:00:00-03:00,2026-07-29T04:00:00-03:00,11.83,13.18,-1.3499999999999996,boletim-20260729_00.pdf
2026-08-14T15:00:00-03:00,2026-08-14T19:00:00-03:00,8.78,8.46,0.3199999999999985,boletim-20260814_15.pdf
2026-07-31T06:00:00-03:00,2026-07-31T10:00:00-03:00,7.35,7.51,-0.16000000000000014,boletim-20260731_06.pdf
2026-07-28T18:00:00-03:00,2026-07-28T22:00:00-03:00,13.22,11.24,1.9800000000000004,boletim-20260728_18.pdf
2026-07-24T08:00:00-03:00,2026-07-24T12:00:00-03:00,6.95,6.95,0.0,boletim-20260724_08.pdf
2026-07-23T00:00:00-03:00,2026-07-23T04:00:00-03:00,14.38,14.51,-0.129999999999999,boletim-20260723_00.pdf
2026-07-31T14:00:00-03:00,2026-07-31T18:00:00-03:00,6.99,7.02,-0.02999999999999936,boletim-20260731_14.pdf
2026-07-23T16:00:00-03:00,2026-07-23T20:00:00-03:00,9.0,9.45,-0.4499999999999993,boletim-20260723_16.pdf
