h,phase,method,n,mae_m,max_abs_m
1,test,combinacao,1364,0.027238295755168066,0.43554056801683005
1,test,persistencia,1364,0.11836510263929619,1.0300000000000002
1,test,tendencia_2h,1364,0.07416422287390032,0.7250000000000001
1,today,combinacao,13,0.16240765724091571,0.47263052226051006
1,today,persistencia,13,0.30384615384615393,0.8900000000000006
1,today,tendencia_2h,13,0.21115384615384616,0.6349999999999998
2,test,combinacao,1362,0.06528424945721878,0.5890315280769407
2,test,persistencia,1362,0.23304698972099855,2.0300000000000002
2,test,tendencia_2h,1362,0.18008810572687226,1.3799999999999994
2,today,combinacao,12,0.4936548120160753,1.6012460614513637
2,today,persistencia,12,0.6100000000000001,1.6500000000000004
2,today,tendencia_2h,12,0.5191666666666667,1.4000000000000004
3,test,combinacao,1360,0.08648895914962439,0.8551531952359266
3,test,persistencia,1360,0.34201470588235294,2.87
3,test,tendencia_2h,1360,0.3063235294117647,2.1499999999999995
3,today,combinacao,11,0.73695233527013,2.4675555094478705
3,today,persistencia,11,0.9027272727272727,2.33
3,today,tendencia_2h,11,0.8945454545454552,1.955
4,test,combinacao,1359,0.11280834648366261,1.3392701778654832
4,test,persistencia,1359,0.44366445916114794,3.6000000000000005
4,test,tendencia_2h,1359,0.4451802796173657,2.6999999999999997
4,today,combinacao,10,0.9199092433411344,2.191453619100831
4,today,persistencia,10,1.1620000000000001,2.91
4,today,tendencia_2h,10,1.3060000000000003,2.6099999999999994
5,test,combinacao,1358,0.14180270460865665,1.9505728135154996
5,test,persistencia,1358,0.5359646539027982,4.1499999999999995
5,test,tendencia_2h,1358,0.5882952871870398,3.335
5,today,combinacao,9,1.154707893776959,2.8072499339543744
5,today,persistencia,9,1.37,3.29
5,today,tendencia_2h,9,1.8783333333333339,3.204999999999999
6,test,combinacao,1357,0.1801486774143679,2.5402605601739623
6,test,persistencia,1357,0.619587324981577,4.69
6,test,tendencia_2h,1357,0.7294252026529108,3.9599999999999995
6,today,combinacao,8,1.6349410331714147,3.426511550584309
6,today,persistencia,8,1.5175,3.51
6,today,tendencia_2h,8,2.2975000000000008,3.599999999999999
