source,source_peak,source_value,mucum_peak,mucum_level,lag_h,distance_km,wave_speed_km_h
Linha José Júlio,2025-06-18T20:45:00-03:00,12.56,2025-06-19T00:45:00-03:00,13.05,4,37.56500929069928,9.39125232267482
Linha José Júlio,2025-06-23T17:45:00-03:00,12.51,2025-06-23T21:45:00-03:00,11.4,4,37.56500929069928,9.39125232267482
Linha José Júlio,2025-06-29T19:45:00-03:00,15.73,2025-06-29T22:45:00-03:00,14.98,3,37.56500929069928,12.521669763566427
Linha José Júlio,2025-09-22T21:45:00-03:00,9.35,2025-09-23T00:45:00-03:00,8.93,3,37.56500929069928,12.521669763566427
Linha José Júlio,2025-11-08T21:45:00-03:00,10.36,2025-11-08T23:45:00-03:00,9.09,2,37.56500929069928,18.78250464534964
Linha José Júlio,2026-07-03T06:45:00-03:00,10.31,2026-07-03T09:45:00-03:00,8.84,3,37.56500929069928,12.521669763566427
Linha José Júlio,2026-07-22T10:45:00-03:00,20.35,2026-07-22T15:45:00-03:00,19.81,5,37.56500929069928,7.513001858139856
Linha José Júlio,2026-07-29T16:45:00-03:00,15.96,2026-07-29T18:45:00-03:00,15.3,2,37.56500929069928,18.78250464534964
Linha José Júlio,2026-08-14T00:45:00-03:00,10.77,2026-08-14T02:45:00-03:00,9.74,2,37.56500929069928,18.78250464534964
Linha José Júlio,2026-08-31T03:45:00-03:00,8.89,2026-08-31T07:45:00-03:00,7.54,4,37.56500929069928,9.39125232267482
Santa Tereza,2025-06-18T22:45:00-03:00,10.88,2025-06-19T00:45:00-03:00,13.05,2,20.503243941828863,10.251621970914432
Santa Tereza,2025-06-23T18:45:00-03:00,10.47,2025-06-23T21:45:00-03:00,11.4,3,20.503243941828863,6.8344146472762874
Santa Tereza,2025-06-29T20:45:00-03:00,13.32,2025-06-29T22:45:00-03:00,14.98,2,20.503243941828863,10.251621970914432
Santa Tereza,2025-09-22T22:45:00-03:00,8.01,2025-09-23T00:45:00-03:00,8.93,2,20.503243941828863,10.251621970914432
Santa Tereza,2025-11-08T22:45:00-03:00,8.51,2025-11-08T23:45:00-03:00,9.09,1,20.503243941828863,20.503243941828863
