source,id,event_peak,mucum_peak_m,best_lag_h,similar_lag_min_h,similar_lag_max_h,correlation,river_distance_km,apparent_wave_speed_km_h
Linha José Júlio,86472000,2025-06-19T00:00:00-03:00,13.04,3,2,3,0.9550629705658603,37.56500929069928,12.521669763566427
Linha José Júlio,86472000,2025-06-23T21:00:00-03:00,11.41,3,2,4,0.9986195062617782,37.56500929069928,12.521669763566427
Linha José Júlio,86472000,2025-06-29T22:00:00-03:00,14.99,3,2,4,0.995502817418373,37.56500929069928,12.521669763566427
Linha José Júlio,86472000,2025-09-23T00:00:00-03:00,8.94,2,0,3,0.9960417605824488,37.56500929069928,18.78250464534964
Linha José Júlio,86472000,2025-11-09T00:00:00-03:00,9.08,2,2,3,0.9526945309045077,37.56500929069928,18.78250464534964
Linha José Júlio,86472000,2026-07-03T09:00:00-03:00,8.82,3,2,4,0.9934377988042317,37.56500929069928,12.521669763566427
Linha José Júlio,86472000,2026-07-22T15:00:00-03:00,19.86,2,2,3,0.9926545095714594,37.56500929069928,18.78250464534964
Linha José Júlio,86472000,2026-07-29T19:00:00-03:00,15.31,0,0,1,0.9883481577870965,37.56500929069928,
Linha José Júlio,86472000,2026-08-14T03:00:00-03:00,9.74,2,1,2,0.9117872114977611,37.56500929069928,18.78250464534964
Linha José Júlio,86472000,2026-08-31T08:00:00-03:00,7.54,3,2,5,0.9912179271857905,37.56500929069928,12.521669763566427
Santa Tereza,86472600,2025-06-19T00:00:00-03:00,13.04,2,1,2,0.9687477279675231,20.503243941828863,10.251621970914432
Santa Tereza,86472600,2025-06-29T22:00:00-03:00,14.99,1,1,2,0.9980347088999854,20.503243941828863,20.503243941828863
Santa Tereza,86472600,2025-09-23T00:00:00-03:00,8.94,1,0,2,0.9968998000002608,20.503243941828863,20.503243941828863
Santa Tereza,86472600,2025-11-09T00:00:00-03:00,9.08,1,0,1,0.9708819212702396,20.503243941828863,20.503243941828863
Santa Tereza,86472600,2026-07-03T09:00:00-03:00,8.82,2,1,3,0.9957142640998005,20.503243941828863,10.251621970914432
Santa Tereza,86472600,2026-07-22T15:00:00-03:00,19.86,2,1,3,0.9957282762470371,20.503243941828863,10.251621970914432
Santa Tereza,86472600,2026-07-29T19:00:00-03:00,15.31,0,0,0,0.9933593912141784,20.503243941828863,
Santa Tereza,86472600,2026-08-14T03:00:00-03:00,9.74,1,0,1,0.965797263205554,20.503243941828863,20.503243941828863
Santa Tereza,86472600,2026-08-31T08:00:00-03:00,7.54,2,1,3,0.9975262526810562,20.503243941828863,10.251621970914432
14 de Julho,86471000,2025-06-19T00:00:00-03:00,13.04,4,4,4,0.8956163878550809,40.292788571043495,10.073197142760874
14 de Julho,86471000,2025-06-23T21:00:00-03:00,11.41,4,3,5,0.9955505605899614,40.292788571043495,10.073197142760874
14 de Julho,86471000,2025-06-29T22:00:00-03:00,14.99,3,3,4,0.9841323561009384,40.292788571043495,13.430929523681165
14 de Julho,86471000,2025-09-23T00:00:00-03:00,8.94,1,0,3,0.9733680554008366,40.292788571043495,40.292788571043495
14 de Julho,86471000,2025-11-09T00:00:00-03:00,9.08,4,3,4,0.8614872174683886,40.292788571043495,10.073197142760874
14 de Julho,86471000,2026-07-03T09:00:00-03:00,8.82,5,4,6,0.9665026907772619,40.292788571043495,8.0585577142087
14 de Julho,86471000,2026-07-22T15:00:00-03:00,19.86,3,2,4,0.9773130733620691,40.292788571043495,13.430929523681165
14 de Julho,86471000,2026-07-29T19:00:00-03:00,15.31,0,0,1,0.9652514722740829,40.292788571043495,
14 de Julho,86471000,2026-08-14T03:00:00-03:00,9.74,2,1,2,0.8112723621234135,40.292788571043495,20.146394285521747
14 de Julho,86471000,2026-08-31T08:00:00-03:00,7.54,5,4,6,0.9836047395268834,40.292788571043495,8.0585577142087
Passo Carreiro,86500000,2025-06-19T00:00:00-03:00,13.04,25,25,27,0.8590251806474775,77.34323850475506,3.0937295401902025
Passo Carreiro,86500000,2025-06-23T21:00:00-03:00,11.41,8,7,9,0.968554242833061,77.34323850475506,9.667904813094383
Passo Carreiro,86500000,2025-06-29T22:00:00-03:00,14.99,7,6,8,0.9828665033000034,77.34323850475506,11.049034072107867
Passo Carreiro,86500000,2025-09-23T00:00:00-03:00,8.94,9,8,11,0.9680175427401132,77.34323850475506,8.593693167195006
Passo Carreiro,86500000,2025-11-09T00:00:00-03:00,9.08,10,9,11,0.8019673824712522,77.34323850475506,7.734323850475507
Passo Carreiro,86500000,2026-07-29T19:00:00-03:00,15.31,3,3,4,0.9651387876308134,77.34323850475506,25.781079501585022
Carreiro — Cotiporã/Dois Lajeados,DCRS-00057,2026-07-03T09:00:00-03:00,8.82,9,9,11,0.9670184659140034,48.108455386198294,5.345383931799811
