plant,timestamp,ons_Q,ceran_Q,difference
monte,2026-09-19T17:00:00-03:00,276.0,276.02,0.01999999999998181
julho,2026-09-19T17:00:00-03:00,201.0,201.42,0.4199999999999875
castro,2026-09-19T17:00:00-03:00,173.0,173.18,0.18000000000000682
monte,2026-09-19T18:00:00-03:00,370.0,370.4,0.39999999999997726
julho,2026-09-19T18:00:00-03:00,459.0,459.23,0.2300000000000182
castro,2026-09-19T18:00:00-03:00,173.0,173.08,0.0800000000000125
julho,2026-09-19T19:00:00-03:00,455.0,454.85,-0.14999999999997726
castro,2026-09-19T19:00:00-03:00,173.0,173.26,0.2599999999999909
monte,2026-09-19T19:00:00-03:00,338.0,337.59,-0.410000000000025
julho,2026-09-19T20:00:00-03:00,448.0,447.77,-0.2300000000000182
castro,2026-09-19T20:00:00-03:00,173.0,173.34,0.3400000000000034
monte,2026-09-19T20:00:00-03:00,308.0,307.94,-0.060000000000002274
monte,2026-09-19T21:00:00-03:00,291.0,290.79,-0.20999999999997954
julho,2026-09-19T21:00:00-03:00,433.0,432.86,-0.13999999999998636
castro,2026-09-19T21:00:00-03:00,173.0,173.35,0.3499999999999943
monte,2026-09-19T22:00:00-03:00,281.0,281.24,0.2400000000000091
julho,2026-09-19T22:00:00-03:00,417.0,416.85,-0.14999999999997726
castro,2026-09-19T22:00:00-03:00,173.0,173.29,0.28999999999999204
castro,2026-09-19T23:00:00-03:00,173.0,173.23,0.22999999999998977
julho,2026-09-19T23:00:00-03:00,403.0,402.67,-0.3299999999999841
monte,2026-09-19T23:00:00-03:00,266.0,266.09,0.08999999999997499
castro,2026-09-20T01:00:00-03:00,173.0,172.87,-0.12999999999999545
monte,2026-09-20T01:00:00-03:00,258.0,257.69,-0.3100000000000023
julho,2026-09-20T01:00:00-03:00,377.0,377.27,0.2699999999999818
julho,2026-09-20T02:00:00-03:00,367.0,367.37,0.37000000000000455
monte,2026-09-20T02:00:00-03:00,263.0,262.96,-0.040000000000020464
castro,2026-09-20T02:00:00-03:00,172.0,172.49,0.4900000000000091
monte,2026-09-20T03:00:00-03:00,272.0,271.72,-0.2799999999999727
castro,2026-09-20T03:00:00-03:00,172.0,172.32,0.3199999999999932
julho,2026-09-20T03:00:00-03:00,362.0,362.16,0.160000000000025
castro,2026-09-20T04:00:00-03:00,172.0,172.41,0.4099999999999966
monte,2026-09-20T04:00:00-03:00,278.0,277.56,-0.4399999999999977
julho,2026-09-20T04:00:00-03:00,360.0,360.07,0.06999999999999318
julho,2026-09-20T05:00:00-03:00,362.0,361.52,-0.4800000000000182
monte,2026-09-20T05:00:00-03:00,304.0,303.81,-0.18999999999999773
castro,2026-09-20T05:00:00-03:00,173.0,172.56,-0.4399999999999977
julho,2026-09-20T06:00:00-03:00,350.0,350.28,0.2799999999999727
monte,2026-09-20T06:00:00-03:00,296.0,296.33,0.3299999999999841
castro,2026-09-20T06:00:00-03:00,173.0,172.7,-0.30000000000001137
monte,2026-09-20T07:00:00-03:00,339.0,338.77,-0.2300000000000182
castro,2026-09-20T07:00:00-03:00,173.0,172.62,-0.37999999999999545
julho,2026-09-20T07:00:00-03:00,349.0,349.21,0.20999999999997954
julho,2026-09-20T08:00:00-03:00,348.0,347.7,-0.30000000000001137
monte,2026-09-20T08:00:00-03:00,335.0,335.29,0.29000000000002046
castro,2026-09-20T08:00:00-03:00,257.0,256.67,-0.3299999999999841
julho,2026-09-20T09:00:00-03:00,202.0,202.14,0.13999999999998636
castro,2026-09-20T09:00:00-03:00,257.0,256.7,-0.30000000000001137
monte,2026-09-20T09:00:00-03:00,284.0,283.54,-0.45999999999997954
julho,2026-09-20T10:00:00-03:00,90.0,90.1,0.09999999999999432
castro,2026-09-20T10:00:00-03:00,173.0,172.94,-0.060000000000002274
monte,2026-09-20T10:00:00-03:00,281.0,280.63,-0.37000000000000455
julho,2026-09-20T11:00:00-03:00,106.0,106.19,0.18999999999999773
castro,2026-09-20T11:00:00-03:00,173.0,173.01,0.009999999999990905
monte,2026-09-20T11:00:00-03:00,299.0,299.4,0.39999999999997726
monte,2026-09-20T12:00:00-03:00,334.0,333.56,-0.4399999999999977
julho,2026-09-20T12:00:00-03:00,103.0,102.97,-0.030000000000001137
castro,2026-09-20T12:00:00-03:00,173.0,173.1,0.09999999999999432
julho,2026-09-20T13:00:00-03:00,170.0,170.49,0.4900000000000091
monte,2026-09-20T13:00:00-03:00,349.0,348.7,-0.30000000000001137
