id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade,trecho,rio,distancia_rede_km,distancia_sensor_canal_m,area_montante_km2,nota_distancia,papel_modelo,pesos_chuva_por_subbacia,tempo_chuva_ate_mucum
IFLORE242,wu,Flores da Cunha (738 m),-29.042176,-51.617465,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,454574,Rio Taquari,65.72362940604131,39.9559312252365,12532.98246872,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ISOMAR32,wu,São Marcos (786 m),-28.976224,-51.076735,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,63252,Arroio Cafundó,164.34843114727914,2863.2075655465105,41.55438802,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IMUITO3,wu,Muitos Capões (843 m),-28.262828,-51.258699,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,403138,Rio Santa Rita,236.13621215519538,2443.0666419433305,196.95635946,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IGARIB22,wu,Garibaldi (670 m),-29.265699,-51.528301,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,451667,Arroio Marrecáo,45.64775533377625,3867.455840393017,168.4317987,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IBENTO5,wu,Bento Gonçalves (620 m),-29.155001,-51.505199,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,205056,Rio Burati,98.33904195709886,2769.9390301280373,171.06077124,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ISOMAR20,wu,São Marcos - São José (788 m),-28.966499,-51.046101,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,63252,Arroio Cafundó,167.30357433248528,2577.0246276761754,41.55438802,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IANDRD3,wu,André da Rocha (701 m),-28.5326,-51.4496,Prata-Turvo,SIGMA,2026-09-21T12:51:00-03:00,checagens basicas aprovadas; nao homologado,125340,Rio Turvo,178.8150596132455,3283.9784374389,482.5836669,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IBOMJE2,wu,Bom Jesus (1033 m),-28.662201,-50.436501,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,46164,Arroio Pinheiro,282.18370299615754,214.91166970474444,151.83467902,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ISOJOS89,wu,São José dos Ausentes (1193 m),-28.753099,-50.063999,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,105179,Arroio Pai José,341.6383784898518,1564.4152126242577,39.05573128,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IMUITO2,wu,Muitos Capões (823 m),-28.322399,-51.1213,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,438900,Rio Ituim,238.4100539972427,238.35134478354337,223.99947858,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IFARRO1,wu,Farroupilha (766 m),-29.225,-51.353001,Baixo Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,347270,Arroio do Alencastro,115.00466166553888,647.317737792138,22.58697239,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ICOTIP1,wu,Cotiporã (596 m),-28.996201,-51.694,Baixo Antas,SIGMA,2026-09-21T12:51:00-03:00,checagens basicas aprovadas; nao homologado,454480,Rio Taquari,58.18539394085857,4444.330604961645,12788.81056067,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ICAXIA4,wu,Caxias do Sul - Sagrada Família (780 m),-29.152399,-51.158901,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,250296,Rio Tegas,141.40138227693,1375.6103355680618,47.82028385,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IGARIB14,wu,Garibaldi - Alfândega (670 m),-29.265699,-51.528301,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,451667,Arroio Marrecáo,45.64775533377625,3867.455840393017,168.4317987,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IVACAR13,wu,Vacaria - Pomar Boeno (873 m),-28.5669,-50.9795,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,410853,Arroio Viana,228.29391767973345,2897.5139175542713,83.86037925,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IRIOGRAN15,wu,Garibaldi (680 m),-29.2239,-51.503601,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,107418,,108.38170504680994,480.2846513430505,9.59398785,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IMUITO4,wu,Muitos Capões - Agro Varaschin (846 m),-28.390301,-51.2537,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,438997,Rio Ituim,219.52447108888288,3408.99566682247,508.19566793,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IGARIB3,wu,Garibaldi - Sítio Ongaratto (607 m),-29.245399,-51.560001,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,451667,Arroio Marrecáo,41.359521359383365,1033.1238274098803,168.4317987,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
