id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 01:00:00;104.46;71.47;145.9;456.0;472.0;330.0;112.0;30.0;0.0;5.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 02:00:00;104.45;71.47;144.9;453.0;469.0;331.0;108.0;30.0;0.0;5.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 03:00:00;104.43;71.46;142.91;430.0;462.0;331.0;100.0;30.0;0.0;4.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 04:00:00;104.41;71.41;140.91;422.0;454.0;331.0;93.0;30.0;0.0;4.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 05:00:00;104.39;71.42;138.92;415.0;447.0;331.0;86.0;30.0;0.0;4.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 06:00:00;104.38;71.42;137.92;428.0;444.0;331.0;83.0;30.0;0.0;4.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 07:00:00;104.51;70.81;150.89;648.0;438.0;277.0;131.0;30.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 08:00:00;104.51;70.06;150.89;162.0;162.0;0.0;131.0;30.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 09:00:00;104.54;70.0;153.89;223.0;175.0;0.0;145.0;30.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 10:00:00;104.57;69.97;156.88;236.0;188.0;0.0;158.0;30.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 11:00:00;104.61;70.0;160.87;271.0;206.0;0.0;176.0;30.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 12:00:00;104.74;70.12;173.84;482.0;273.0;0.0;242.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 13:00:00;104.8;70.3;179.83;402.0;306.0;0.0;275.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 14:00:00;104.94;70.3;193.8;618.0;392.0;0.0;361.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 15:00:00;104.88;70.99;187.81;496.0;592.0;238.0;323.0;31.0;0.0;88.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 16:00:00;105.0;71.91;199.79;948.0;755.0;324.0;400.0;31.0;0.0;11.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 17:00:00;105.1;72.1;213.06;988.0;827.0;328.0;468.0;31.0;0.0;8.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 18:00:00;105.07;72.28;209.08;760.0;809.0;330.0;448.0;31.0;0.0;8.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 19:00:00;105.02;72.23;202.44;694.0;775.0;330.0;414.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 20:00:00;104.96;72.16;195.8;639.0;735.0;330.0;374.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 21:00:00;104.92;72.11;191.8;645.0;709.0;330.0;348.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 22:00:00;104.87;72.04;186.82;597.0;678.0;330.0;317.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 23:00:00;104.83;71.9;182.82;588.0;653.0;329.0;293.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-01 23:59:00;104.81;71.93;180.83;609.0;641.0;329.0;281.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 01:00:00;104.82;71.89;181.83;663.0;647.0;329.0;287.0;31.0;0.0;7.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 02:00:00;105.01;71.35;201.11;1054.0;748.0;310.0;407.0;31.0;0.0;19.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 03:00:00;105.03;70.97;203.77;484.0;452.0;0.0;420.0;31.0;0.0;325.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 04:00:00;105.12;70.99;215.71;659.0;514.0;0.0;483.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 05:00:00;105.13;71.13;217.04;537.0;521.0;0.0;490.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 06:00:00;105.03;72.13;203.77;595.0;756.0;304.0;420.0;31.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 07:00:00;105.14;71.37;218.37;1016.0;839.0;310.0;497.0;31.0;0.0;18.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 08:00:00;105.26;71.85;234.29;932.0;739.0;119.0;588.0;32.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 09:00:00;105.28;71.95;236.94;787.0;754.0;119.0;603.0;32.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 10:00:00;105.3;71.99;239.6;803.0;770.0;120.0;619.0;32.0;0.0;0.0
S;Sul;Fio dagua;JACUI;JIUHQJ;14 DE JULHO;99.0;2025-10-02 11:00:00;105.3;71.99;239.6;770.0;770.0;120.0;619.0;32.0;0.0;0.0
