id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 01:00:00;50.85;28.33;96.42;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 02:00:00;50.86;28.31;96.66;8437.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 03:00:00;50.87;28.32;96.9;8440.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 04:00:00;50.87;28.31;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 05:00:00;50.87;28.32;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 06:00:00;50.87;28.31;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 07:00:00;50.87;28.31;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 08:00:00;50.87;28.3;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 09:00:00;50.87;28.33;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 10:00:00;50.87;28.32;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 11:00:00;50.87;28.32;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 12:00:00;50.87;28.33;96.9;1509.0;1509.0;1250.0;259.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 13:00:00;50.87;28.35;96.9;1675.0;1675.0;1250.0;425.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 14:00:00;50.88;28.39;97.13;8614.0;1675.0;1250.0;425.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 15:00:00;50.88;28.41;97.13;1675.0;1675.0;1250.0;425.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 16:00:00;50.88;28.43;97.13;1675.0;1675.0;1250.0;425.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 17:00:00;50.87;28.43;96.9;-5264.0;1675.0;1250.0;425.0;0.0;0.0;
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277;2022-05-01 18:00:00;50.87;28.43;96.9;1675.0;1675.0;1250.0;425.0;0.0;0.0;
