id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_line
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 01:00:00,103.4,69.46,40.0,152.0,56.0,27.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40263
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 02:00:00,103.4,69.24,40.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40264
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 03:00:00,103.4,69.13,40.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40265
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 04:00:00,103.4,69.07,40.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40266
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 05:00:00,103.39,69.03,39.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40267
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 06:00:00,103.38,69.02,38.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40268
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 07:00:00,103.37,69.01,37.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40269
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 08:00:00,103.36,69.01,36.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40270
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 09:00:00,103.35,69.01,35.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40271
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 10:00:00,103.34,69.01,34.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40272
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 11:00:00,103.33,69.01,33.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40273
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 12:00:00,103.32,69.01,32.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40274
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 13:00:00,103.31,69.01,31.0,9.0,26.0,0.0,0.0,26.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40275
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 14:00:00,103.3,69.01,30.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40276
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 15:00:00,103.29,69.01,29.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40277
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 16:00:00,103.28,69.01,28.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40278
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 17:00:00,103.27,69.01,27.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40279
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 18:00:00,103.26,69.01,26.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40280
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 19:00:00,103.23,69.45,23.0,30.0,78.0,50.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40281
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 20:00:00,103.22,69.57,22.0,76.0,92.0,64.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40282
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 21:00:00,103.26,69.66,26.0,158.0,93.0,65.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40283
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 22:00:00,103.28,69.77,28.0,142.0,109.0,81.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40284
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 23:00:00,103.32,69.82,32.0,174.0,109.0,81.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40285
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-01 23:59:00,103.35,69.79,35.0,158.0,109.0,81.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40286
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 01:00:00,103.42,69.36,42.0,150.0,37.0,9.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40287
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 02:00:00,103.41,69.18,41.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40288
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 03:00:00,103.4,69.08,40.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40289
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 04:00:00,103.4,69.07,40.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40290
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 05:00:00,103.4,69.02,40.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40291
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 06:00:00,103.39,69.01,39.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40292
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 07:00:00,103.38,69.01,38.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40293
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 08:00:00,103.37,69.01,37.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40294
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2023-01-02 09:00:00,103.36,69.01,36.0,12.0,28.0,0.0,0.0,28.0,0.0,0.0,raw/DADOS_HIDROLOGICOS_HO_2023_01.csv,40295
