month,id,name,code,rows
1,AMUHBB,BALBINA,277.0,744
1,AMUSBM,BELO MONTE,288.0,744
1,AMCLR,COLIDER,228.0,744
1,CRCURU,CURUA-UNA,272.0,497
1,AMDA,DARDANELOS,310.0,744
1,AMUGUA,GUAPORE,196.0,728
1,AMUHJI,JIRAU,285.0,744
1,AMUSPM,PIMENTAL,314.0,744
1,AMUHRD,RONDON II,276.0,745
1,AMSAPI,SALTO APIACAS,225.0,744
1,AMSU,SAMUEL,279.0,744
1,AMUSSN,SANTO ANTONIO,287.0,744
1,AMUSMA,SAO MANOEL,230.0,744
1,AMSNPE,SINOP,227.0,734
1,AMSAJ,STO ANTONIO DO JARI,286.0,744
1,AMUHTP,TELES PIRES,229.0,744
1,AAUCCA,CACHOEIRA CALDEIRAO,204.0,744
1,AMUHCN,COARACY NUNES,280.0,618
1,AAFGO,FERREIRA GOMES,284.0,744
1,CASPSO,G. P. SOUZA,115.0,744
1,DCAIMO,AIMORES,143.0,744
1,DCUBAG,BAGUARI,141.0,744
1,DCUHEC,CANDONGA,139.0,513
1,PCGAMO,GUILM. AMORIM,192.0,744
1,DCMASC,MASCARENHAS,144.0,744
1,DCPORT,PORTO ESTRELA,135.0,719
1,DCSCAR,SA CARVALHO,193.0,744
1,SASGCM,SALTO GRANDE CM,134.0,744
1,DCSACM,SANTONIO CM,193.0,744
1,GRAGVL,A. VERMELHA,18.0,744
1,PDCACO,CACONDE,14.0,744
1,GRCAMA,CAMARGOS,1.0,744
1,PDECUN,E. DA CUNHA,15.0,744
1,GRFUNI,FUNIL-MG,4.0,744
1,GRFURN,FURNAS,6.0,744
1,GRIGAR,IGARAPAVA,10.0,744
1,GRITUT,ITUTINGA,2.0,744
1,GRJAGU,JAGUARA,9.0,744
1,GRLCBA,L. C. BARRETO,8.0,744
1,PDLIMO,LIMOEIRO,16.0,744
1,GRMMOR,M. MORAES,7.0,744
1,GRMARI,MARIMBONDO,17.0,744
1,GRPCOL,P. COLOMBIA,12.0,744
1,GRVGRA,VOLTA GRANDE,11.0,744
1,IGUHBI,BAIXO IGUACU,83.0,739
1,IGFND,FUNDÃO,72.0,744
