id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 01:00:00,239.51,147.73,51.0,78.0,93.0,74.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 02:00:00,239.51,147.74,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 03:00:00,239.52,147.77,52.0,96.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 04:00:00,239.51,147.77,51.0,66.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 05:00:00,239.51,147.78,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 06:00:00,239.51,147.78,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 07:00:00,239.51,147.79,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 08:00:00,239.51,147.78,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 09:00:00,239.51,147.77,51.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 10:00:00,239.52,147.77,52.0,96.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 11:00:00,239.52,147.77,52.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 12:00:00,239.52,147.76,52.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 13:00:00,239.53,147.76,53.0,96.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 14:00:00,239.53,147.73,53.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 15:00:00,239.54,147.72,54.0,96.0,81.0,63.0,0.0,18.0,0.0,0.0
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97.0,2024-03-01 16:00:00,239.54,147.7,54.0,81.0,81.0,63.0,0.0,18.0,0.0,0.0
