month,plant,field,records,first_timestamp,last_timestamp,finite,missing,zeros,negative,minimum,maximum,timestamps_2359
2024_03,JIUHQJ,val_nivelmontante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,103.01,104.0,31
2024_03,JIUHQJ,val_niveljusante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,68.63,71.15,31
2024_03,JIUHQJ,val_volumeutil,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,1.0,100.0,31
2024_03,JIUHQJ,val_vazaoafluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,11.0,353.0,31
2024_03,JIUHQJ,val_vazaodefluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,28.0,360.0,31
2024_03,JIUHQJ,val_vazaoturbinada,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,104,0,0.0,332.0,31
2024_03,JIUHQJ,val_vazaovertida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,744,0,0.0,0.0,31
2024_03,JIUHQJ,val_vazaooutrasestruturas,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,1,0,0.0,29.0,31
2024_03,JIUHQJ,val_vazaotransferida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,744,0,0.0,0.0,31
2024_03,JIUHQJ,val_vazaovertidanaoturbinavel,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,726,0,0.0,22.0,31
2024_03,JIUHMC,val_nivelmontante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,145.4,147.9,31
2024_03,JIUHMC,val_niveljusante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,104.68,106.07,31
2024_03,JIUHMC,val_volumeutil,744,2024-03-01 01:00:00,2024-03-31 23:59:00,664,80,1,178,-94.26,89.48,31
2024_03,JIUHMC,val_vazaoafluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,4.0,246.0,31
2024_03,JIUHMC,val_vazaodefluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,37.0,250.0,31
2024_03,JIUHMC,val_vazaoturbinada,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,583,0,0.0,94.0,31
2024_03,JIUHMC,val_vazaovertida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,37.0,170.0,31
2024_03,JIUHMC,val_vazaooutrasestruturas,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,744,0,0.0,0.0,31
2024_03,JIUHMC,val_vazaotransferida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,744,0,0.0,0.0,31
2024_03,JIUHMC,val_vazaovertidanaoturbinavel,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,195,0,0.0,169.0,31
2024_03,JIUHCA,val_nivelmontante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,238.91,239.94,31
2024_03,JIUHCA,val_niveljusante,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,145.36,147.97,31
2024_03,JIUHCA,val_volumeutil,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,9,27,-9.0,94.0,31
2024_03,JIUHCA,val_vazaoafluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,5.0,157.0,31
2024_03,JIUHCA,val_vazaodefluente,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,18.0,148.0,31
2024_03,JIUHCA,val_vazaoturbinada,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,174,0,0.0,106.0,31
2024_03,JIUHCA,val_vazaovertida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,718,0,0.0,78.0,31
2024_03,JIUHCA,val_vazaooutrasestruturas,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,0,0,18.0,20.0,31
2024_03,JIUHCA,val_vazaotransferida,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,744,0,0.0,0.0,31
2024_03,JIUHCA,val_vazaovertidanaoturbinavel,744,2024-03-01 01:00:00,2024-03-31 23:59:00,744,0,706,0,0.0,78.0,31
2024_04,JIUHQJ,val_nivelmontante,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,0,0,103.0,107.66,30
2024_04,JIUHQJ,val_niveljusante,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,0,0,68.25,80.57,30
2024_04,JIUHQJ,val_volumeutil,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,1,0,0.0,552.76,30
2024_04,JIUHQJ,val_vazaoafluente,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,0,0,7.0,4985.0,30
2024_04,JIUHQJ,val_vazaodefluente,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,0,0,28.0,4874.0,30
2024_04,JIUHQJ,val_vazaoturbinada,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,233,0,0.0,356.0,30
2024_04,JIUHQJ,val_vazaovertida,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,649,0,0.0,4839.0,30
2024_04,JIUHQJ,val_vazaooutrasestruturas,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,0,0,27.0,35.0,30
2024_04,JIUHQJ,val_vazaotransferida,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,718,0,0.0,0.0,30
2024_04,JIUHQJ,val_vazaovertidanaoturbinavel,718,2024-04-01 01:00:00,2024-04-30 23:59:00,718,0,658,0,0.0,409.0,30
2024_04,JIUHMC,val_nivelmontante,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,142.76,152.02,30
2024_04,JIUHMC,val_niveljusante,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,104.36,114.77,30
2024_04,JIUHMC,val_volumeutil,720,2024-04-01 01:00:00,2024-04-30 23:59:00,549,171,25,130,-94.26,573.93,30
2024_04,JIUHMC,val_vazaoafluente,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,3,0,0.0,4183.0,30
2024_04,JIUHMC,val_vazaodefluente,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,17.0,4174.0,30
2024_04,JIUHMC,val_vazaoturbinada,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,350,0,0.0,354.0,30
2024_04,JIUHMC,val_vazaovertida,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,11.0,4169.0,30
2024_04,JIUHMC,val_vazaooutrasestruturas,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,203,0,0.0,6.0,30
2024_04,JIUHMC,val_vazaotransferida,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,720,0,0.0,0.0,30
2024_04,JIUHMC,val_vazaovertidanaoturbinavel,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,11.0,406.0,30
2024_04,JIUHCA,val_nivelmontante,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,238.82,243.04,30
2024_04,JIUHCA,val_niveljusante,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,145.7,154.04,30
2024_04,JIUHCA,val_volumeutil,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,9,24,-18.0,452.96,30
2024_04,JIUHCA,val_vazaoafluente,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,3.0,2755.0,30
2024_04,JIUHCA,val_vazaodefluente,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,0,0,17.0,2687.0,30
2024_04,JIUHCA,val_vazaoturbinada,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,231,0,0.0,159.0,30
2024_04,JIUHCA,val_vazaovertida,720,2024-04-01 01:00:00,2024-04-30 23:59:00,720,0,675,0,0.0,2508.0,30
