station,field,records,modal_cadence_seconds,numeric,empty,nonempty_nonnumeric,approved_numeric,suspect_numeric,numeric_without_qc,parser_compatible,negative,first_approved,last_approved
86060010,NivelFinal,504,3600,0,504,0,0,0,0,0,0,,
86060010,VazaoFinal,504,3600,0,504,0,0,0,0,0,0,,
86060010,ChuvaFinal,504,3600,504,0,0,504,0,0,504,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86060010,ChuvaAcumAdotada,504,3600,0,504,0,0,0,0,0,0,,
86099000,NivelFinal,537,3600,537,0,0,537,0,0,537,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86099000,VazaoFinal,537,3600,494,43,0,494,0,0,494,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86099000,ChuvaFinal,537,3600,537,0,0,537,0,0,537,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86099000,ChuvaAcumAdotada,537,3600,0,537,0,0,0,0,0,0,,
86102000,NivelFinal,543,3600,543,0,0,543,0,0,543,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86102000,VazaoFinal,543,3600,435,108,0,435,0,0,435,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86102000,ChuvaFinal,543,3600,543,0,0,543,0,0,543,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86102000,ChuvaAcumAdotada,543,3600,0,543,0,0,0,0,0,0,,
86117000,NivelFinal,547,3600,547,0,0,547,0,0,547,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86117000,VazaoFinal,547,3600,524,23,0,524,0,0,524,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86117000,ChuvaFinal,547,3600,547,0,0,547,0,0,547,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86117000,ChuvaAcumAdotada,547,3600,0,547,0,0,0,0,0,0,,
86125000,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86125000,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86125000,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86125000,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86125050,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86125050,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86125050,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86125050,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86160000,NivelFinal,2172,900,2154,18,0,2153,1,0,2153,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86160000,VazaoFinal,2172,900,2154,18,0,2153,1,0,2153,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86160000,ChuvaFinal,2172,900,2054,118,0,2054,0,0,2054,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86160000,ChuvaAcumAdotada,2172,900,2054,118,0,2054,0,0,2054,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86163000,NivelFinal,247,3600,240,7,0,240,0,0,240,0,2020-06-28 00:00:00,2020-07-07 23:00:00
86163000,VazaoFinal,247,3600,163,84,0,163,0,0,163,0,2020-06-28 00:00:00,2020-07-06 04:00:00
86163000,ChuvaFinal,247,3600,247,0,0,247,0,0,247,0,2020-06-28 00:00:00,2020-07-08 06:00:00
86163000,ChuvaAcumAdotada,247,3600,0,247,0,0,0,0,0,0,,
86200900,NivelFinal,552,3600,550,2,0,550,0,0,550,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86200900,VazaoFinal,552,3600,0,552,0,0,0,0,0,0,,
86200900,ChuvaFinal,552,3600,541,11,0,541,0,0,541,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86200900,ChuvaAcumAdotada,552,3600,0,552,0,0,0,0,0,0,,
86280500,NivelFinal,160,3600,160,0,0,160,0,0,160,0,2020-07-08 12:00:00,2020-07-20 10:00:00
