window,station,day,records,approved_level,approved_rain
2024-06-12,86060010,2024-06-12,24,24,24
2024-06-12,86060010,2024-06-13,24,24,24
2024-06-12,86060010,2024-06-14,24,24,24
2024-06-12,86060010,2024-06-15,24,24,24
2024-06-12,86060010,2024-06-16,24,24,24
2024-06-12,86060010,2024-06-17,24,24,24
2024-06-12,86060010,2024-06-18,24,24,24
2024-06-12,86060010,2024-06-19,24,24,24
2024-06-12,86060010,2024-06-20,24,24,24
2024-06-12,86060010,2024-06-21,24,24,24
2024-06-12,86099000,2024-06-12,24,24,24
2024-06-12,86099000,2024-06-13,24,24,24
2024-06-12,86099000,2024-06-14,24,24,24
2024-06-12,86099000,2024-06-15,24,24,24
2024-06-12,86099000,2024-06-16,24,24,24
2024-06-12,86099000,2024-06-17,24,24,24
2024-06-12,86099000,2024-06-18,24,24,24
2024-06-12,86099000,2024-06-19,24,24,24
2024-06-12,86099000,2024-06-20,24,24,24
2024-06-12,86099000,2024-06-21,24,24,24
2024-06-12,86102000,2024-06-12,0,0,0
2024-06-12,86102000,2024-06-13,0,0,0
2024-06-12,86102000,2024-06-14,0,0,0
2024-06-12,86102000,2024-06-15,0,0,0
2024-06-12,86102000,2024-06-16,0,0,0
2024-06-12,86102000,2024-06-17,0,0,0
2024-06-12,86102000,2024-06-18,0,0,0
2024-06-12,86102000,2024-06-19,0,0,0
2024-06-12,86102000,2024-06-20,0,0,0
2024-06-12,86102000,2024-06-21,0,0,0
2024-06-12,86117000,2024-06-12,24,24,24
2024-06-12,86117000,2024-06-13,24,24,24
2024-06-12,86117000,2024-06-14,24,24,24
2024-06-12,86117000,2024-06-15,24,24,24
2024-06-12,86117000,2024-06-16,24,24,24
2024-06-12,86117000,2024-06-17,15,15,15
2024-06-12,86117000,2024-06-18,16,16,16
2024-06-12,86117000,2024-06-19,16,16,16
2024-06-12,86117000,2024-06-20,16,16,16
2024-06-12,86117000,2024-06-21,16,16,16
2024-06-12,86125000,2024-06-12,0,0,0
2024-06-12,86125000,2024-06-13,0,0,0
2024-06-12,86125000,2024-06-14,0,0,0
2024-06-12,86125000,2024-06-15,0,0,0
2024-06-12,86125000,2024-06-16,0,0,0
2024-06-12,86125000,2024-06-17,0,0,0
2024-06-12,86125000,2024-06-18,0,0,0
2024-06-12,86125000,2024-06-19,0,0,0
2024-06-12,86125000,2024-06-20,34,34,34
2024-06-12,86125000,2024-06-21,48,48,48
2024-06-12,86125050,2024-06-12,24,24,24
2024-06-12,86125050,2024-06-13,24,24,24
2024-06-12,86125050,2024-06-14,24,24,24
2024-06-12,86125050,2024-06-15,24,24,24
2024-06-12,86125050,2024-06-16,24,24,24
2024-06-12,86125050,2024-06-17,24,24,24
2024-06-12,86125050,2024-06-18,24,24,24
2024-06-12,86125050,2024-06-19,24,24,24
2024-06-12,86125050,2024-06-20,24,24,24
2024-06-12,86125050,2024-06-21,24,24,24
2024-06-12,86160000,2024-06-12,36,36,36
2024-06-12,86160000,2024-06-13,0,0,0
2024-06-12,86160000,2024-06-14,0,0,0
2024-06-12,86160000,2024-06-15,0,0,0
2024-06-12,86160000,2024-06-16,40,38,38
2024-06-12,86160000,2024-06-17,96,50,96
2024-06-12,86160000,2024-06-18,96,96,96
2024-06-12,86160000,2024-06-19,96,96,96
2024-06-12,86160000,2024-06-20,96,96,96
2024-06-12,86160000,2024-06-21,96,96,96
2024-06-12,86163000,2024-06-12,24,24,24
2024-06-12,86163000,2024-06-13,24,24,24
2024-06-12,86163000,2024-06-14,24,24,24
2024-06-12,86163000,2024-06-15,24,24,24
2024-06-12,86163000,2024-06-16,24,24,24
2024-06-12,86163000,2024-06-17,24,24,24
2024-06-12,86163000,2024-06-18,24,24,24
2024-06-12,86163000,2024-06-19,24,24,24
2024-06-12,86163000,2024-06-20,24,24,24
2024-06-12,86163000,2024-06-21,24,24,24
2024-06-12,86200900,2024-06-12,24,24,0
2024-06-12,86200900,2024-06-13,24,24,0
2024-06-12,86200900,2024-06-14,24,24,0
2024-06-12,86200900,2024-06-15,24,24,0
2024-06-12,86200900,2024-06-16,24,24,0
2024-06-12,86200900,2024-06-17,24,24,0
2024-06-12,86200900,2024-06-18,24,24,0
2024-06-12,86200900,2024-06-19,24,24,0
2024-06-12,86200900,2024-06-20,24,24,0
2024-06-12,86200900,2024-06-21,24,24,0
2024-06-12,86280500,2024-06-12,16,16,16
2024-06-12,86280500,2024-06-13,12,12,12
