window,station,field,field_absent,empty,finite,finite_approved,finite_other_qc,nonempty_nonfinite,negative,zero_reported,qc_json
2024-06-12,86060010,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86060010,ChuvaFinal,0,0,240,240,0,0,0,175,"{""Dado aprovado"": 240}"
2024-06-12,86060010,VazaoFinal,0,240,0,0,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86060010,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86060010,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86060010,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86060010,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86099000,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86099000,ChuvaFinal,0,0,240,240,0,0,0,203,"{""Dado aprovado"": 240}"
2024-06-12,86099000,VazaoFinal,0,32,208,208,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86099000,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86099000,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86099000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86099000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86102000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,NivelSensor,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,NivelDisplay,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,NivelManual,0,0,0,0,0,0,0,0,{}
2024-06-12,86102000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,{}
2024-06-12,86117000,NivelFinal,0,0,199,199,0,0,0,0,"{""Dado aprovado"": 199}"
2024-06-12,86117000,ChuvaFinal,0,0,199,199,0,0,0,152,"{""Dado aprovado"": 199}"
2024-06-12,86117000,VazaoFinal,0,0,199,199,0,0,0,0,"{""Dado aprovado"": 199}"
2024-06-12,86117000,NivelSensor,0,0,199,199,0,0,0,0,"{""Dado aprovado"": 199}"
