origin,station,query_time,source_time,age_after_delay_seconds,value_m,usable
2024-04-01T00:00:00-03:00,86472000,2024-03-31T23:30:00-03:00,2024-03-31T23:30:00-03:00,0.0,3.3,True
2024-04-01T01:00:00-03:00,86472000,2024-04-01T00:30:00-03:00,2024-04-01T00:30:00-03:00,0.0,3.41,True
2024-04-01T02:00:00-03:00,86472000,2024-04-01T01:30:00-03:00,2024-04-01T01:30:00-03:00,0.0,3.25,True
2024-04-01T03:00:00-03:00,86472000,2024-04-01T02:30:00-03:00,2024-04-01T02:30:00-03:00,0.0,2.89,True
2024-04-01T04:00:00-03:00,86472000,2024-04-01T03:30:00-03:00,2024-04-01T03:30:00-03:00,0.0,2.66,True
2024-04-01T05:00:00-03:00,86472000,2024-04-01T04:30:00-03:00,2024-04-01T04:30:00-03:00,0.0,2.53,True
2024-04-01T06:00:00-03:00,86472000,2024-04-01T05:30:00-03:00,2024-04-01T05:30:00-03:00,0.0,2.45,True
2024-04-01T07:00:00-03:00,86472000,2024-04-01T06:30:00-03:00,2024-04-01T06:30:00-03:00,0.0,2.41,True
2024-04-01T08:00:00-03:00,86472000,2024-04-01T07:30:00-03:00,2024-04-01T07:30:00-03:00,0.0,2.39,True
2024-04-01T09:00:00-03:00,86472000,2024-04-01T08:30:00-03:00,2024-04-01T08:30:00-03:00,0.0,2.37,True
2024-04-01T10:00:00-03:00,86472000,2024-04-01T09:30:00-03:00,2024-04-01T09:30:00-03:00,0.0,2.37,True
2024-04-01T11:00:00-03:00,86472000,2024-04-01T10:30:00-03:00,2024-04-01T10:30:00-03:00,0.0,2.37,True
2024-04-01T12:00:00-03:00,86472000,2024-04-01T11:30:00-03:00,2024-04-01T11:30:00-03:00,0.0,2.37,True
2024-04-01T13:00:00-03:00,86472000,2024-04-01T12:30:00-03:00,2024-04-01T12:30:00-03:00,0.0,2.36,True
2024-04-01T14:00:00-03:00,86472000,2024-04-01T13:30:00-03:00,2024-04-01T13:30:00-03:00,0.0,2.36,True
2024-04-01T15:00:00-03:00,86472000,2024-04-01T14:30:00-03:00,2024-04-01T14:30:00-03:00,0.0,2.36,True
2024-04-01T16:00:00-03:00,86472000,2024-04-01T15:30:00-03:00,2024-04-01T15:30:00-03:00,0.0,2.37,True
2024-04-01T17:00:00-03:00,86472000,2024-04-01T16:30:00-03:00,2024-04-01T16:30:00-03:00,0.0,2.37,True
2024-04-01T18:00:00-03:00,86472000,2024-04-01T17:30:00-03:00,2024-04-01T17:30:00-03:00,0.0,2.37,True
2024-04-01T19:00:00-03:00,86472000,2024-04-01T18:30:00-03:00,2024-04-01T18:30:00-03:00,0.0,2.37,True
2024-04-01T20:00:00-03:00,86472000,2024-04-01T19:30:00-03:00,2024-04-01T19:30:00-03:00,0.0,2.52,True
2024-04-01T21:00:00-03:00,86472000,2024-04-01T20:30:00-03:00,2024-04-01T20:30:00-03:00,0.0,3.36,True
2024-04-01T22:00:00-03:00,86472000,2024-04-01T21:30:00-03:00,2024-04-01T21:30:00-03:00,0.0,3.85,True
2024-04-01T23:00:00-03:00,86472000,2024-04-01T22:30:00-03:00,2024-04-01T22:30:00-03:00,0.0,3.98,True
2024-04-02T00:00:00-03:00,86472000,2024-04-01T23:30:00-03:00,2024-04-01T23:30:00-03:00,0.0,3.7,True
2024-04-02T01:00:00-03:00,86472000,2024-04-02T00:30:00-03:00,2024-04-02T00:30:00-03:00,0.0,3.42,True
2024-04-02T02:00:00-03:00,86472000,2024-04-02T01:30:00-03:00,2024-04-02T01:30:00-03:00,0.0,3.2,True
2024-04-02T03:00:00-03:00,86472000,2024-04-02T02:30:00-03:00,2024-04-02T02:30:00-03:00,0.0,2.86,True
2024-04-02T04:00:00-03:00,86472000,2024-04-02T03:30:00-03:00,2024-04-02T03:30:00-03:00,0.0,2.64,True
2024-04-02T05:00:00-03:00,86472000,2024-04-02T04:30:00-03:00,2024-04-02T04:30:00-03:00,0.0,2.52,True
2024-04-02T06:00:00-03:00,86472000,2024-04-02T05:30:00-03:00,2024-04-02T05:30:00-03:00,0.0,2.45,True
2024-04-02T07:00:00-03:00,86472000,2024-04-02T06:30:00-03:00,2024-04-02T06:30:00-03:00,0.0,2.41,True
2024-04-02T08:00:00-03:00,86472000,2024-04-02T07:30:00-03:00,2024-04-02T07:30:00-03:00,0.0,2.38,True
2024-04-02T09:00:00-03:00,86472000,2024-04-02T08:30:00-03:00,2024-04-02T08:30:00-03:00,0.0,2.37,True
2024-04-02T10:00:00-03:00,86472000,2024-04-02T09:30:00-03:00,2024-04-02T09:30:00-03:00,0.0,2.37,True
2024-04-02T11:00:00-03:00,86472000,2024-04-02T10:30:00-03:00,2024-04-02T10:30:00-03:00,0.0,2.37,True
2024-04-02T12:00:00-03:00,86472000,2024-04-02T11:30:00-03:00,2024-04-02T11:30:00-03:00,0.0,2.37,True
2024-04-02T13:00:00-03:00,86472000,2024-04-02T12:30:00-03:00,2024-04-02T12:30:00-03:00,0.0,2.37,True
2024-04-02T14:00:00-03:00,86472000,2024-04-02T13:30:00-03:00,2024-04-02T13:30:00-03:00,0.0,2.37,True
2024-04-02T15:00:00-03:00,86472000,2024-04-02T14:30:00-03:00,2024-04-02T14:30:00-03:00,0.0,2.47,True
2024-04-02T16:00:00-03:00,86472000,2024-04-02T15:30:00-03:00,2024-04-02T15:30:00-03:00,0.0,2.8,True
2024-04-02T17:00:00-03:00,86472000,2024-04-02T16:30:00-03:00,2024-04-02T16:30:00-03:00,0.0,3.0,True
2024-04-02T18:00:00-03:00,86472000,2024-04-02T17:30:00-03:00,2024-04-02T17:30:00-03:00,0.0,3.11,True
2024-04-02T19:00:00-03:00,86472000,2024-04-02T18:30:00-03:00,2024-04-02T18:30:00-03:00,0.0,3.16,True
2024-04-02T20:00:00-03:00,86472000,2024-04-02T19:30:00-03:00,2024-04-02T19:30:00-03:00,0.0,3.34,True
2024-04-02T21:00:00-03:00,86472000,2024-04-02T20:30:00-03:00,2024-04-02T20:30:00-03:00,0.0,3.96,True
2024-04-02T22:00:00-03:00,86472000,2024-04-02T21:30:00-03:00,2024-04-02T21:30:00-03:00,0.0,3.76,True
2024-04-02T23:00:00-03:00,86472000,2024-04-02T22:30:00-03:00,2024-04-02T22:30:00-03:00,0.0,3.44,True
