group,window_h,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
Baixo Antas,1,480,2,0.18208092485549132,0.5021676300578035,0.37391317437379573
Baixo Antas,3,480,135,0.2003853564547206,0.6731695568400771,0.4546604046242775
Baixo Antas,6,480,142,0.20423892100192675,0.7021917148362234,0.4743705342806679
Baixo Antas,12,480,161,0.2218208092485549,0.707550578034682,0.4831834306759794
Baixo Antas,24,480,196,0.21724470134874757,0.6960500963391136,0.4855917203556519
Baixo Antas,48,480,190,0.23265895953757226,0.6820809248554913,0.47888279242935133
Carreiro,1,480,476,0.20475819032761308,0.8693447737909517,0.8586916601664065
Carreiro,3,480,477,0.26066042641705667,0.8763650546021842,0.8648650112671173
Carreiro,6,480,477,0.45482319292771717,0.8781201248049924,0.8663672484399376
Carreiro,12,480,480,0.6639690587623506,0.8789976599063964,0.866968183935691
Carreiro,24,480,480,0.7719221268850756,0.8794364274570983,0.8666543094015426
Carreiro,48,480,480,0.8134831643265732,0.8796558112324493,0.8653968645724996
Prata-Turvo,1,480,0,0.19296375266524518,0.4989339019189765,0.45653651385927496
Prata-Turvo,3,480,0,0.19296375266524518,0.4989339019189765,0.4563099680170575
Prata-Turvo,6,480,0,0.23773987206823025,0.4989339019189765,0.45619669509594873
Prata-Turvo,12,480,0,0.23773987206823025,0.4833866382373845,0.4557152851812366
Prata-Turvo,24,480,0,0.3512348969438521,0.47561300639658843,0.4547524653518123
Prata-Turvo,48,480,0,0.4072494669509594,0.47094882729211085,0.4536915496920161
Alto Antas,1,480,470,0.27658338175479374,0.8181289947704823,0.6924529101297696
Alto Antas,3,480,477,0.38945380592678674,0.8181289947704823,0.7042292110530054
Alto Antas,6,480,478,0.4900978113499903,0.8044741429401511,0.7077527297598295
Alto Antas,12,480,480,0.5678747821034282,0.7862676738330427,0.7098795667489831
Alto Antas,24,480,480,0.6439570017431725,0.7779452353282975,0.7102891694307251
Alto Antas,48,480,480,0.6528665504551617,0.7767195671121441,0.707775755173026
Tainhas,1,480,444,0.0,1.0,0.9219333447176685
Tainhas,3,480,465,0.07741347905282331,1.0,0.9219333447176685
Tainhas,6,480,471,0.2938296903460838,1.0,0.9219333447176685
Tainhas,12,480,476,0.4281648451730419,1.0,0.9217217858227079
Tainhas,24,480,480,0.603910519125683,1.0,0.9206964841378263
Tainhas,48,480,480,0.6417634335154827,1.0,0.9182012987629022
