horizon_h,origins,finite_base,finite_target,valid_pairs,high_targets,minimum_response_m,maximum_response_m
1,480,453,453,447,189,-0.6300000000000026,1.7199999999999989
2,480,453,452,445,187,-1.110000000000003,3.0
3,480,453,451,443,185,-1.5899999999999999,4.210000000000001
4,480,453,450,441,183,-2.080000000000002,5.380000000000001
5,480,453,449,439,181,-2.5600000000000023,6.529999999999999
6,480,453,448,437,179,-3.039999999999999,7.6
7,480,453,447,435,177,-3.4499999999999993,8.499999999999998
8,480,453,446,433,175,-3.889999999999999,9.25
9,480,453,445,431,173,-4.3199999999999985,9.990000000000002
10,480,453,444,429,171,-4.749999999999998,10.740000000000002
11,480,453,443,427,169,-5.159999999999998,11.25
12,480,453,442,426,167,-5.579999999999998,11.530000000000001
